src,dst,K,hill
0,139,-2.7900908569942375,2.0
0,142,2.6295940318373634,2.0
0,180,3.797297975308257,2.0
0,212,2.2667885682650715,2.0
0,218,2.174503276162774,2.0
0,235,3.116735885558214,2.0
0,287,4.161993363523587,2.0
0,327,-3.664420274821844,2.0
0,330,-3.2686294054003366,2.0
0,346,3.6972546926737473,2.0
0,349,-3.0963544539598207,2.0
0,356,-4.8084390062963385,2.0
0,377,2.164714672732323,2.0
0,417,4.020174437089506,2.0
0,425,-4.673847994483252,2.0
0,433,-4.41165412620576,2.0
0,520,2.55212310446434,2.0
0,531,2.887779046940865,2.0
0,562,-4.151143816121314,2.0
0,563,2.2528116775422964,2.0
0,605,4.435585099497752,2.0
0,616,4.15672083381437,2.0
0,621,4.188819947706028,2.0
0,636,-2.3007241108027743,2.0
0,649,4.1532816344486925,2.0
0,669,4.0394543756599095,2.0
0,693,-4.492767472465552,2.0
0,701,2.1247878687694084,2.0
0,719,-2.0693320054033766,2.0
0,732,-3.119021299635682,2.0
0,743,2.4463648515474588,2.0
0,747,-3.675153432710666,2.0
0,813,4.752046704520247,2.0
0,831,3.174439191002047,2.0
0,832,4.534851131817812,2.0
0,928,2.0007226235535995,2.0
0,930,2.5055439303775526,2.0
0,936,-2.0912706189622567,2.0
0,974,2.984441541545206,2.0
0,1001,4.724568787089508,2.0
0,1019,-2.290856370796963,2.0
1,155,3.5957320906439074,2.0
1,175,2.275551011687603,2.0
1,182,3.335056051176066,2.0
1,189,4.99851556912555,2.0
1,196,4.5056878725380445,2.0
1,200,4.6803771625013475,2.0
1,208,4.469679077739499,2.0
1,287,2.309125080292948,2.0
1,335,2.6823447621943988,2.0
1,340,-2.0093649540692287,2.0
1,402,-2.9105303746343343,2.0
1,403,2.3258222070394776,2.0
1,439,3.418380035904749,2.0
1,487,4.031382465721705,2.0
1,494,4.623515885114231,2.0
1,498,4.247651495272695,2.0
1,542,-4.815756787335515,2.0
1,562,-2.1616948711813664,2.0
1,572,2.0365395062496243,2.0
1,581,-3.984014341508638,2.0
1,586,2.8680572306667385,2.0
1,621,2.7605030483173194,2.0
1,625,2.992661263081383,2.0
1,668,2.8093881736770925,2.0
1,690,3.534309218904762,2.0
1,753,-3.3204453416723974,2.0
1,771,3.537285654129969,2.0
1,813,4.018140834501309,2.0
1,845,-3.161391526913445,2.0
1,884,-2.7539230614264705,2.0
1,901,-2.4986016104262365,2.0
1,934,-3.0484223585978767,2.0
1,951,4.225419425738516,2.0
1,1014,4.2701147303344085,2.0
2,94,2.4076584503827827,2.0
2,114,-2.199883995231124,2.0
2,160,4.928239058664403,2.0
2,196,4.870975306611324,2.0
2,213,-2.1813096348216923,2.0
2,260,3.3297603244248863,2.0
2,266,-2.5587348148993243,2.0
2,325,3.4560346914032545,2.0
2,330,-4.4905317289987625,2.0
2,340,4.851835324228671,2.0
2,349,-3.902757960354612,2.0
2,363,-3.061717001635451,2.0
2,377,-3.809976696933795,2.0
2,381,2.9360039183253512,2.0
2,411,4.729470922496181,2.0
2,471,4.611201389317511,2.0
2,514,3.674695250838983,2.0
2,532,2.974396746141082,2.0
2,577,-2.880169026748935,2.0
2,621,2.100253984115178,2.0
2,648,-4.447462553075885,2.0
2,701,3.3511496391170237,2.0
2,732,2.9753987852007935,2.0
2,743,3.4133310649932618,2.0
2,752,-4.456213971363956,2.0
2,788,2.3738426231225636,2.0
2,825,-4.572967964725482,2.0
2,912,-4.692526505325062,2.0
2,923,-4.840123745101664,2.0
2,932,3.1924639772678836,2.0
2,976,2.6514212121130156,2.0
2,996,3.1209224554000956,2.0
2,999,-2.99873628869421,2.0
2,1025,2.52846173750858,2.0
2,1040,3.8218000103044636,2.0
2,1041,-3.4298724815258868,2.0
2,1050,-4.59710297697201,2.0
2,1076,2.096328741446175,2.0
3,162,4.208246433011256,2.0
3,172,2.4564436607585494,2.0
3,176,-4.7366888659988,2.0
3,182,4.678387818769657,2.0
3,204,3.961703439107772,2.0
3,216,4.016702449401816,2.0
3,255,2.0160174259090655,2.0
3,266,-4.954614698340806,2.0
3,290,-4.633497810727443,2.0
3,307,-4.685318677190276,2.0
3,325,-3.977733611152616,2.0
