cluster_id,go_term,k,K,n,N,pval,overlap_genes,pval_adj,significant
0,'de novo' posttranslational protein folding (GO:0051084),8,8,1375,1490,0.5251053777205423,DNAJB1;DNAJB4;HSPA1A;HSPA1B;HSPA5;HSPA6;HSPA8;SDF2L1,0.9996626926295505,False
0,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),2,2,1375,1490,0.8515466891432022,SULT1C2;SULT2A1,0.9996626926295505,False
0,acetyl-CoA metabolic process (GO:0006084),1,1,1375,1490,0.9228187919463087,PPCS,0.9996626926295505,False
0,acetylcholine receptor signaling pathway (GO:0095500),1,1,1375,1490,0.9228187919463087,CHRM5,0.9996626926295505,False
0,acid secretion (GO:0046717),1,1,1375,1490,0.9228187919463087,GHRL,0.9996626926295505,False
0,acidic amino acid transport (GO:0015800),1,2,1375,1490,0.9940908947494151,ARL6IP5,0.9996626926295505,False
0,actin filament bundle assembly (GO:0051017),7,7,1375,1490,0.5692480081575764,AIF1;CALD1;CORO1B;DMTN;ESPN;LIMA1;MICAL1,0.9996626926295505,False
0,actin filament organization (GO:0007015),29,30,1375,1490,0.31230186776451857,AIF1;ARHGAP25;CAPG;CDC42;CORO1A;CORO1B;DMTN;ERMN;FLNA;GHRL;GSN;LMOD1;LMOD3;MARCKSL1;MYO15A;MYO1F;MYO1G;NEB;RAC2;RHOB;RHOBTB3;RHOC;RHOH;RND1;TMOD2;TPM1;TPM4;VIL1;XIRP1,0.9996626926295505,False
0,actin filament-based transport (GO:0099515),3,3,1375,1490,0.78573494905485,MYO15A;MYO1F;MYO1G,0.9996626926295505,False
0,actin-mediated cell contraction (GO:0070252),2,2,1375,1490,0.8515466891432022,GSN;PDPN,0.9996626926295505,False
0,actin-myosin filament sliding (GO:0033275),9,9,1375,1490,0.48435833424020347,MYL4;MYL6;NEB;TNNI2;TNNI3;TNNT1;TPM1;TPM4;VIM,0.9996626926295505,False
0,action potential (GO:0001508),7,8,1375,1490,0.8782464212168135,CACNA1G;GPER1;KCNE3;KCNH2;KCNQ1;SCN11A;SCN9A,0.9996626926295505,False
0,actomyosin structure organization (GO:0031032),12,13,1375,1490,0.7347969423881406,CAPN3;CASQ1;LMOD1;LMOD3;MYH9;MYOM2;MYOZ1;PHACTR1;TMOD2;TNNT1;TPM1;ZYX,0.9996626926295505,False
0,acute inflammatory response (GO:0002526),4,5,1375,1490,0.9493869114655107,CEBPB;HP;IL6R;ITIH4,0.9996626926295505,False
0,acyl-CoA biosynthetic process (GO:0071616),2,2,1375,1490,0.8515466891432022,FASN;PPCS,0.9996626926295505,False
0,acyl-CoA metabolic process (GO:0006637),2,2,1375,1490,0.8515466891432022,ACSM3;DBI,0.9996626926295505,False
