cluster_id,go_term,k,K,n,N,pval,overlap_genes,pval_adj,significant
0,'de novo' posttranslational protein folding (GO:0051084),8,31,1375,12875,0.01389033560628993,DNAJB1;DNAJB4;HSPA1A;HSPA1B;HSPA5;HSPA6;HSPA8;SDF2L1,0.1422397602036258,False
0,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),2,25,1375,12875,0.7633471325491746,SULT1C2;SULT2A1,0.8836160231552572,False
0,acetyl-CoA metabolic process (GO:0006084),1,15,1375,12875,0.8164158326990432,PPCS,0.9057316380819443,False
0,acetylcholine receptor signaling pathway (GO:0095500),1,21,1375,12875,0.906864608449506,CHRM5,0.9558224858985963,False
0,acid secretion (GO:0046717),1,9,1375,12875,0.6382486475785212,GHRL,0.8144785734829143,False
0,acidic amino acid transport (GO:0015800),1,18,1375,12875,0.8692344978637698,ARL6IP5,0.9366597514251017,False
0,actin filament bundle assembly (GO:0051017),7,33,1375,12875,0.05601775980559431,AIF1;CALD1;CORO1B;DMTN;ESPN;LIMA1;MICAL1,0.30316347210851424,False
0,actin filament organization (GO:0007015),29,152,1375,12875,0.0013550057213891984,AIF1;ARHGAP25;CAPG;CDC42;CORO1A;CORO1B;DMTN;ERMN;FLNA;GHRL;GSN;LMOD1;LMOD3;MARCKSL1;MYO15A;MYO1F;MYO1G;NEB;RAC2;RHOB;RHOBTB3;RHOC;RHOH;RND1;TMOD2;TPM1;TPM4;VIL1;XIRP1,0.03807254587919484,True
0,actin filament-based transport (GO:0099515),3,21,1375,12875,0.3922555403939639,MYO15A;MYO1F;MYO1G,0.7281519917632264,False
0,actin-mediated cell contraction (GO:0070252),2,9,1375,12875,0.24870174658515173,GSN;PDPN,0.5870865809947592,False
0,actin-myosin filament sliding (GO:0033275),9,38,1375,12875,0.016438746309237112,MYL4;MYL6;NEB;TNNI2;TNNI3;TNNT1;TPM1;TPM4;VIM,0.15393684403788666,False
0,action potential (GO:0001508),7,45,1375,12875,0.19984634479369262,CACNA1G;GPER1;KCNE3;KCNH2;KCNQ1;SCN11A;SCN9A,0.5421805380182129,False
