,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
ABCA1,0.002727495,0.0015784968,-0.0048193648,-0.0005103597,0.0041673654,0.009069094,-0.004132904,-0.004457309,0.0020432381,0.0006507196,-1.955557e-05,0.0018822916,0.0051787477,-0.0023592722,0.002717618,-0.004261867,-0.00019300301,0.0014583151,-0.005741548,-0.004274232,-0.0071486123,-0.004286808,0.0019119581,-0.00258419,0.0027600897,0.0014753448,-0.003142411,0.0011715047,-0.0012153027,0.005179935,0.01220909,-0.005364823,-0.00039787398,0.0026258843,-0.003148412,-0.012060284
ABHD12B,0.0020185048,-0.0003634364,-0.0014877896,-0.0014165406,-0.0020320409,0.005573966,-0.0005979318,-0.0040724883,-0.0011002463,0.0042257467,0.0013002965,-0.0022967246,-0.0013598888,0.00020997073,0.0033596484,-0.0034111936,0.001522844,0.00046646528,-0.0010693402,-0.0018224175,-0.004518381,-0.00039607746,-0.0025944766,-0.0031270848,0.0016904449,-0.0035683985,-0.0019431695,-0.0014270652,0.0012404826,-0.0023411815,0.005135648,0.00013187458,0.0025180923,-0.000881259,-0.0008510336,-0.007262647
ABHD17A,0.0026460905,0.0031943703,-0.003926275,0.002286451,0.0022271643,0.0033559713,-0.0015766782,0.00010402109,0.001929669,-0.0021506036,-0.0010127058,-0.0036432322,0.001679872,0.0014002915,0.001526229,0.0009176039,-0.0015353067,-0.0008909281,-0.0026514244,-0.0037048722,-0.003015953,-0.001415542,-8.920854e-05,0.0039094207,-0.0005854205,0.005032653,-0.0015740144,0.0020268057,0.0026138304,0.00063097535,0.0015366653,-0.0020724148,0.00040265528,0.002525057,0.0010216854,-0.0036830541
ABTB2,5.7340858e-05,0.0030420257,-0.004549574,-0.0035070444,-0.0004491781,0.006039132,-0.0010191036,-0.004746169,0.004918114,-0.0053297128,-0.0005551955,0.00071642536,0.0025723844,0.006911244,0.0016458973,0.003142411,-0.003426745,-0.00094787794,-0.0028269219,-0.004033793,-0.008261484,0.0010626615,-0.0036962947,0.0023150018,-0.003998162,-0.0045341947,0.0039215004,-0.00078305457,0.0011384482,0.0013653795,0.010973092,-0.006811048,-0.0028473812,0.0014777576,0.0018646258,-0.010349888
ACOXL,-0.0009997186,0.0060322233,-0.009546515,-0.0013035085,0.008644979,0.0060896305,-0.0074050245,-0.0074003283,0.004629835,0.00094059086,0.0004239222,-0.008364867,0.009471931,-0.0037011008,0.0089230295,0.0013165196,-0.0037229222,-0.0012657215,-0.008642314,-0.003952313,-0.0066932463,0.0042813076,-0.0003814132,-0.0036422205,0.0015980394,-6.567949e-05,-0.00056246493,0.0031965985,-4.36519e-05,0.007595433,0.013495856,-0.0083553605,0.0011903672,-0.003184371,-0.0033329052,-0.018171968
ACP5,0.0017209038,0.0038587293,0.0018747522,0.0019461992,-0.0023360846,-0.00039191812,0.0026245122,0.0024798166,0.006756219,0.0057793777,0.005140197,-0.009152084,-0.003899258,0.0025715393,0.0054130703,-0.0016913007,0.0010590719,-0.0023146307,0.0007141078,-0.0014555209,0.00038057842,0.0020886827,-0.0029681993,-0.0037899797,0.0015099889,0.0036173626,0.0033229701,0.0035779295,-0.0018145397,-0.003988666,-0.00085065723,-0.0002809904,-0.0015044952,-0.0014271936,0.0019008183,-8.3106046e-05
ACSF3,-0.0004065357,0.001598599,-0.0007560518,0.0012997292,0.0006148383,0.0027296895,-2.253537e-05,-0.0028735488,0.0007486811,0.0014405075,0.0026022487,0.0011514161,0.0021206634,0.0036085232,0.0024678733,-0.0010119466,0.00023214269,0.00373719,-0.0036447474,0.00085446617,-0.0012495611,0.0003032822,0.002531226,-0.0038744027,0.0027816878,-0.0021475758,-0.0004068804,-0.001069347,-0.0046173595,0.0011043631,0.007198817,-0.0012657999,-0.000714413,0.0019599635,-0.001843806,-0.006489442
ACTA1,-0.0027902597,0.0026323302,-0.0029761984,-0.0022851555,0.003129616,-0.0038374625,-0.0032139544,0.0016607976,0.00032438722,-0.0038454675,-0.004764469,-0.004341762,-0.0073663504,-0.0010803875,-0.0077649164,-0.0008217644,0.0035480845,0.00056127034,0.009210297,-0.0012503398,0.0070762276,0.0041813627,0.008297816,-0.00035370956,0.0055900053,0.0017543942,0.005391101,0.011195331,0.0021845545,0.0077498066,-0.0062758336,0.0026732213,0.006198585,-0.0022356333,-0.00019441963,0.0031561942
ACTA2,-0.00093104853,0.00046473977,-0.000560375,0.0057012336,0.008907908,-0.0053488417,0.00010297457,0.0023318713,0.0020455227,0.0036813074,-0.0037310554,-0.00010283056,-0.0012036025,0.00056272326,0.0017448136,0.00048213964,-0.0016119246,0.00036623163,-0.0051513356,0.0030905488,-0.004747212,-0.0004870852,9.8978184e-05,0.0021527503,0.0008657601,0.0029524744,0.008198293,0.0028171267,0.0012016403,0.015310258,-0.008690405,-0.004405489,0.0016730581,0.0002956399,-0.0093597835,0.008952701
ACTC1,-0.0021976659,0.0034388988,0.0013662735,0.004006548,0.010516457,-0.007219629,0.00012996038,0.0027070302,-0.0034875174,0.00036668984,-0.0008835744,-0.0007600046,0.003705461,-0.0023677852,0.008645529,-0.0005765519,-0.00044657046,-0.0027144505,-0.0033453316,0.0027678676,-0.0044647376,0.0033453729,-0.00020651861,0.0031488007,-0.00040962984,0.0026319567,0.008499444,0.0049112746,-0.0006765474,0.022387031,-0.009058814,-0.0014495428,-0.00077789044,-0.0042217476,-0.0083099445,0.010380074
