,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
ABCA1,0.0011458817,0.004386651,0.005051621,0.006356844,-0.0024241423,-0.0010612613,0.0075626685,-6.822157e-05,0.00084871147,-0.005601221,-0.002548543,0.00069472246,-0.0010930062,0.001595221,-0.0043669464,-0.0010905982,0.00027555312,0.002719289,-0.014092295,0.0038359275,0.00050544535,0.002277136,0.0004103732,-6.841375e-08,0.00020309705,0.001716561,-0.0055315164,0.015453162
ABHD12B,4.68233e-05,-0.00031956384,0.0017610963,0.005244834,0.0005760484,0.0019896354,0.0030936238,-0.0009112277,0.00081961363,0.0014826411,0.001864167,0.00038143338,0.0006539003,0.0009921273,-0.0025709856,-0.0009398555,0.0020533407,-0.0035244802,-0.008959419,-0.0007299305,-0.0018849456,0.0026084231,0.0003665929,-0.0030348247,0.0007885544,0.00068272674,-0.0015317717,0.0021476024
ABHD17A,-0.0002540466,0.0011662495,0.00036617223,0.0013987698,0.0008169683,-0.0010284277,0.0008942445,-0.00019265879,-5.9184684e-05,-0.001337026,0.0017550014,-0.00019002568,0.00012223376,0.0012941352,-0.00031529335,0.00053653884,-0.00042142623,0.00046295783,-0.0034603088,0.0008615077,0.0016528129,-0.0009797079,-0.00031146954,-0.002364721,0.0015871617,0.0011719683,0.0014779207,0.0011660985
ABTB2,-3.569797e-05,0.0011007468,0.0027555174,0.0063660387,0.0035658549,-0.0035536431,0.008290931,-1.8122344e-05,0.00085290545,-0.0015533932,0.0082743075,-0.004353353,-0.0017457183,0.00684038,0.0028264702,-0.00026772285,-0.00032795416,-0.0035005757,-0.012631717,0.0013762331,0.0022572146,-0.00068269426,0.0030945106,-0.006919186,-0.0011830793,0.0035328807,0.00019878436,0.012399857
ACOXL,0.001124741,0.003166793,0.0027014648,0.0065431558,-0.00029559544,-0.0020678958,0.010012622,-0.0034546822,0.000870033,-0.0034380828,0.004422232,-0.00044473007,0.0028316872,0.0006935113,-0.0007841805,0.00351422,-0.0030092357,0.0030606654,-0.017193047,0.0071199355,0.00252045,-0.0030124972,-0.0018206581,-0.0034623332,0.00013573322,0.003672333,-0.00035314576,0.018672809
ACP5,0.0017035013,0.0031694635,4.9334444e-06,-0.0015347321,-0.0024149672,-0.001867622,0.0003977896,-0.00047783868,0.0007189624,-0.0016106475,-0.0009982127,-0.00030262474,0.00016879983,0.00019222074,-8.480769e-06,0.00014070065,-0.0007530038,-0.0016139628,0.00023682964,0.002336611,0.0024318458,-0.000521001,0.0024335005,0.0010270223,-8.445563e-05,0.0012389341,0.0011419778,-0.0026370278
ACSF3,0.0019028628,-0.0010460785,0.00020266522,0.00096789916,0.0034376308,9.060779e-05,0.0044268807,-0.0036970417,-0.002877757,-0.00030051076,0.00253428,0.002962663,-0.002094402,-0.002668614,0.0017905113,0.001482313,-0.0018476135,0.003496133,-0.004876169,-0.0011134756,0.0018425498,5.4075314e-05,-0.0009461974,0.00059272314,-0.0012320922,0.0011973244,-0.0036664843,0.009803928
ACTA1,-0.0024830238,0.006660082,0.00030944214,-0.0032318628,0.00066831085,-0.00040112948,-0.0066036535,0.0044707432,0.0022000482,-0.009416793,-0.0002909765,0.0023260291,-0.002147794,-0.00023708103,-0.0025656722,0.0019096446,-0.0007856289,-0.0012198446,0.00692532,-0.0013348613,0.0022983698,0.0013803097,0.0016751993,-0.0008853057,-0.003260117,-0.0043237293,0.00038305685,-0.0058292462
ACTA2,-0.0034952962,0.008144023,0.0012147946,-0.0026668014,-0.0028332993,-0.0016791879,-0.007532072,0.011335659,-0.0016621964,-0.017083095,-0.0016886665,-0.0002812608,0.004991831,0.0011808204,-0.0028830946,0.0010143128,0.0014154026,0.0031292625,0.0053184777,0.0066520493,0.0058986526,-0.0017750893,0.0005168059,-0.0046722353,-0.0039266865,-0.0018045183,-0.001548043,-0.006706263
ACTC1,-0.0046229376,0.011120896,0.00032837057,-0.001158476,-0.0031801441,-0.00330029,-0.0056852093,0.01825248,-0.0046131723,-0.021875856,-0.0020945878,-0.0073040645,0.013952481,-0.002009603,-0.0039920737,-0.001984478,0.0019181205,0.0035484035,0.0053363647,0.004213435,0.0055470355,-0.0035409844,7.645462e-05,0.00030324442,-0.0023598815,0.0012230747,-0.0026624652,-0.0066909106
