gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.0066907844,-0.0048583113,0.0064556315,0.0013732144,-0.0051881014,-0.00531995,0.003964153,-0.0068290024,-0.0064093084,-0.0011065884,0.021416988,0.00774774,-0.0038409056,-0.018003272,0.0010383996,-0.024579834,0.006164134,-0.016712746,-0.001110353,-0.000775615,-0.013312698,-0.0006763761,-0.009762117,0.0071810046,-0.009964165,0.008666612,0.0039174147,0.0010453457,-0.005098636,0.0008315899,-0.0065815733,-0.0037594556,-0.0057320874,-0.00037399714,-0.009393756,0.008432073,-0.007912718,0.04811835,-0.0030095307,0.006511906,-0.012516117,0.0012325437,0.03565404,-0.014576185,-0.010459389
PLEKHN1,-0.0027306112,-0.0025167759,-0.0015131679,-0.0014509537,0.0012831345,0.00022515177,-0.0007476938,0.0020058919,-0.0015866712,0.0020992414,-0.0031514901,0.0016438678,0.0016754429,-0.0036530783,0.0028486368,0.007599886,-0.00032806923,-0.0030122104,-0.0071449,-0.0018555501,0.0008555594,-0.004806335,-0.009331316,0.0009726995,0.001540856,0.0143380305,-0.0007415157,0.00984524,0.013879492,0.00577851,-0.003105219,-0.0026220076,0.0058350298,0.011095863,0.0020495965,-0.005881208,-0.0047066105,-0.001815704,-0.0006047439,0.0012462874,0.010839845,0.004489574,0.006904949,0.0037662478,-0.002678228
HES4,0.030495327,0.008473957,0.023809552,0.0026708583,0.011977525,0.012383925,0.013856885,0.018124105,0.024976594,-0.0047664945,0.011152899,0.013906351,0.008498372,0.0101285195,0.007360591,0.022363005,-0.014906916,-0.0019612082,-0.006172339,0.008088255,-0.0106840925,0.0024521481,-0.0012546652,0.0366386,-0.0074016144,-0.0117897205,-0.01262234,0.002897678,-0.013439351,0.013012316,0.00148219,0.008952329,0.008107318,0.0009493845,0.013314822,0.00030851836,-0.0065473993,-0.00987802,0.020671135,-0.0001806443,0.002308121,-0.0026853625,-0.0012965001,0.041085687,0.00187546
ISG15,0.0014090905,0.00052213104,0.0011433697,0.001289728,0.0030023903,-0.008649449,0.0033240549,0.0003859527,0.00131712,-0.00559362,0.0071777673,-0.005174748,-0.0004143453,-0.0051367506,0.006603165,0.0012726142,-0.0030474432,0.001205976,-0.0036706892,-0.0021919613,-0.004492446,0.0047870185,-0.004548634,0.0039362786,-0.005342664,-0.0032963762,0.0022387737,-0.0047824504,-0.0066492567,0.009086993,-0.0035208974,-0.011763876,0.0049733776,0.0020638553,0.008512107,-0.0032911066,-0.004518764,0.0037713847,-0.017138168,0.004601341,-0.0052508386,0.004709013,-0.003574555,-0.0071381484,0.00047637065
RNF223,0.0020046213,0.0035930201,0.0006168274,-6.9020345e-05,0.0038780835,-0.0016997382,-0.00087124563,-0.0029899655,-0.00025181397,0.0011885972,-0.00040807863,0.000861815,0.0024499504,-0.001050989,-0.003223286,-0.0013738128,-0.0035032358,-0.0025041648,0.002072367,-7.136318e-05,-0.0030309646,-0.0010237275,0.002181395,-0.0016493737,-0.00010975963,0.000576458,0.00031745198,0.0002816634,0.0043459428,0.0014918682,-0.00032003247,-0.0036404354,-0.0014977958,-0.0028489367,0.0012640449,-0.0017603906,0.0023654092,0.0048760264,0.00060802884,0.000661722,8.533061e-05,0.0040304405,0.0009721713,-0.0038212836,-0.0033109053
TNFRSF18,-0.00027902928,0.0025220772,0.00040787258,0.0027694881,-0.00071097305,0.001478467,-0.00023652657,0.0039840196,0.0016166628,0.0058419188,0.002084295,0.0044281767,-0.0049508447,-0.0030710348,0.00663496,0.0022884766,-0.0031058842,-0.008455187,-0.0069644214,0.0017384212,-0.0035671347,3.096484e-06,-0.010745426,-0.0012617654,-0.00022272706,0.005499894,-0.00017104596,0.005212569,0.0018705458,0.008910623,0.0057219495,-0.0076102354,-0.0077458457,0.00279115,0.0040434296,0.00074628356,0.0069576954,0.0077233054,0.00029517856,0.01003627,-0.0024206415,-0.0009884025,-0.002265454,0.001750311,-0.00085148314
TNFRSF4,-0.0012038667,0.0002628935,0.001666623,-0.00087917893,-0.0018978773,0.0018168197,0.0041410495,0.00044101442,-0.0009178386,-0.0064997566,0.0009277832,0.01004699,0.009708322,-0.0034750977,0.00554429,0.012329166,0.0033030412,0.005301659,0.0066263312,-0.002715723,-0.0058100917,0.014174235,0.030997014,-0.011009396,-0.007999277,-0.009998265,-0.005849663,0.008886777,0.0061254445,-0.009213492,-0.004011395,-0.0033509792,-0.001155921,-0.008452998,0.0032866583,0.00069626997,-0.012243746,0.0010655818,0.00071771076,0.008792042,0.019856395,-0.007818854,0.014898428,-0.010205645,0.0017594235
ANKRD65,-0.0018071409,-0.0022159107,0.00229584,-0.0029246788,0.00088079646,0.00077861897,0.00037049956,0.0009153795,-0.00014315538,-0.0012419074,0.0042872564,-0.00043460674,0.0012471881,-0.0020180221,0.0033403076,-0.0053864354,0.0063010347,-0.010254911,0.0018303393,-0.0021636118,-0.004730324,-0.0032739367,0.0055900584,0.0026227434,-0.0035686635,-0.005172329,0.008553567,0.0063444683,0.0017047557,0.003588766,0.0025913976,-0.005523112,0.0002598094,0.0017978125,0.004069086,0.0029983646,0.0017000892,0.010679463,0.0021649564,0.0051835785,-0.003336346,0.00731343,0.0009514401,0.00045709824,-0.0022139978
MMP23B,0.0024477018,0.006486669,0.000852187,-0.004869929,0.004145465,-0.0029531375,-0.0034070816,0.000117314245,-0.00216446,0.008956053,-0.002531738,-0.013777155,0.006949027,0.002296715,-0.009186329,-0.0058619455,-0.0032307012,-0.0052691274,0.0030091242,0.00081952923,-0.0031763962,0.0017713802,0.0001968351,0.0009092147,0.004091593,-0.0069452524,0.00029141858,0.0054672,0.008344959,0.0012748626,0.0029324128,-0.0018686556,-0.003134873,-0.0050032823,0.0042990902,-0.0029820683,0.0034155753,-0.0015631466,0.0029208586,0.0014937485,0.005152347,0.0017993603,-0.0034412048,0.0032685224,-0.011959274
TNFRSF14,0.000912565,0.0054390896,-0.001464362,-0.0018327982,0.0022311965,-0.0013877501,0.002981128,-0.0014612082,-0.0027897733,0.0036080878,0.0064435964,-0.0058413595,0.0048764567,-0.014515891,0.00047687968,-0.0038387687,-0.0033445067,0.009455372,0.0001976788,0.0015095777,-0.00084659946,0.0004196693,-0.0039012004,-0.010702545,-0.00018061715,0.0015800935,0.0061410284,-0.0039496413,0.002634216,0.003957738,-0.0044073532,-0.002828668,0.004703577,0.0008066215,0.0010491022,0.006133581,-0.0014849462,0.00076355063,0.008783476,-0.005829015,-0.0023671319,-0.001292322,-0.003673771,0.002579512,-0.0037672448
TTC34,0.00019960968,-0.0010333034,-0.0007312388,-0.00022115628,-0.00019873786,-0.0015433395,-0.00081808085,-0.0015130127,-0.0016572222,0.0018739706,-0.0017624365,-0.00096989784,0.0022813613,-0.0011939475,-0.003378174,-0.0040326263,-0.0059050713,-0.002190765,-0.00021015512,-0.0046746633,-6.5637914e-07,0.0029036882,0.003947403,0.002509345,-0.00063761673,-0.0003519575,-0.0015614779,-0.00038937476,0.0012718816,-0.00171667,-0.0018882267,-0.0014998574,-0.000372444,-0.004091197,-0.0008635744,0.00084977894,0.0047678566,0.0041712984,-0.00086094456,-0.0001539629,0.0018510247,0.003720424,9.3664414e-05,0.0023776763,0.0016168068
SMIM1,0.0028073196,0.008716379,0.0018264266,-0.009034191,0.007440641,0.005670472,-0.0049189203,-0.0021707008,-0.0022698236,0.011067986,0.004395216,-0.025850322,0.016143242,0.0016401473,-0.009928172,-0.011633278,-0.0013599942,-0.004589613,0.0059441356,0.0004922073,-0.00021987202,0.005816332,-0.0010355596,-0.0019949595,0.0065027205,-0.010393614,-0.0032358577,0.006805986,0.012764321,-0.0009203589,0.0011988848,0.00014354016,-0.0065304814,-0.0049334257,0.0035117795,-0.004214067,0.0034962348,-0.0054966393,0.014334707,-0.0050107925,0.0011260293,-0.0037872975,-0.002996548,-0.0004391164,-0.016448975
CHD5,-0.00010539032,0.00015921569,0.0011169082,-0.001208179,6.754349e-05,0.0012027837,-0.00023520806,0.00091905013,0.00030997777,7.653329e-06,-0.001978158,-0.0043409984,0.0009059421,-0.0029129852,0.0012640412,0.0005257933,-0.00040451213,-0.00090906647,0.0034254068,-0.0029014996,-0.0017715521,-0.0029984403,-0.0005140005,0.0021126142,0.0016607466,0.0024813097,0.0043585133,-0.000608895,0.0017346335,0.0013216676,-0.002358849,-0.0015048812,-0.0026036974,-0.0010768085,0.000105285064,-0.0014998971,-0.0058321627,-0.0025791596,-0.00091164646,0.0022197796,-0.0027078772,-0.0013772751,-0.0017369329,-0.0013539746,-0.0011374173
LINC00337,0.0015861922,0.001622096,0.0016743699,-0.0020323878,-0.0011980182,-0.0018317641,0.0004234363,-0.00028681508,-9.784977e-05,-0.0026736774,0.0030158176,0.0014254088,-0.00150232,0.00032389018,-0.0022812402,0.0034911833,0.0012239016,-0.00062370504,-0.00024241977,0.002883177,-0.00017211119,0.0033042505,-0.00038055755,0.0052518663,-0.0024242636,-0.0018240446,0.0027301856,-0.0018826168,0.00012633757,-0.0017452458,-0.0012750826,0.0018836166,0.00029330802,0.0023265663,-0.00044706074,0.00049477693,-0.0004040406,-0.0004277731,-0.00011118494,-0.0013887322,-0.0018019074,0.0037962657,0.00082564424,-0.001259111,-0.0037970468
HES2,-0.002442095,-0.00067066704,0.0013205521,-0.0025403837,-0.0011645164,0.003982045,0.0030610785,0.00358656,-0.00049614074,-0.00020066113,-0.00058408873,-0.00018471447,0.00038079478,-0.0014509253,0.0016864492,0.000688225,0.00086027547,-0.0009653854,0.0020406279,-0.0002381464,-0.0006709077,0.0020692286,0.0027952152,0.0030754742,-0.0010433743,-0.0013174489,-0.001783095,0.00082629634,-0.0034449953,-0.0046150233,0.0013292016,0.00011950162,0.0026430099,-0.00072334806,-0.0016423187,-0.000409552,-0.00011565756,-0.0010327196,0.003957322,-0.000956294,-0.0009731167,0.0047386223,0.00020485847,0.005259591,0.0039385892
ESPN,-0.00051393703,0.0007825312,-0.0019487803,0.002160603,-0.0025990207,-0.00014158359,0.0008679902,0.002693143,-0.00022003952,0.0034284529,-0.0014895173,-0.002689957,-0.002247383,0.0029856737,-0.0015698028,0.0007147776,0.0009640777,-0.0048568333,0.0022718555,0.0031159369,-0.0049929763,0.0026534488,-0.0019047571,-0.003926999,0.0012425347,-0.00053315243,-0.003775689,0.0034360264,0.0031045154,0.004283275,-0.00026202254,0.004750288,-0.0021381627,0.0012257689,-0.0033185564,0.00036986018,-0.002619928,-0.0031418467,0.0032594549,-0.00035350837,-6.111985e-05,-0.0011697689,-0.0019450831,0.0013836251,-0.0035090083
TNFRSF9,-0.0029603434,0.0012911909,-0.0016694345,0.01078773,-0.00174798,-0.00016469866,0.0028954046,0.004803831,-0.002331605,0.024451291,-0.0057724747,0.029233418,-0.0022187007,-0.00303027,0.02241665,0.02041334,-0.002236745,-0.015430375,-0.025096418,0.0017857562,-0.0071161115,0.006051812,-0.011574978,-0.0047173644,0.013576624,0.013770478,-0.011889589,0.010967173,0.0049340394,0.0022078368,-0.0115779,-0.0041148704,-0.0058508376,0.0083562415,0.007823565,-0.0043766336,-0.024504595,0.003589867,-0.005071383,0.021401664,0.028693127,-0.0023418525,0.0052165454,-0.011809568,-0.003541787
ENO1,-0.033664636,-0.059510026,0.0054837116,0.024538293,0.0035868448,0.011726076,0.016719112,0.026738571,0.02072183,-0.05785552,0.01872722,0.058175966,-0.0041621462,0.0255115,0.03377379,0.02826968,0.0033562928,0.0033392196,-0.002565846,-0.001733098,0.006349359,-0.007944386,0.00044777256,-0.0004258099,-0.021821626,0.003824959,-0.0010023352,-0.033193108,-0.023261465,-0.011272391,0.010646275,-0.0074237566,0.011262532,-0.0064530545,0.028537916,-0.005090199,-0.016741877,-0.01575278,-0.02202019,0.010060554,0.0015540199,0.020882534,-0.008296389,0.012704462,0.12664515
GPR157,0.0015331237,0.00032899572,0.002259229,5.865658e-05,-0.00037831746,0.0012060924,0.0021618924,0.0020585246,0.0023242442,-0.0015924465,-0.00061072764,0.00068795145,-0.0009829828,0.0005205837,0.0019874373,0.0013041792,0.0013807121,0.0001588337,-0.0014993162,0.0013014126,-0.0016316542,-0.000947848,-0.0008543426,0.0029537603,-0.0020530268,-0.0023267497,0.0014624809,0.0032561994,-0.0035821267,-0.001399151,0.00096660684,-0.000469204,0.00055636035,-0.002830632,-0.0010319212,-0.0030935586,-0.0014167902,-0.0015169118,-0.0017676374,-0.0010557885,0.002087423,0.0009343454,-0.0023319735,0.003314961,0.0022542612
H6PD,-0.001043533,-0.0006297988,-0.0037740208,0.0023820803,-0.0047058435,0.000450772,-0.0009974001,-0.0017396868,-0.0032888514,0.0018395919,-0.0032888837,-0.0026234847,-0.003931688,-0.0068831346,-0.0048856474,-0.0083786445,-0.004237564,-0.002358311,-0.0004783341,-0.0017537901,0.0026375833,0.001378742,0.0005808703,0.000289083,0.00011660687,0.00021215691,-0.002700496,0.0034551797,-0.0020284918,0.0033501715,-0.0015865058,6.607848e-05,-0.0026461834,-0.00072466815,-0.0092564905,0.004780175,0.0044550174,0.004981715,0.0071856524,0.0023115217,0.003558299,-0.0028445795,0.007845066,0.003543598,-0.0039799614
PIK3CD-AS1,-0.00016492458,0.0002123454,-0.0010001038,-0.0026858614,-0.003490722,-0.00021862015,0.0013148857,0.0037633786,-0.0018303163,-0.00035590108,-0.0016808567,-0.0058445437,-0.003861989,-0.0052903392,0.003302989,0.0012234354,0.00041889897,0.0016947514,0.004846468,0.0015534614,-0.0005856968,-0.007396514,-0.00045372432,0.0018527516,0.0058823097,0.005342644,0.016246716,-0.0048151286,0.0021100114,0.0022901786,-0.0007776846,0.005498533,-0.0030632697,0.0015730939,0.0005606441,0.0042839707,-0.01616652,0.0027826002,0.0032815759,-2.3443597e-05,-0.0042317826,-0.006762579,-0.0017434859,0.00438538,-0.0024684214
