gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.007907049,-0.0059939683,-0.007263254,0.00043107258,-0.0008552871,0.0026280284,0.00022168113,-0.004613345,-0.005705156,-0.0055049444,-0.0032013697,0.0063274954,0.010108335,0.004780724,-0.0021062018,-0.01398624,-0.011408976,-0.004322222,0.007272291,0.008554726,0.017009238,-0.014828259,0.006815342,-0.004547302,-0.0006595682,-0.0064210068,0.0067791427,-0.007558886,0.012858703,-0.0043248893,0.020999352,0.0010081248,0.02148586,-0.018919956,-0.0056770216,-0.0032211668,-0.008380651,0.016780071,0.0016037289,-0.005357425,-0.029455667,0.013070688,0.0117521,-0.008631766,-0.0116561875
PLEKHN1,-7.34901e-05,-0.0027013894,0.0020018963,-0.0016349307,-0.0014318355,-0.000637671,0.0002533528,0.0033386995,-0.00014673712,0.0024184145,-0.0038985165,0.0024797546,-8.8719644e-05,-0.006262056,-0.012924251,-0.009122703,0.0015129262,0.009027204,0.00025118337,0.0032490296,0.0010126886,0.010547457,0.012309694,-0.005233536,-0.0020013193,-0.0020086097,0.0043126885,0.0020945803,0.0052307607,0.0012463678,-0.0010658619,-0.0028069192,0.0026934564,0.0063196328,-0.0045158616,0.0014327117,-0.00032325892,-0.0018581427,0.0012658185,0.0023942452,0.005954658,-0.00463599,0.005210392,-0.0031626455,0.0035208624
HES4,0.017926507,0.010291401,-0.018566325,-0.007512744,-0.0012191077,-0.03971504,-0.019343661,0.002945082,0.013946563,0.00365881,0.0058175595,0.0038837858,0.00027618904,-0.0048786127,0.00023332743,0.00010718342,0.008950814,-0.010180947,0.0075911977,-0.013863236,0.0041883304,-0.021477431,0.014870541,-0.02444084,0.009144807,-0.004442088,0.019750688,-0.00042739572,-0.0018147434,0.008899392,0.002036137,-0.00031480176,-0.017895827,0.002009464,-0.0077883815,0.026666394,0.0033924463,0.023763664,-0.04823134,-0.006946976,0.018121079,-0.026685625,-0.019468438,0.014042805,0.007875475
ISG15,-0.0050441856,0.0018067358,-0.011619984,-0.0091718435,-0.005399511,-0.0041182763,0.0051133605,0.002383311,-0.0022295562,-0.006490528,0.0026861792,-0.004884349,0.002079433,-0.0037915364,0.0073934547,0.0010790529,0.0058471602,0.00044023007,0.0011350514,0.0017057026,0.006879124,-0.0031070428,0.008758004,-0.010925341,0.00017995639,0.0043944214,0.019513577,-0.009865776,0.0059856386,-0.014946045,-0.0011224484,0.0066162865,-0.008309292,0.001911054,0.003534348,0.0152707035,-0.01940774,0.015982946,-0.015558271,-0.0043913973,-0.0037674312,0.018161267,-0.009484658,0.0033577546,-0.0019093738
RNF223,4.3846805e-05,0.00054629793,-0.0011346339,0.0007448295,0.00044779244,-0.002570108,0.0022743174,1.38730775e-05,-0.0014822916,-0.0019977428,0.0025938733,0.0032035608,-0.0043587903,-0.008815286,0.0023533956,0.0030427591,0.0041532307,-0.0020077287,-0.004792395,0.002262077,-0.006460167,-0.0047321254,0.00609761,-0.001997101,-0.0019304964,-2.8231285e-05,0.0077912477,0.00068447756,0.0027831807,0.004313471,0.001067633,0.001248521,0.0017636665,-0.0018636527,-0.00011930045,0.001032307,0.0025100133,-0.0041761785,-0.0019151716,-0.0038231262,-0.001276341,-0.002795952,0.0038088341,0.0028597708,-0.0007010741
TNFRSF18,-0.0040165447,0.0005411531,-0.00430875,-0.0004959694,-0.0011971582,8.3039e-05,-0.0033946151,0.0011046485,-0.004492944,0.0031167006,-0.0034809727,-0.010380663,-0.006972706,0.00096963573,-0.002230277,-0.008293914,-0.0059009786,-0.001959726,0.004866727,0.0041782856,6.4414194e-06,-0.005448124,6.330849e-05,0.0017289475,0.003589478,0.0025974666,0.002985956,-0.002870167,0.008069276,-0.00046264654,0.0045866943,-0.00091107417,0.0012023152,-0.0022780194,-0.003624901,-0.0057882,-0.0021268087,0.0030723743,0.0037411097,-0.0022546358,0.0007827231,0.002584213,0.00469841,-0.0014690056,-0.005605573
TNFRSF4,-0.0021974659,0.0031380118,-0.00424639,0.0010617452,-0.0027574708,-0.0013537855,0.0019932624,0.004398637,-0.001892832,0.006857366,-0.008110666,-0.014269035,-0.011588503,-0.021782495,-0.012750034,0.0063551827,0.01930207,-0.015996035,-0.0011774896,-0.0002659448,0.0007655504,-0.013000563,-0.012296232,-0.0043866076,0.004506464,0.015574166,0.015610278,0.01065531,-0.009997522,-0.0051059355,0.0018575293,0.021299612,0.0074913763,-0.012330127,-0.0064109694,0.016331347,0.01601482,-0.0049392893,-0.0134561015,0.0023351712,-0.018733995,0.007502749,-0.0019992641,0.017473787,0.0018797908
ANKRD65,-0.0012083513,-0.0030099817,0.00021431387,-0.0009363105,-0.0017247568,-0.00079577236,-0.0023989086,0.0021622411,0.0005423078,0.0005313039,0.00023756755,-0.003369475,-0.007776342,0.0020732016,0.0002484017,-0.0043440503,0.007528005,-0.0034872727,0.003286422,0.00023699655,-0.0008624804,-7.3404444e-05,0.0025885117,0.0014500121,0.0055126008,-0.00093269214,0.0057449727,-0.008831383,0.0097604245,-0.0061402265,0.00831193,-0.0063956208,0.0034271588,-0.00020806091,-0.009018755,-0.0022944857,-0.008267384,0.0033585767,-0.002063999,0.00067810906,-0.0062533473,0.007910868,0.00528072,-0.0037968585,-0.0034434372
MMP23B,0.0013689417,0.0032848914,0.0037378985,0.0013968999,0.008667253,-0.004675906,0.007207538,-0.0030303856,-0.0054039536,-0.0021496352,0.0020604932,-0.00071087014,0.0027173148,0.0033510088,-0.0007464382,-0.0020120726,0.0032930037,0.004337497,0.003181693,0.008928646,0.003216733,0.010464705,-0.0065729637,-0.00038760045,-0.0037408674,0.0027240377,0.0035537656,0.0047685127,-0.005316373,0.0035636819,0.0040163556,-0.0109148575,0.0072135283,0.003126542,0.0072897803,-0.00048258543,-0.0037042303,0.0148530705,0.0036848513,0.001604129,-0.0014830224,-0.0026069584,-0.0067955684,0.0012136576,-0.0054249116
TNFRSF14,-0.005214339,0.004580338,-0.004448368,-0.0010255588,-0.0011365432,-0.005791224,0.0049733706,0.0056501906,-0.0071580308,0.00093021744,0.0051869135,-0.00314956,0.0018375264,-0.0052436125,0.005616645,0.0055140466,0.008504793,-0.00038252724,-0.002262986,-0.0019380277,-0.0028374048,0.008850779,0.01200697,-0.0010574918,-0.0029285012,-1.1950953e-05,0.008414862,-0.004066302,0.0027018525,0.003613603,0.0026572826,-0.0023470467,0.0044712382,0.00094392657,-0.0050316784,0.015832432,-0.013381146,0.00569954,-0.00777398,0.008056945,-0.0028497828,0.003637507,-0.00572528,0.0062582293,-0.004817316
