gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54
SAMD11,-0.01361587,0.005001356,-0.0009176485,-0.0012923882,0.0038451282,-0.0041989475,-0.009704834,0.014584533,-0.00013337607,0.0051498,-0.008892145,0.02242251,0.010928169,-0.0022207052,0.0081182895,-0.005301283,-0.0069366954,-0.001413817,-0.008866351,0.0053577917,-0.010734053,0.020549314,-0.0132778,-0.02050751,0.021434499,0.012982133,0.010533945,-0.011738823,0.0038813832,0.0076488266,0.0040524863,0.004639266,0.00020875843,-0.016340518,0.012561357,-0.0067831012,-0.02433055,0.022538902,0.013863445,0.015390001,-0.01691749,0.00084270455,-0.009498895,0.004383557,-0.0030163913,0.009406236,-0.023973053,-0.0101582,-0.01582064,-0.00080477283,0.029910108,0.022136522,0.008790423,0.008812434,0.013028073
HES4,0.039903104,-0.035047915,-0.0012279524,-0.006800866,-0.031368967,0.018256389,0.026640857,0.02535791,-0.049691103,0.012284494,0.027967144,0.006978464,0.041154556,0.009677879,-0.010541155,-0.0013584212,-0.036343474,0.05823338,-0.019737605,-0.010675802,-0.02978596,-0.009033326,-0.017659716,-0.011199352,0.025860125,-0.0053803655,-0.002067944,-0.0544644,0.013154098,0.0059554423,-0.044014223,0.045673266,-0.008734985,0.00561452,0.015703676,-0.0040240726,-0.012179437,-0.022500327,0.032071725,0.005692765,-0.0026498048,0.00477887,0.016138947,-0.010181678,-0.0007884058,-0.025443751,0.04045967,-0.03413404,0.015947957,-0.010239515,-0.010235065,-0.0066450844,0.029424312,-0.0035080637,0.006152989
ISG15,0.0004908845,-0.0060644583,-0.004066334,-0.0035202494,-0.0022485731,0.0021101458,-0.004487005,-0.0033939555,-0.009196684,-0.0005262665,0.008635337,-0.003600051,0.0057394383,0.011678418,-0.013615271,0.00859825,0.009473396,0.020094896,-0.00020434041,-0.0027929202,-0.00950461,-0.0116477385,0.009508162,-0.0058927387,-0.01643681,-0.0036027993,0.0022718278,-0.008715642,-0.0018381993,-0.002758747,-0.017420348,0.0023022932,0.0023549537,-0.010445827,0.0026572093,-0.014836034,-0.013515903,0.0012167692,0.019663192,0.010113107,-0.0014965689,0.0010394881,-0.00863677,-0.020070897,-0.0071507213,-0.02095383,-0.00026864186,-0.0039129644,-0.007615883,-0.0075141694,0.023197614,-0.0075524463,0.011622685,3.2290893e-05,0.004358053
MMP23B,-0.00011724565,-0.00063258375,-0.0006356552,-0.007325225,0.0010531163,0.0015750057,0.0013222198,-0.008793697,-0.004417616,0.0009940441,-0.0029135616,-0.0007368964,0.005068059,-0.001714753,0.0042465427,-0.010074043,0.00045110573,0.0029740601,-0.005585213,0.0020941186,-0.00029096613,-0.0009876293,0.0012348755,-0.0007509406,-0.0030994364,-0.003907176,0.00061174546,-0.008682008,0.0032544904,-0.0054340875,-0.0016960716,0.0043676803,-0.0005165216,0.007371774,-0.00073442154,-0.0036142068,0.0026961986,-0.0016559412,-0.001960297,-0.00634966,-0.00030684524,0.0038752116,-0.0096252225,0.0048285984,0.005146132,0.002180494,-0.01289274,0.00347095,0.012816856,0.0010851591,0.008849495,-0.011214607,0.0011764221,-0.0053038695,0.0050559402
TNFRSF14,-0.0035129623,0.0057454226,0.0005559938,-0.0077918703,-0.0024046656,-0.0024886385,-0.00074189843,-0.0015339081,0.0023770677,0.002548749,0.0024601622,-0.005722594,0.0102105085,0.005335354,-0.011251626,0.0063033253,0.00018031361,0.010127759,-0.00062620896,0.0018727445,-0.0028584471,-0.007657144,0.010693457,0.001643518,-0.00838361,-0.004540819,0.002862936,-0.010034477,0.0064705596,-0.005797993,-0.013360327,0.0030085873,-0.0007820807,0.0048446995,-0.0004286693,-0.004408699,-0.0062722974,0.0004857316,0.015052533,0.0019126143,0.00020822183,0.006723323,-0.010474704,-0.01042215,-0.00086459465,-0.010678303,-0.006791633,-0.0014267963,-0.0029978682,0.009236951,0.012371789,-0.010027711,0.00591564,-0.00316387,-0.003676504
TTC34,0.000782751,0.00048531877,-0.002481298,-0.0010967127,-0.005613671,0.0031632658,0.0011884602,-0.001222566,0.0010744431,-0.0028881794,0.00054919545,-0.002679951,-0.0042163744,-0.001696058,0.008458096,-0.00377056,-0.0068148654,0.0045199976,0.005122456,-0.005254825,0.00020621646,-0.0027215546,0.0026937225,-0.006607745,-0.0005286845,-0.004062461,-0.0058462345,-5.779556e-05,0.00022769833,-0.00151239,-0.0063444977,0.00277642,0.0005719598,-0.00039946038,0.0009968773,-0.013252796,-0.0004281413,0.0040735574,0.0025260004,-0.0012043341,0.009296749,-0.00056694855,-0.008740284,0.003328008,0.006829843,-0.00026482294,-0.0021546222,-0.0043786033,-0.0016353807,0.000711348,0.0010120362,-0.0011231861,0.0023099852,-0.0017892729,0.0029189708
SMIM1,-0.0038929356,-0.0028946789,-0.001567247,-0.0042346697,0.0036550437,-0.002465133,-0.00090062787,0.0015358899,-0.0001212904,0.006586201,-0.0011968103,-0.0045070755,0.009176746,-0.0067990646,0.0110900765,-0.01948629,0.009169612,0.0054357466,-0.017307423,0.0023516673,0.0076374356,0.00019289891,0.006613291,0.003168962,0.00018013529,0.003965812,-0.0051002908,-0.013202026,0.010641243,-0.0085747,-0.008898854,0.0004598377,0.006211681,0.015569827,-0.0043546576,0.0058965655,0.0067224805,-0.006105488,-0.0032525891,-0.012940236,-0.006664947,-0.00050900475,-0.0048959763,-0.007127071,0.0067958334,0.015668811,-0.015030253,-0.008504774,0.019324452,-0.0006942692,0.01209681,-0.020585673,0.005656755,-0.013444133,0.010588179
LINC00337,0.0034043766,0.00019612588,-0.00053015316,0.00057937857,-0.0025051432,8.4660474e-05,0.0031074642,-0.0016859206,-0.00340299,-0.0011678722,-0.00028084914,0.0022851224,0.004849128,0.0004920789,-0.0022577792,0.0005806477,0.0012305096,0.0023022748,-0.0046655335,5.626837e-06,0.0013620631,0.0029389102,-0.00035565253,-0.0009601933,0.0018837821,-0.0007633176,0.004388021,-0.004589481,-0.0016162328,0.00028021054,-0.0006950112,0.00092558056,-0.0027139154,-0.004894601,0.0020532822,-0.00069053634,-0.002740073,0.0003145953,0.0015350191,0.0013840819,0.000541627,-0.00062630983,-0.0047922176,0.0026798109,0.0030809483,-0.0013670635,0.0022695574,0.000721197,-0.0012633495,-0.0023302317,0.00044471148,0.0011248909,0.0012460698,-0.0044605173,0.0003413708
HES2,-0.0020893516,0.003369141,0.0014869261,-0.0003183788,-0.0011750199,0.0045044217,-0.0032679597,0.001693812,-0.0011323438,0.0033035462,-0.0042556347,-0.00056941865,-0.0024828226,0.0027824542,-0.0033433216,0.002783135,7.779951e-05,-0.0019468805,-0.0073779747,-0.0039743367,-0.003214532,-0.0039087594,0.0021383576,-0.0015750797,-0.0035161707,0.0044213533,0.0055431575,-0.0031437543,-0.0033987341,0.00969081,0.0024166321,0.00025846346,-0.002073191,0.004811772,-1.4831432e-05,-0.00292749,0.0010859965,0.0017291409,-0.0028835726,-0.006009201,0.0013739021,0.0047788285,0.0020274,-0.0017858595,0.0046175895,-0.0016605561,0.0024238594,-0.00421402,-2.299327e-05,0.0015307023,-0.002205758,0.0012808787,-0.00061572256,0.0037929362,0.0047980985
TNFRSF9,0.0028674337,0.0014025249,0.0015752844,-0.0022150036,-0.0075565283,-0.007708299,-0.0022617748,-0.0105473865,-0.008149703,-0.0006948262,-0.005340347,-0.0075011584,-0.007357199,-0.00080427213,0.008374588,0.01592012,-0.004444299,0.011976673,0.016772702,0.0068292003,-0.0014586275,-0.010522922,-0.022528661,0.004328499,-0.0019515153,-0.00030211947,0.008041265,-0.013571757,0.017253317,0.025488103,0.01160696,0.012488167,0.013057131,-0.009721136,0.01763466,0.034800686,0.00012584815,0.019670747,0.013324946,0.0046817292,0.010666244,0.0116890315,0.004055806,0.016006576,-0.0022757754,-0.012441597,0.008103962,-0.00879421,0.008526898,-0.0013330113,0.011189913,0.01899924,0.0055746874,0.0029183233,0.010524896
