gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
SAMD11,-0.0039312905,0.006514706,0.0012303576,-0.0015626238,0.012677516,0.013097386,0.003893354,0.037522204,0.0052657397,-0.023532132,0.0132562285,0.031178424,0.021280067,-0.008209516,-0.004532019,0.01122863,0.0014290753,0.009855077,-0.0061974316,-0.014114054,-0.013391652,-0.0019936494,-0.0075275055,-0.006412819,0.013080994,0.012582331,0.027096886,-0.019162906
HES4,0.010447638,-0.013578705,0.020458547,-0.020654181,0.00019382054,-0.020379094,-0.027721848,-0.015226039,0.019263407,-0.0131035,0.0031127527,-0.012210207,-0.006474913,0.020551676,-0.025187204,-0.03766318,-0.002959,0.021539845,0.0120973755,0.014035915,0.0055032615,-0.0011933484,0.0038590878,0.014805073,0.034541786,-0.008035824,-0.017698199,-0.021484185
ISG15,0.0012512819,0.0018191292,-0.00020325821,-0.0071506053,0.0010478405,0.011596015,0.0008984829,0.00096204446,0.0017906593,-0.0055179037,-0.0066497047,0.0073573715,-0.0013847944,-0.0056068306,-0.009716878,0.0024712954,-0.0040918025,0.0041984874,-0.0020558794,0.004786334,-0.0008718169,-0.0022549715,-0.0029689837,-0.024626924,-0.0022187866,0.008313778,0.0072649526,-0.008202583
RNF223,0.00015945896,0.0019928988,-0.0013261241,-0.0014900416,0.00064315856,-0.00041838322,0.00020578895,0.0020914425,0.00038271424,-0.0003526543,-0.004318121,0.0011721778,0.0026861446,-0.0015307426,-0.001220765,0.0007719162,-0.00082038884,-6.992654e-05,-0.0023909246,-0.0013676872,0.00039692642,0.0005693275,-0.003296328,5.0907853e-05,0.00033718775,0.0003597958,-0.0011237405,-0.0020807264
TNFRSF4,-0.0033443784,-0.003136152,-0.0014350235,-0.0010919959,0.002963487,0.003168545,-0.0030624312,0.005499067,-0.009725636,0.011758857,-0.01031971,0.00034661332,0.0019951158,-0.0019196853,-0.014826142,0.004825952,0.0021055322,-0.004784515,0.013572239,-0.007848379,-0.010892067,-0.007539719,0.00042328238,-0.00042692418,0.0010063379,-0.0016428233,0.005000955,-0.008939745
MMP23B,-0.0001696999,0.0023706544,0.0045358785,-0.0024784608,-0.00058330095,-0.0022606484,0.0006817059,0.0073928875,0.002637789,0.0026567965,-0.0034065295,-0.011180056,0.0053511728,-0.002783735,-0.004035029,0.003537388,-0.0024990207,0.003538235,0.0009846238,0.002614822,0.006285744,0.00533991,-0.010173538,0.010774973,-0.0003100625,-0.00066692894,-0.013592384,0.0007901085
TNFRSF14,-0.0014532112,0.002538108,-0.00037087797,-0.0032664312,0.0075896154,-0.0034415638,0.001418221,-0.0002459687,0.005953442,-0.0058664824,0.0036058342,0.0008235242,0.005454222,-0.0036841193,-0.0059124785,0.0005308032,0.0010098228,0.0016437593,-0.00044239603,-0.00038692978,0.0023328732,-0.0033719186,-0.006624213,0.0044006663,0.0063137994,-0.003603648,0.0009623258,0.010613648
TTC34,-8.432951e-05,-0.00010773676,-0.0003178546,-0.0012863427,0.0019116151,0.0025624195,0.0026192074,0.0034074793,-0.0036785272,-7.443911e-05,7.817597e-06,0.00040309693,0.0069883196,0.0039331634,-0.0016910807,-0.0038756966,0.0013002272,-0.0021691155,-0.0001714423,-0.0005368054,-0.0011636175,0.0010948483,-0.0008383112,-0.0039583426,0.0039860033,0.0006406741,-0.0008832472,0.002812586
SMIM1,-0.0014946664,0.0057158913,0.006077239,-0.00027339833,4.229536e-06,-0.012996379,0.0014863625,0.013260839,0.009182366,3.430963e-05,-0.014265885,-0.022289775,0.012333203,-0.005953057,-0.011771194,0.0054952,-0.0098408265,-0.0010682107,-0.0023724278,0.0032592537,0.011531959,0.0073880567,-0.014516121,0.024153788,-0.00312742,-0.007571724,-0.01996063,0.0019065795
LINC00337,0.00024720872,0.00077017944,-0.0015965864,-0.0025180075,0.002509884,-0.0010848661,0.00073151593,-0.0008459118,0.002068503,-0.0007819947,0.0016569787,0.00015210031,-0.0019579208,0.0018258567,0.0008455157,-0.00019380372,0.00013810534,0.006666202,0.0017041726,0.000687166,0.003593134,-0.0009597284,-0.0038444665,-0.0016236139,0.0010181044,0.00027533394,0.00038354614,0.00035458794
