,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104,phi_105,phi_106,phi_107,phi_108,phi_109,phi_110,phi_111,phi_112,phi_113,phi_114,phi_115,phi_116,phi_117,phi_118,phi_119
AADACL2,-0.0010547582,-0.00015236491,0.00036036718,0.0018199846,-0.0006365081,0.0005323789,0.00021337581,-0.00086634525,-0.0024167988,-0.0005736409,0.0016285531,-8.248621e-05,0.0016277737,0.001993269,0.00072923314,-0.00075798185,-0.00070310733,-0.00023593256,0.0006517852,-0.0012279142,0.0012720828,-0.00039949795,0.0020938043,-0.00024653476,5.0512757e-05,-4.669335e-05,-0.00027335438,-0.0009970234,2.5012364e-06,0.0007455681,0.0005393054,-0.00066576846,-0.0006718945,-0.0014332668,-0.00051081425,-0.0035024167,-0.0019123375,0.0020645235,0.0010421871,-0.00041981565,0.0026096685,0.0020428589,-0.00060478336,0.0007681211,-0.0009766355,0.00027936517,0.0004500691,0.0011371358,0.0004461267,0.0004321249,0.00028417932,0.000896339,-0.00018419983,-0.00036191678,-0.0012360148,0.00014902548,-0.00032806554,0.000357337,-0.0013436773,-0.00067348324,0.0005720944,8.626961e-05,0.0012588061,0.0014534777,-0.00023732382,-0.00034222734,-0.00030259741,0.0006971841,0.0027483124,0.0012877625,-0.0016289904,-8.112452e-05,-0.00077857386,-0.001972432,-1.9227191e-05,0.0015546175,0.00047400387,0.0035125928,0.00095580565,-0.00090110913,-0.00023767944,-0.000637371,-0.0021788406,-0.0021016097,0.001751685,0.0018850652,0.00017628365,0.00018474924,-0.00041892455,-0.0010116111,-0.0013956584,-0.00013538059,0.0014833432,0.0027790794,-0.0020433855,-0.00010430122,-7.213486e-05,-0.0024520922,-0.003451795,0.0007755813,-0.0018914952,0.00046168425,0.0014469097,-0.0002564785,-0.0023118234,0.001552564,0.00024773699,0.0004926437,0.0015937511,0.0015229931,0.0006778317,0.00030534362,-0.00060649327,0.00056671025,0.0010376662,2.6405534e-05,-0.0005123363,0.0011595945,0.0019206848,0.0020143704
ABCA1,-0.0015631189,0.003285976,-0.0022941516,-0.005836556,-0.002446673,-0.0025610216,0.0041507995,0.0014500455,-0.00021805754,-0.001122671,-0.0012294769,0.00019323398,0.00039706263,0.00067302544,-0.0042653875,-0.00032628118,0.0038410567,-0.0033054317,0.0016651129,-0.00044644787,-0.004827267,-0.0026860638,-0.0012028153,-0.00063728733,0.0071334997,0.0016293701,-0.0011515201,0.0022860838,-0.002547776,-0.0038009505,-0.0026158837,-0.00091803964,0.00014874908,0.0053563155,0.0054239016,-0.0059703006,-0.002033297,-0.0026651206,0.00023524363,0.0016689164,0.00036243,-0.003260231,0.014876688,-0.00022018727,0.010249609,0.0025223983,0.0014472298,0.00067249767,0.00026194175,0.0017283405,-0.0015929874,0.001072876,0.0006195118,0.0008270343,-0.0032338372,-0.0033417633,0.005786169,0.0031626846,0.00022194828,-0.001021277,0.004248276,-0.0018955215,-0.0030799778,-0.002753569,-0.0015349551,0.0026454616,-0.0021628996,-0.0025792383,-0.00057012035,-0.00035711384,0.0015052238,0.0008340649,5.493715e-06,0.0022068075,0.00080233463,-0.004158315,-0.0024303577,0.0031571076,0.0018680946,9.126244e-05,0.003919909,-0.0036739984,-0.00056086335,-0.0071961987,-0.004990293,-0.0023017698,-0.0020285358,0.0050530178,-0.0039959517,0.0015454291,-0.0006470878,-3.5736517e-05,-0.00071412994,0.0007419775,0.0034962455,0.0043573123,-0.0015245535,-0.0009697611,0.0016814992,-0.0024117378,0.0033784444,-0.0022111686,0.00079895573,-0.00026003638,-0.0021921233,-0.0011819408,0.0018970142,-0.00319818,-0.0024041792,-0.0048240954,-0.0020748223,-0.0003916055,-0.0005180386,-0.0036481568,-0.0008531778,-0.002079501,-0.005011124,-0.003318918,-0.00041704706,0.00087495777
ABCC11,-0.0028296246,-0.0009003954,-0.0017248307,0.0020031494,0.00077154546,0.0015263476,0.00052702276,0.0009479825,0.000111851354,-0.000116092015,0.0021575096,-0.00093529496,-0.0008890951,-0.0019246606,-0.0004256854,-0.0017160159,0.00010593233,0.0014891493,-0.0029997823,0.0017696351,6.803856e-05,-0.0014079623,8.803574e-05,0.0018760168,-0.003101107,-0.0027897567,-0.002453916,0.0026719645,-0.0013412376,-0.002290254,0.0008875738,0.00075648545,0.00085888593,0.0022094252,-1.372049e-05,0.0015174216,0.0010761494,-0.0017628942,0.0031333666,-0.003464933,0.0018139654,0.0038625349,0.0014862448,0.0008404556,0.002825106,-0.0014964805,-0.0021145714,-0.0008650695,0.00030017772,-0.002158121,0.00116317,0.00058286334,0.0012258117,-0.0005819558,-0.00044594143,-0.0005082144,-0.0015045609,0.0020048611,0.00055109774,0.0010905708,-0.0021947317,-0.0015893142,-0.0003788948,-0.00093573635,0.0029982955,-0.0012367715,-0.0011395747,-0.0006224024,0.00027414615,-0.0022035844,-0.0011635972,0.0016921507,-0.0011371629,-0.00025991653,-0.00012248279,-0.0017529224,5.14122e-05,0.00048629445,0.0006227209,-0.0013786493,0.0025236188,-0.0026509378,7.727403e-05,-0.0005070908,-0.0023556033,-0.002026591,-0.0013020479,0.0016543188,-3.7708985e-05,-0.0010382073,-0.0021278888,0.0013738394,-0.00091633573,-0.0029173843,0.0010005583,-0.00088217575,0.0007869372,-0.0012757103,-0.00040650356,-0.0015708726,-0.0028632872,-0.0042701666,0.002666863,-0.00018014818,0.0031761948,-0.00076002185,0.0027057684,-0.0009790311,-0.0038045172,-0.00042165126,0.0010897263,-0.001408858,-0.0013914503,0.00033677797,-0.0007447799,-0.00030087182,0.0018437543,-0.0011087867,0.0018514971,0.0020312192
ABHD12B,0.0022144297,0.00073263067,-0.011633658,-0.015418926,-0.0017802133,-0.008005996,0.0055264533,0.0024575077,-0.003176684,0.0004860374,-0.00013927215,-0.0019691791,-0.003946347,0.004555851,0.011584928,-0.010884583,0.001608341,-0.0056488863,0.004149201,-0.0019565271,0.00023996405,-0.0034031312,-0.0024338623,0.012806973,0.006067869,-0.0040912773,-0.0030546195,-0.009560983,-0.0068382258,0.004241257,0.02084943,-0.002699984,0.019662486,-0.0036111749,0.015247831,0.009453316,-0.008166828,0.005044096,0.004900954,0.0074192407,-0.00080131274,-0.01955823,0.008825054,-0.0017504034,0.017108068,-0.007941969,-0.0014714688,-0.004237294,0.002899102,0.0015774993,0.0039480045,0.013314524,-0.01330386,-0.035047192,0.007318179,0.0010842895,-0.0006438424,0.00042203776,0.0022466693,0.01349064,0.010904298,0.0016509938,-0.0025969315,0.011933212,0.007853589,-0.0016251946,-0.008578776,-0.006800593,0.011277788,-0.0021097118,-0.008885728,0.00010625922,0.00743744,-0.007545719,-0.024300091,0.0031119292,-0.0058860662,-0.010396075,0.004278169,-0.0016315548,0.00021916286,-0.0048880037,-0.0056902515,0.009064995,0.0013389274,0.0027145273,0.00079442316,-0.0007434791,-0.006531009,-0.0017309939,-0.0022647225,0.00883011,-0.008637215,-0.0066047064,0.0017298077,0.009127505,0.00018064288,-0.001296554,-0.0070487685,-0.0027102006,0.0032915224,-3.55037e-05,0.005214014,-0.006810989,-0.0039147204,-0.0073927906,-0.0015137756,-0.009735841,0.008751808,0.00980288,-0.0028147846,0.0016800271,0.005435971,-0.0024158228,0.0010658269,-0.0040071006,-0.01731404,0.0023654553,0.0062992508,0.028404448
ABHD3,-0.0008080629,0.0014792994,-0.0010500813,-0.007894345,0.0015560425,-0.003815605,0.0020906453,0.0001754822,-0.0009377688,-0.0011127334,-0.0005174713,-0.0022363258,0.0006399306,-0.0039065885,-0.0033108948,-0.0011162856,0.004110404,0.0042938753,0.0014320755,-0.0010399526,-0.00041559333,-0.0004811476,0.0027888068,0.0025460613,-0.003500242,0.0013437014,-0.000119028504,0.0019908568,0.0042577162,-0.003934328,-0.0025589701,0.004557216,0.0016457001,-0.0014554139,0.00060560356,-0.002788329,0.0021973688,-0.0038715352,-0.0017506814,-0.0024146342,-0.003998466,-0.0047578583,0.014196456,-0.0036580295,0.010706977,0.0009165846,0.002233383,-0.0012083973,0.0025920349,-0.004212798,-0.00102489,-0.0017437574,0.0024124866,0.0031521015,-6.296995e-05,-0.0005840291,0.0029836863,0.0019232773,0.0019365313,-0.00060158334,0.0006235635,0.0028291552,2.9674364e-05,-0.00018969824,-0.0018866718,0.0026101915,-0.0031351624,-0.00047917056,0.00046872118,-0.0007127203,-0.0011553918,0.0021858888,-0.0016441311,-0.00012197256,0.0010024785,-0.004974212,0.002989158,-0.004173357,-0.0016697467,-3.9631323e-05,-0.0015012415,-0.0026121372,0.002883091,0.0028014262,-0.00048454019,-0.003613259,0.0008276054,-0.0006722094,0.0040622964,-0.00057785114,0.0047372202,-0.0036298637,-0.0031892364,-0.006267371,-0.0022917571,-0.0027877328,-0.0018664073,-0.0070378864,0.0035618364,-0.0042681065,-0.0006968743,-0.0012820568,-0.002716455,0.0010344029,0.0017178587,-0.0027995158,-0.0066776644,0.0053726104,-0.0056411065,-0.0054579284,-0.0015610721,0.004882025,-0.00054139696,-0.0011101031,-0.0034675763,0.00012549432,0.0021407912,-0.003355692,-3.3403998e-05,-0.000663471
ABTB2,0.00095024164,0.0025731963,-0.0017843365,-0.008002617,0.0020820594,-0.001530098,0.0018291521,0.0027141075,0.0019346469,0.00072767894,-0.0020749741,0.0020330756,0.0014252501,-9.811995e-05,-0.0029576027,0.0023400532,-0.0016677916,-0.0015005338,0.00017909236,-0.006633898,0.003168427,-0.0086606415,0.008613618,-0.0070533496,-0.006089604,0.008477591,0.0053475928,0.0015266679,0.0037773456,-0.0039762296,-0.0011714912,4.967693e-05,0.0020515437,-0.0013963205,0.0011309872,-0.004558882,0.002137474,0.000726695,0.0027529588,-0.0048984243,-0.0030725666,0.0066143484,0.013653536,-0.009037798,0.009099712,-0.0010582218,-0.0023132751,-0.0023623563,-0.0013435687,0.0022157975,-0.0030370974,0.0032833158,-0.00045463484,0.0027823257,0.0026787096,4.395608e-05,0.0012017074,-0.0052456227,2.1269032e-05,-0.002860456,0.001969348,-0.0013959141,0.00089822354,0.004097706,-0.00018958011,0.0011344443,-0.00077906955,0.003393076,0.00325903,-0.003288815,0.0017710655,0.0041139834,-0.0020962604,-0.0021070775,0.0033012105,-0.0029529391,-0.0007953942,0.0023071705,-0.0038808836,-0.0020510934,0.0005083579,-0.0033918717,0.0012475415,0.0096623665,-0.0037972073,0.007858751,0.0033746627,0.0045107626,-0.0039113536,-0.007992525,0.0010857905,0.0022344545,0.00014619873,-0.0015892715,-0.0041002077,0.0063403216,0.00064305856,-0.0012262315,-0.0035632746,-0.002027305,0.0003423649,0.0023627998,-0.00463327,0.0035884834,0.0012794399,0.00015443591,-0.0019683712,0.006810171,-0.0036720985,-0.0015249839,0.0033091644,0.0025888607,0.0013697414,0.004630015,-0.0012273855,-0.0028904174,0.00039343358,-0.0022586575,0.0006233231,-0.0030714786
ACOXL,-0.006266708,0.0013124403,-0.0045797895,-0.0023118588,5.0479048e-05,0.0011006944,0.0045357803,2.3129794e-05,-0.003684439,-0.0034898324,-0.0024943582,0.00044295643,0.0003470618,-0.0048988247,-0.006214413,-0.0029929038,0.00715773,0.002434853,-0.0001529967,0.0015438871,-0.0037244274,-0.003221765,0.003610516,-0.00053457473,0.005367685,0.0013074378,-0.0016376649,-0.001001718,0.0036170266,-0.0070406143,-0.0028584981,0.0032069867,-0.00018801603,0.0007068479,0.00090795907,-0.0047978223,0.004677295,0.0013806806,-0.004427976,-0.00397864,-0.00489791,-0.0074427077,0.015592399,-0.0049877204,0.011911011,0.0025403048,0.0052529736,0.003940347,-0.00031765024,0.003228349,0.0005183366,-0.00044356124,0.0038555712,0.003424988,-0.0024318004,0.00019475198,0.0041085575,0.0037193839,0.0007054835,-0.0011129542,-0.006682858,0.0025188522,-0.0036661539,-0.004632471,-0.0044671865,0.0029285187,-0.0026664145,-0.0020196452,0.0040419083,-0.0012373944,0.0036483975,0.0037773403,-0.0023895227,0.0016443685,0.0026003574,-0.011784823,-0.0037681018,0.0011482592,-0.007946594,0.00059440435,-0.00044127126,-0.0029559382,-0.0021434443,9.953011e-06,-0.001530341,0.002016604,-0.00086872774,0.0042569814,-0.0026815361,6.144435e-05,0.0012095467,0.0064863227,-0.00080056314,-0.005246377,0.001727011,-0.004520766,0.0040400536,0.0005392822,-0.0018507633,-0.00076413876,0.0018154714,-0.0009830935,-0.00072315795,-0.0053705946,0.0024605764,-0.00316122,-0.0062746345,0.0023258012,0.0008456793,4.221701e-05,-0.0079885265,-0.0030595674,-0.0004972139,0.00067023054,-0.0045322,0.0053430195,0.0070350044,-0.0056881374,-0.00039947155,-0.010567672
ACP5,0.0028007885,-0.0008471656,-5.1090137e-05,-0.0027180023,0.00049158814,-0.0031955757,0.000718674,-0.00044027052,1.8490666e-05,-0.0013668765,0.002291096,0.00015303608,-0.0017232369,0.0028640078,0.0010125042,-0.004416091,0.003245816,0.0011460161,-0.0016751183,0.0009702115,0.0013100822,0.00067690806,-5.970752e-05,0.00015751056,0.0037354464,-0.001276653,-0.00266957,0.0014793329,-0.00052719883,0.0013881804,0.0017572426,0.0021328107,0.0025676775,0.00039488764,0.003155197,0.0017720876,0.0036567252,-0.0010696986,-0.0023843122,-0.0013797365,0.001038356,-0.00095948484,-0.0012268336,-0.00020922959,-0.00014001949,-0.000650181,-0.0014065513,0.0013986892,0.0026558074,-0.0027493357,-0.0011971327,-0.00084079476,0.0005787211,-0.00053226546,-0.0011247498,-0.0016861723,0.0009486126,-0.0021365257,0.0029803282,0.00056875043,-0.004144382,-0.0015769337,-0.000947646,-0.0018764418,0.0009868122,0.0004995687,-0.0036282039,0.0030417212,3.47163e-05,0.001603934,-0.0010280872,-0.00037344042,0.0029999083,-0.005559546,0.0016500789,0.00532657,-0.00034351595,0.002258723,-0.0022172115,-0.0028304383,0.0011161232,-0.0039854846,0.007289099,-0.0028843584,-0.0033383633,-0.002110006,-5.6774294e-05,-0.0023149452,0.000842348,0.0028552925,0.0022544395,-0.0018228146,0.0019071087,0.004900654,-0.00023532187,6.3981075e-05,-0.0010390668,-0.0014205306,0.0031156566,0.0010277631,0.0015175607,-0.0053821867,-0.0036841098,-4.1884305e-05,-0.00048634433,-0.00085316034,-0.0014150122,-0.0012983212,-0.0037035116,0.0042461143,-0.0017702492,-0.0013745375,0.0020003312,0.0002602796,-0.0013252054,-0.0014602056,-0.004799363,0.0022603604,-0.0020272592,0.003204133
ACTA1,-0.002097082,0.0035060034,-0.0028353073,0.002789561,-0.0036296132,0.0005069261,0.003021152,0.0033993095,0.002969878,-0.0010495351,-0.0029496073,0.0016269488,0.0002769448,-3.5841873e-05,-0.00042923726,-0.0028242914,0.00092220336,-0.0015334379,-0.0023605388,-0.0038065822,-0.00021583833,-0.0014759762,0.0037261515,-0.0023186177,-0.005786308,-0.0014590218,0.00086197356,0.0034567204,0.0035811593,-0.00020156415,0.00051208574,-0.0024554445,0.0020758503,0.0050177416,0.0013259152,0.0020108686,0.005875065,-0.0028831784,-0.002953487,-0.0020660895,0.002326029,0.005723021,-0.004657691,0.0020592962,0.0003513325,-0.00025461576,-0.0015863082,-0.0031773262,0.0016487107,0.0021812064,-0.0008626277,0.003654735,-0.0024193972,-0.0018331805,0.00020933233,0.0037402106,0.003371138,-0.0036412831,-0.0026466546,-0.004545645,0.0035237435,0.0015794141,-0.0012990513,-0.0022374426,-0.005251569,-0.0014776862,-0.005657956,-0.0012021083,-0.0031284054,-0.000840664,0.0011134638,-0.0014900304,-0.00044528575,-0.0011618779,-0.0011556775,-0.0004624203,-1.4616484e-06,0.0023238417,0.0025798082,-0.006871469,-0.0068480694,0.0013072791,0.0012994506,0.006011064,0.0028632681,0.0010667378,0.004381956,-0.006521174,-0.0046467017,0.0047831493,0.0019971968,0.0030081267,8.500107e-06,0.00039374206,-0.0016097004,0.001089295,0.0014593267,0.003478984,-0.0030970094,-0.00030371724,-0.0012585175,-0.0015227954,0.0025458457,0.0019514634,-0.0037181445,0.0027256552,0.006100411,-0.006091442,-0.0076824618,-0.003500012,-0.0006751956,-0.0032077755,-0.00828558,-0.0015629617,0.0028873335,0.0029795354,0.0050002094,0.0032569042,0.0030752004,-0.0024872806
ACTA2,0.0033461973,0.0015139687,0.0013944955,-0.0013146386,-0.0016538915,-0.0019006223,0.0017867957,-0.0011261693,0.0040165847,0.0005584033,-0.0037661528,6.487802e-05,0.00024591293,0.0029363849,0.00028382294,-0.002831664,0.0038764896,-0.003350341,-0.003422759,-0.00075843924,-0.00451849,-0.00017555818,0.003359656,0.004249843,-0.0008177521,0.000334028,0.0005708084,0.0017208562,0.0012726245,-0.001324809,0.00014062213,-0.0018783003,-0.0007675783,0.0016835016,-0.00037332383,0.0022265872,-0.0007887367,-0.0028030963,0.0010277837,-0.0013314286,0.0014528699,-0.00028564353,-0.0024474042,0.0010810688,-0.0014285499,-0.0035805088,0.001678322,-0.0026155955,0.0009584814,0.0024981447,-0.0015832842,0.00046061884,-0.0026357602,6.6500375e-05,-0.00037374525,0.0015014462,-0.0010140152,-0.000114734125,-0.004074231,-0.0018367007,0.0089748595,0.00086272013,0.00086372625,-0.0011712831,0.0010744042,-0.00033536117,-0.0011630271,0.0012290333,-0.0012442465,0.0005159169,0.005309116,-0.0005749605,-0.001899398,0.00095738086,0.00094995665,-0.0039295615,-0.00089240173,0.0050111567,8.20908e-05,-0.0029862376,0.0001373046,0.0012534254,-0.0014929962,0.0020002807,0.00071415456,0.001557175,0.00054654275,0.0001879161,-4.76232e-05,-4.4156128e-05,4.3769105e-05,0.000737286,-0.0004873943,0.0020398959,-0.009249902,-2.464264e-05,-0.0014856034,0.00091302884,0.0009780928,-0.00078686926,-0.0014982942,-0.0015187802,0.0011393689,0.00045828125,-0.002526177,0.008173731,0.0017044394,0.0015153995,0.0009047014,-0.0020359696,-0.0017870438,-0.0009265256,-0.0021879915,0.001335159,-0.0010360868,-0.0001929642,0.0009831234,-0.001593368,-0.0010590634,-0.0031521625
