gamma,eigengene_mode,ae_standardize,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,t_stat,p_value
1p0,global,none,0.2597,0.261,0.2584,0.2487,1.8875,0.032467
1p0,global,zscore,0.9714,0.9877,0.2647,0.2816,-2.9665,0.997705
1p0,global,zscore_ref,0.9884,1.0003,0.3894,0.3282,8.8677,0.0
1p0,all_cells,none,0.2597,0.261,0.3822,0.3563,2.176,0.017159
1p0,all_cells,zscore,0.9714,0.9877,0.3952,0.3067,9.2124,0.0
1p0,all_cells,zscore_ref,0.9884,1.0003,0.1721,0.1601,2.3738,0.010753
1p6,global,none,0.2576,0.2589,0.3182,0.2926,6.2697,0.0
1p6,global,zscore,0.9579,0.9732,0.3053,0.2859,5.4711,1e-06
1p6,global,zscore_ref,0.9699,0.9822,0.4161,0.3879,6.331,0.0
1p6,all_cells,none,0.2576,0.2589,0.5542,0.4276,17.7386,0.0
1p6,all_cells,zscore,0.9579,0.9732,0.3751,0.301,20.0164,0.0
1p6,all_cells,zscore_ref,0.9699,0.9822,0.3417,0.2942,11.961,0.0
