,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104,phi_105,phi_106,phi_107,phi_108,phi_109,phi_110,phi_111,phi_112,phi_113,phi_114,phi_115,phi_116,phi_117,phi_118,phi_119
ABCA1,-0.0014828051,0.0019651738,0.0016433174,-0.002386457,-0.0019120302,-0.0009575738,0.00084354356,-0.0012681574,-0.006077535,0.00026068056,0.0018016275,0.00031935825,0.0010726702,-0.0012977595,-0.0028695762,-0.0011003885,0.0043462003,-0.0018013878,0.00055559294,-0.0016381069,0.002618943,0.0006572415,-0.004076795,-0.0017879463,0.00019794935,-0.00053456496,-0.0035471304,0.0013518819,0.00240309,-0.008980609,0.00027741122,0.007160089,0.00044738888,-0.00021279989,-0.0073270937,-0.0012584135,-0.0025278733,-0.00048563245,-0.0029563296,-0.00064715877,-0.0030903495,0.0014473858,-0.0055803712,-0.006144859,-0.0037603506,0.0007452334,0.0025225137,-0.0015701314,0.0010161296,0.003353402,0.00061341707,-0.00520123,-0.0022383353,-0.0028692007,-0.0068989582,0.00053045806,0.0019158241,0.0017927897,-0.0043125283,0.0006959738,-0.000689885,0.0047439504,-0.0024404447,0.001734983,-0.004203236,-5.4870558e-05,-0.00063375157,-0.0004415183,0.004641403,-0.0010737503,0.0005307609,-0.007561871,8.234737e-05,0.00063508,-0.0012039959,-0.007044187,-0.004131901,-0.003765183,-0.002580897,-0.0065689767,0.0018784573,0.00029570487,-0.0052298503,-0.0041158795,-0.005405967,0.0006951008,0.006197274,-0.0022667996,0.005657327,-0.0054547912,-0.0054280558,-0.00062719797,0.018327657,0.0026991067,-0.0008625847,0.0023843087,-0.0035084728,-0.0016814115,0.0013897439,-0.0047397176,-0.002076415,-0.003129281,-0.0007515149,0.0022041753,0.00010574495,-0.006598358,-0.0004066264,-0.0016517072,-0.00043458343,-0.00022098159,-0.00738462,-0.00056159217,0.007139572,0.0016968125,-0.00027663715,-0.006382097,0.0016082092,-0.0034235215,7.618186e-05,-0.0073365336
ABCB11,0.0006661772,-0.000987268,0.0006645962,0.00059050974,-4.2355667e-05,0.0006053471,0.0039647566,0.0016898244,-0.002620666,0.0005119379,-0.0012119086,0.0007697596,0.0007672158,0.00059924705,0.0016435803,-0.0008637602,0.0026553404,-0.00074828573,-0.0020105203,0.0052385502,-0.0002598302,0.000725923,-0.0004861838,0.0038562112,-0.002630513,-0.0012512765,-0.0012297983,0.0023328862,-0.0029721097,-0.0022572167,-0.004760799,-0.0026107808,-0.0014698422,0.0020333184,-0.0016676771,0.0019502983,0.0025745076,-0.0008254578,0.0018260669,0.002007999,-0.0009842935,0.0037566836,-0.0012076619,0.00091246236,-0.00023222141,-6.0612987e-05,0.0019558128,-0.0011973975,0.0002379982,0.000933388,-0.004633635,-0.0005417887,-4.0628263e-05,-0.0018796211,0.0012116808,-0.0015852898,0.0009395713,0.0029384885,0.0008057923,-0.0005477459,0.0021824792,0.0042815874,0.0006762475,-0.0006034031,0.0041522505,0.00046961068,-0.0015329177,-0.0024034982,-0.0010913091,0.00033874056,-0.0037342568,0.00016369972,0.0002234876,0.00029156887,-0.0015761192,-0.0032251102,0.00034112175,-0.0027403205,-0.0037345411,-0.0002177452,0.0002360123,0.0005493215,0.00036566218,0.002230569,-0.00037771286,-0.003197282,0.002001967,0.00092111464,-0.0016886711,-0.003405018,0.0006928941,-0.0030475175,0.0026344333,-0.00017186107,0.0004525969,0.0009810633,0.0032199884,0.0013153431,0.0012329419,9.76194e-06,0.00080995465,-0.0016555857,0.00023900736,3.1313913e-05,0.00078110636,-0.0048370007,0.0014488263,-0.0003800569,-0.002835972,-0.00062503817,-0.00038598513,-0.0011585886,0.00121173,-0.002277286,0.0026906251,-0.002197874,0.004042963,-0.0029805154,-0.0006486965,0.00018193683
ABHD3,0.002793062,-6.1800556e-06,0.0009807971,0.00032220845,6.191927e-05,-0.00084066344,0.0024884434,-0.00086065754,-0.011727819,6.178423e-05,0.0009236824,-0.0005368683,0.004746322,0.0006371527,-0.00093714736,-0.0050062216,0.005166715,0.0032052244,0.002047028,0.001242105,-0.0033836998,-0.0018157354,-0.0019091185,0.0046804408,-0.0014251369,0.0015486779,-0.002386413,0.0048841694,-0.0016229646,-0.007173573,-0.0032829568,0.00065884093,-0.0015451167,0.00021296176,-0.0019188512,-0.0024629757,0.0032379131,0.0001953773,0.0016958703,0.0041451436,-0.002819461,-0.004050843,-0.003729951,0.00011630212,-0.001653447,0.0018706211,-0.0014905956,-0.002027569,-0.00073100347,0.0013368007,0.0016995099,0.005046599,-0.003992986,0.0018453917,-0.009024563,-0.0025885596,0.0019955034,-0.00065543014,-0.003354867,0.005296133,0.0006004739,0.003632013,0.0020284355,-0.0020085888,-0.00026334575,-0.0012548503,0.006847025,-0.00070226425,0.00055515196,0.00012937194,0.005758375,0.0020511346,0.0012391742,0.00032187338,-0.0056184568,-0.002032305,-0.001667151,-0.0038204358,-0.0024714812,-0.00024602088,-0.00062802155,-0.0025067118,0.002707135,0.005527688,-0.0028708107,-0.0004765431,0.0019402879,0.0036463602,0.0016699566,0.0037026026,0.002579418,0.0035367897,0.02003528,-0.001149307,-0.002285231,0.0015459108,-0.0020130628,-0.0018727992,0.004250869,-0.0037422993,-0.0009425889,-0.00492861,-0.007414928,0.0030146327,0.0010040685,-0.003970745,-0.0024268783,0.0047807437,0.0018429125,0.0006098698,-0.0051469323,0.0011322538,0.00011137702,0.0070711616,0.0012018862,-0.0009107304,0.0052555557,-0.0035365145,-0.0016119499,-0.0025182643
ABTB2,0.0023718078,0.0021128503,-0.000166643,0.00080143276,-0.0016488413,-0.0051326496,8.70813e-05,0.0011094854,-0.0071707675,-0.00096984225,0.0019466222,0.0019019019,-0.0020518096,0.0017803592,-0.0010873214,0.00018602269,0.0010737225,-0.0023846615,-0.0019621132,0.0049561113,0.00445867,-0.0051656016,-0.0032934402,-0.00010064953,0.005603209,0.0014281477,-0.002820927,0.0016180131,-0.0018467541,-0.0016806575,-0.0045958385,-0.0019657703,0.0004592125,-0.0012549718,-0.005336056,-0.0026807783,-0.0045203627,0.0070874942,0.006863714,-0.0037073966,0.0013755057,0.0004982925,0.0009380378,0.0037973274,0.0004247161,0.0063102036,0.00011830223,-0.0035787937,-0.0027546086,-0.0017568651,0.004195669,0.0066592405,0.004801806,-0.0002488822,-0.005583966,0.0022572523,0.0017927927,-0.002295036,0.0020464454,0.00097437145,0.0008429001,0.0031415415,0.00037470175,-0.0066217636,-0.0056118686,0.0006131742,0.00034484995,-0.0018944099,0.006389823,0.0020429052,0.005724267,-0.0010114129,-0.0013517698,-0.005434174,-0.0035521325,0.0002430839,0.0017808172,-0.00026673128,-0.0071771597,0.004702187,0.01103745,0.0007437614,-0.0012850785,-0.005908656,0.0045598107,-0.0013237029,0.001769391,0.002526661,-0.0043836264,0.0019610627,0.0011457311,0.005737434,0.019919347,-0.002483305,-0.0021266597,-0.001916583,0.002560835,0.0024165942,-0.002428235,-0.003582711,-0.0043121655,0.002838108,0.0019138693,0.00083108403,0.0029538632,-0.0034250203,-0.0016337517,0.0036009403,0.00021145603,0.0024955717,0.00066413335,-0.0054886504,0.0048829066,4.9342158e-05,-0.0009217466,-0.004333988,0.0061608516,-0.0061520883,0.002043177,-0.0042684064
ACOXL,-0.0053059105,0.0008165933,-0.00031034873,-0.0056268414,-0.008110283,0.002321361,-0.0016304229,-0.00043078486,-0.0020028441,0.003565688,-0.0022990494,0.0022402378,0.0017981889,-0.0019562866,-0.0053844606,-0.0010701037,-0.0033591616,0.004576933,-0.0002842536,0.0040211254,-0.0058018593,0.0013989601,0.0023535874,-0.0066327835,-0.00019454943,-0.004821198,-0.00017732786,0.0045512742,0.0026023376,2.356479e-05,-0.0046146554,-0.0077978517,-0.004583311,0.0013208216,-0.001199633,-0.0024146826,0.0007245561,-0.0044549326,-0.0003061972,-0.0024075673,0.00025553242,0.0006744527,-0.005356501,-0.0056411433,0.0019561995,0.004001062,-0.0020103476,-0.0015219669,0.0011444576,-0.0022701218,0.0017485315,-1.1730312e-05,-0.0014439297,0.0030950191,-0.00984493,0.00011139603,0.0037550468,-0.00443685,0.003468241,0.009620712,-0.00028014032,0.0049940934,0.006126371,-0.0014581382,-0.008995832,-0.0016523063,0.003703786,0.0027781888,-0.0021752687,0.005065035,-0.004951385,0.007550902,0.005110603,-0.00266218,-0.0039251223,-0.0027452272,0.001439537,-0.00027409056,0.0016831965,0.0020061124,0.0019564219,-0.0040474236,-0.00096852734,0.0024124882,-0.0023997726,-0.009421185,0.005160335,0.00084264803,0.0012843495,-0.0043344023,-0.0016204357,0.001667728,0.023215717,0.0022804262,0.002560452,0.0005377259,-0.0017984372,-0.003724776,-0.0007417484,-0.009166866,-0.0040794862,0.0007143349,-0.0039843824,0.008896855,0.0041043637,-0.0034774935,-0.00015535818,0.00043317306,-0.0018805482,-0.00028934874,-0.0018073781,-0.0020104197,0.0057715746,0.0038928294,-0.005698849,8.358015e-05,-0.00016053469,-0.0056363777,-0.0016174692,-0.0068865754
ACTA1,-0.0014322709,0.0005518904,-0.002028225,0.0009048197,-0.0019146703,0.0009232818,-0.003631075,-0.0018178762,0.0022521496,0.0006243284,0.00119692,0.0031332227,0.0031891195,-0.0015474007,-0.005693946,-0.0034233949,-0.0035196654,-0.0005510816,0.0031674805,-0.003966808,-0.004950908,-0.010140837,-0.0023736174,-0.0069724764,-0.0035849428,0.005065747,3.9825834e-05,-0.0026288421,-0.006578848,-0.0037864365,0.0007404959,0.0004525895,0.0018803956,0.002187097,0.0013359702,0.0024629293,-0.003019755,0.0036084068,-0.004813738,-0.006108965,-0.00019281585,0.000666139,0.00070009404,0.00020528967,-0.00649532,-0.008951808,-0.0054464606,-0.0022575946,-0.0025512227,-0.0016307847,0.0055518458,0.0042350143,-0.0017259669,-0.0039716284,-0.0009272098,0.0032918053,-0.008047955,-0.0059007183,0.0018931936,0.0008759784,-0.0015409142,0.0054026525,0.0047871103,-0.00045829665,-0.0021033578,0.0016030889,0.0041604363,0.010510652,0.00018435776,0.0029829831,-0.0016851508,-0.0007510074,0.0006804941,-0.0028020372,0.0055462313,7.177812e-05,0.0069639473,0.0043109558,-0.0011660663,-0.003449927,-0.0067152274,-0.006619276,0.0020760978,0.005463737,0.005236782,0.0018335155,0.00031240558,0.00091244985,-0.002974486,0.0013518528,0.0026807575,0.006908598,-0.0054265005,0.00068712054,-0.0005696349,-0.0042348644,-0.0036960172,0.0022400639,0.0074933805,-0.0015801429,0.0031433662,0.00069864094,-0.0020716598,0.002206474,0.0023696674,-0.0013196635,0.001018961,0.00048456245,0.0021213896,0.0039319657,-4.7117985e-05,0.005563109,-0.002022224,-0.008870329,0.0027144663,-0.0058024717,-0.003406943,-0.0012097955,-0.0014205959,-0.0003484487
ACTA2,0.0024870203,0.00091237144,-0.0009603942,0.0015688128,-0.00025963347,0.0009712022,-0.002656402,-0.0024764892,-0.0015973215,0.0025406799,0.00079344626,-0.002696902,0.00093097717,-0.0025202564,-0.0015977338,0.0017686269,0.0005002281,-0.0009065536,-0.0033049276,-0.00031697526,-0.0023422386,0.0009518055,-0.0016563889,-0.0045914003,-0.00013263036,-0.002171925,0.00570289,-0.0006384444,0.0036657276,0.0017103284,-0.0037960336,-0.0032743237,-0.00094913866,-0.004426032,0.0023714218,0.0010849253,-0.0051982095,0.0024710528,0.0018100368,0.002246759,0.0024760386,-0.0009783434,-0.0022362357,0.00039253998,0.00093340344,-6.232298e-05,-0.004164989,-0.002685143,-0.0013406201,0.001961622,0.0031546361,-0.00084087305,0.002574726,-0.005852102,-0.0036730007,0.0011734524,0.009522888,-0.0015493343,0.003132879,-0.000922213,0.0027652448,-0.0021970177,-0.0035014814,0.001967741,0.003028809,-0.0021580374,-0.0011506808,-0.0016802117,-0.00027736265,-0.0028405895,0.0014365729,0.005302525,-0.0013908531,0.0011361128,-0.0036340586,0.010795356,0.012951879,0.0064563584,0.0068338723,0.0064328583,-0.007866043,-0.012570771,-0.005061986,-0.0030889781,0.009582532,0.0043071536,-0.004524793,0.0026001472,0.00021845508,0.0038422586,0.0048452774,0.0014135478,-0.003284916,-0.0042593842,-0.0013101789,0.00082884764,-0.0028663436,0.00065229746,0.003727905,-0.0022874237,0.0037853715,-3.7150564e-06,-0.005585316,0.0027025363,-0.0029405549,0.001831192,-0.0055210874,-0.0019574123,0.0033181137,-0.0026830782,-0.00267005,0.0026375356,0.0020810198,0.0014208003,0.0007714385,0.0074993894,-0.0005296072,-0.0039129914,-0.0027997307,-0.003444897
ACTB,-0.0063956194,-3.538059e-05,-0.005524447,-0.0030115116,-0.013196059,-0.00057565974,-0.0141558815,-0.0081998175,0.017462349,0.015884027,-0.00081881374,0.0041616485,0.0002226307,-0.01439046,-0.012892467,0.006511817,-0.0057860496,0.0054440657,0.010082271,-0.0044997395,-0.005523804,-0.0029800516,0.0016654709,-0.014122703,0.008918854,0.0030138905,-0.0066802395,0.0020598592,0.00021045082,0.0021791314,0.0019582724,-0.004001757,-0.0019889786,-0.001270656,-0.0018153322,0.0007786489,3.8012535e-05,0.0019831741,-0.0004249046,-0.0027459608,0.001665727,0.0029236055,-0.0003369596,-0.0015473843,-0.00033216298,-0.0007015121,0.005055235,0.010775994,0.0037950515,-0.0013233917,-0.0023886603,-0.007509483,-0.014169873,-0.011183349,-0.013942724,0.002608374,-0.0025310724,-0.0087964395,0.02003798,0.013757392,0.006210133,0.0073093483,0.0020855882,-0.011444939,-0.026305238,0.0063458052,0.0059193484,0.008884451,0.0022632866,-0.0030843467,0.0032814462,0.010095476,0.0014493059,-0.0016146866,0.0040878477,-0.002612462,0.0024033212,0.017033407,0.0072795255,0.0076833256,0.007613528,-0.00989034,-0.009292635,-0.009982935,0.0025079502,0.008085173,0.015018984,-0.0005565925,0.0006910797,0.005088416,0.0031061019,-0.002195897,-0.07475628,-0.023204437,-0.002387414,-0.0044012116,-0.0004829455,0.026184637,0.023860589,-0.00777265,-0.0057396917,-0.004441977,-0.0067509697,0.018890774,0.02041934,-0.0031360826,-0.0035301242,0.0052306713,-0.0011575274,0.0018378573,-0.0010085991,0.013897856,0.008089586,-0.0030590177,0.008182007,-0.0004774468,-0.00023168078,-0.0044939546,-0.011697776,-0.017476536
ACTC1,0.00065169425,-0.0017853471,-0.0012763868,0.0017387596,5.7226865e-05,0.0020091862,-0.004819821,-0.0048074652,0.0021431188,0.004385892,-9.429953e-05,0.0007183257,-0.0014392269,-0.006296372,-3.593288e-05,0.0015959414,0.0035790722,-0.004619209,-0.00084040605,-0.001970071,0.0010511412,0.0013304503,0.0013699953,-0.006227505,0.00030626982,0.0034204326,-0.0052227485,0.005393374,0.00083045947,0.00057140365,-0.006073258,0.00033630166,-0.002682784,-0.0005231245,0.0029303923,-0.0014197803,-0.00023090739,-0.008243526,0.0014971758,0.0029895129,0.0025079898,0.002823823,0.0013728698,0.0011977329,-0.00077680993,-0.003920708,-0.0034760714,-0.0022179577,0.0030719952,0.0028443316,-0.0026277956,-0.0028756375,-0.0041237203,-0.0025458364,-0.0029497657,-0.0033525615,-0.00066512823,-0.0039704572,-6.6627574e-05,0.004771907,-0.00010461258,0.006516017,-0.002664819,-0.0017460608,-0.00064541353,-0.00040041297,0.0015033109,0.0021305305,-0.00036791054,0.0015591615,-0.00017644787,-0.001029868,-0.0009181704,0.0006579808,0.0021881287,-0.0012975744,0.0056355465,0.00493001,-0.0013650092,-0.0053546596,0.0015164925,0.006498346,-0.0032984964,-0.0046997736,0.0055789254,0.004939817,-0.0016966783,-0.0016739161,-0.003142264,0.0035397292,0.0039370726,-0.0035769471,-0.0046241977,-0.00417674,-0.00062172045,-0.0020368348,0.0030676615,0.005703985,0.0026232356,-0.0005000521,0.003043345,-2.686696e-05,-0.0029437507,0.002935418,0.0030620657,-0.004053822,-0.0027660595,0.0019218477,0.00038759143,-0.0024190182,-0.0031657007,0.0004000149,0.0014530998,-0.0033293583,0.0011022928,0.00079059857,-0.0028509402,-0.0031298925,-0.0024301824,-0.0034176887
ACVR1,0.002465791,-0.00088154344,0.0022482197,0.00038394748,-0.0005853163,0.0013487207,-0.0017448055,-0.0018620192,-0.010904826,-0.0022390308,-0.002239719,0.00032415244,-0.00056258985,0.0022823457,-0.002627974,-0.0033589483,0.0043181204,-0.00024426644,0.0035947156,0.00061828224,-0.0027734374,0.0013596198,-0.001210414,0.00040648776,0.0057962453,-0.0019973286,-0.0062573683,-0.001716484,0.00248031,-0.008209513,-0.0042215474,0.00060965156,-0.0022029728,0.0011542913,0.0036548723,0.0023052022,-0.00023243141,0.0027975955,0.0011087357,-0.0047876923,0.004702478,-0.001821809,-0.0045411303,0.005260739,0.0010450096,-0.0021409323,-0.0047686175,-0.006088071,0.001869467,0.00292359,0.0048127538,-0.002477803,0.0007796117,-0.00089269894,-0.00059188803,-0.0021140042,-0.003169261,-0.004810687,-0.0005015901,-0.0011268881,0.002449403,-0.0035922276,0.0040169028,-0.0006810749,-0.0046825074,-0.0014197904,-0.0040544933,0.001796659,-0.0019314982,0.0032463945,0.009098069,-0.0049927514,-0.011887244,0.009216065,-0.0024655368,-0.0057346295,0.004117526,0.00027237125,-0.0034686108,0.00075719424,-0.0018178718,-0.003386252,0.0040704184,-0.0018476823,-0.0052975146,0.0033829305,0.0019590391,-0.00075936766,0.0033759233,-0.0004810221,0.0018549329,-0.0015104125,0.02270513,0.0007994031,-0.001165122,-0.0013375885,0.0018311486,-0.005568334,0.005165378,-0.0037640308,0.0022729852,0.006171682,-0.0018811271,0.0012653407,0.0008140358,-0.003959509,-0.0010863309,-0.0010487009,-0.001973068,0.0013908751,-0.004597261,-0.0053987713,-0.0014222616,0.0038327677,-0.0031449792,-0.0014918752,-0.0016994319,-0.0067566615,-0.003191818,-0.001725293
