gamma,eigengene_mode,ae_standardize,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,t_stat,p_value
0p8,global,none,0.3397,0.3392,0.1847,0.2685,-9.7782,1.0
0p8,global,zscore,0.9737,0.9804,0.2311,0.3021,-10.4155,1.0
0p8,global,zscore_ref,1.0034,1.0039,0.2453,0.2859,-4.007,0.999896
0p8,all_cells,none,0.3397,0.3392,0.375,0.4,-1.837,0.963871
0p8,all_cells,zscore,0.9737,0.9804,0.3676,0.342,1.9199,0.03035
0p8,all_cells,zscore_ref,1.0034,1.0039,0.2476,0.1665,10.2243,0.0
1p4,global,none,0.3353,0.3349,0.3443,0.3121,5.6368,0.0
1p4,global,zscore,0.9385,0.9466,0.3503,0.3437,2.2084,0.015872
1p4,global,zscore_ref,0.9748,0.9791,0.3652,0.4275,-14.8854,1.0
1p4,all_cells,none,0.3353,0.3349,0.5701,0.4824,14.167,0.0
1p4,all_cells,zscore,0.9385,0.9466,0.3303,0.3368,-1.64,0.946248
1p4,all_cells,zscore_ref,0.9748,0.9791,0.3608,0.3278,8.0653,0.0
