gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.009165342,0.0041858135,-0.010756736,0.008930794,0.001565412,-0.0047614477,-0.012951076,-0.0022253979,0.0065926616,0.0010047689,-0.0071439035,0.013503509,0.0030224973,-0.00025729492,-0.019094326,0.009079487,0.00019891233,-0.0056579006,-0.013327783,0.0027700572,0.0016478242,-0.001974667,-0.0009997452,-0.00037076007,0.024436075,-0.0017832847,-0.03624698,-0.039531264,-0.030235609,-0.0030557879,-0.011917169,0.01032131,0.009908207,-0.020050611,-0.011056391,0.009136986,0.021211132,0.016052783,0.015904736,0.019870386,0.022779014,0.00043929237,-0.008429177,0.016908646,-0.0078907665
HES4,0.0036169132,-0.00140268,-0.013022531,0.006295755,-0.005808318,-0.0023044373,-0.00059835974,-0.030020883,0.015012511,-0.00038655763,0.0057929433,0.0026793333,0.0044222437,0.006346386,0.0020265481,-0.0006613616,0.0010284693,0.00083697605,-0.0016352204,0.0078104017,-0.003148234,-0.0028810205,-0.0069302395,-1.5503127e-05,0.0010001244,-0.0012317434,-0.0038251744,0.0024362959,0.0040206476,-0.0029619879,0.0022142658,0.0026527315,0.0011328972,-0.003657352,-0.004326511,-0.014729338,0.0011979087,-0.0014750067,0.011883465,-0.0046289763,0.0061174273,-0.0012849334,0.021667054,0.003329238,-0.0018895628
ISG15,0.0039576623,-0.00346217,0.0075510363,-0.0015008453,0.004967174,0.0019443738,0.01462066,-0.0026073405,-0.0063965134,0.0015993661,-0.005069476,-0.011345926,-0.006843273,-0.008665862,0.0025156823,0.015221025,0.009733376,-0.0023420146,0.0066030645,0.0034718448,-0.004107221,0.0007773612,-0.01220238,-0.006935847,0.014736208,-0.001308564,0.0021656707,-0.0029367614,-0.018573828,-0.018106,-0.008081729,-0.016181378,0.00984637,0.0028781872,-0.006960307,-0.016387753,0.01532352,0.010617138,0.007387943,-0.006190006,-0.0060359323,-0.009065642,0.0051702224,0.020204488,0.008889566
RNF223,-0.0014085978,0.0028296453,-0.002514004,0.0024372225,0.002524612,-0.0007294536,-5.9036345e-05,-0.0015796893,-0.0004971582,0.0009835558,-0.001932834,0.0026706206,0.0016126803,-0.001984683,-0.002227264,-0.0015186048,6.63129e-05,-0.0005484075,-0.005964447,-0.0020195465,0.0043072505,0.0007974866,0.0033858751,-0.002780632,0.0049428265,-0.0011157886,-0.0047895988,-0.000337264,-0.004889614,-0.0030655416,-0.0024146985,-0.0013168231,0.0007530496,0.0004599382,-0.0014040237,0.0032795055,0.0021420703,0.00029567076,0.0006887665,-0.00035163222,-0.00019399916,0.00086649734,0.0006291895,-0.0025689828,-0.0032758964
TNFRSF4,-0.00050790026,-0.0018493999,-0.0046152947,0.0043520667,0.0055010566,0.00228163,-0.0077830814,0.0012355439,0.007800542,-0.007800131,0.0045592203,-0.0025711448,-0.0072079455,0.0065035764,-0.0003087456,-0.0027251493,-0.006668796,0.005250081,-0.005446073,-0.006105098,0.0027854047,-0.00491932,-0.00959693,-0.0019520876,-0.0025897028,0.010374811,0.0059521603,0.004071754,0.0077646184,0.0073275915,-0.0008709585,-0.0058773677,0.003597344,0.0053460044,0.015522251,-0.007400101,-0.0029189875,-0.0010875562,-0.0034195518,0.010429852,0.0036153502,-0.013868066,-0.00083380664,0.0105891405,0.011523086
MMP23B,-0.0018581008,-0.0016904749,0.0006927553,0.0033036731,0.003194313,-0.001140388,0.0030454462,-0.00048332027,0.0038846994,0.0015084723,-0.0004049869,0.00022770182,-0.0018247867,-0.010137388,-0.0074961954,-0.0036590714,0.0015948367,-0.003823507,-0.000658506,-0.0041718045,0.009848119,0.0047274856,0.0012596856,0.0009742793,0.00037286012,-0.0028842918,-0.001071977,0.0043810173,0.004147095,-0.007555488,-0.0013725834,-0.0075323926,0.0031318848,0.0023604247,0.0011317537,0.0063729337,0.008089043,-0.007593954,0.0015799481,-0.002379493,-0.0028944458,0.00054275774,0.0013159364,-0.0058810557,-0.005228889
TNFRSF14,-0.0018896181,-0.003000984,0.0027006185,0.0059135826,-0.003535756,-0.00014910626,0.0032420414,-0.005587211,-0.00031187042,-0.00019722966,-0.013773184,-0.0009930296,-0.0076615894,-0.02184808,-0.006481176,0.010608017,0.008319709,-0.0035913407,0.009512477,-0.008295578,-0.002481735,0.014980568,-0.014617629,-0.0055895518,0.008656878,-0.0009456876,0.021236653,0.0022862807,-0.010893251,-0.021522107,-0.008542697,-0.024189549,0.00039548508,0.0005949527,-0.009976479,-0.0076645124,0.023336558,0.009202839,-0.004651292,0.0010863901,-0.0033989735,-0.0056035696,0.011141693,0.007407079,0.00089543045
TTC34,0.0012236503,-0.00377181,-0.0018463267,-0.0027943423,0.0032965166,9.0761445e-05,0.0024485888,-0.0025034312,-0.0013549109,-0.0015375029,-0.00057703117,0.0010492108,-0.0012986663,-0.0033592444,-0.000900362,-0.003960485,-0.0007964541,-0.0005671205,0.00019947268,0.0026993686,0.004342205,0.00046744067,0.005251275,0.002713759,-3.708046e-05,-0.00044094946,-9.117307e-05,0.0020865367,0.0019448148,-0.004259371,0.000104754276,-0.0012321586,-0.003331203,-0.0010462063,0.004928007,-0.0008303222,0.001431806,0.00068713806,-0.00032015747,0.0027468295,-0.00033006637,1.3925226e-05,0.00082321523,-0.0002734447,0.00065855705
SMIM1,-0.0062258444,-0.0030541564,-0.009198308,0.0022511068,-0.005676206,-0.003596395,-0.0043441784,-0.0028680668,0.011066576,-0.002186328,0.004150484,-0.0024743727,-0.0011198849,-0.013495605,-0.011838595,-0.0015226064,0.009153791,-0.0059633474,-0.0008444363,-0.0076437895,0.012922447,0.006774719,-0.0025760229,0.001078493,-0.004559751,-0.003509115,-0.00020708017,0.003754174,0.004708564,-0.00871882,-0.0065255812,-0.008479732,0.0028368384,0.004848883,-0.003092344,0.017949527,0.006539701,-0.010023486,0.008522565,-0.0025444136,-0.0026352843,0.00078893855,0.0061360165,-0.010969636,-0.011479395
LINC00337,0.00036228955,0.00045285418,-0.0006093367,0.0012832618,-0.0010557885,0.0014435386,0.002124953,-0.0038007656,0.0012438521,0.00049516646,-0.00017502328,0.0023468037,1.0135037e-05,0.0018417242,3.7162547e-05,-0.0018071461,-0.0012701444,0.0024083147,-0.0058761,-0.00040455005,-0.0006595367,-0.0021836052,0.0028771127,-0.0019423938,0.0025734226,0.0024308173,-0.0011357797,0.0017866244,-0.001187406,-0.00078568765,-0.0015921731,-0.00038276394,-0.001702143,-0.00054310577,0.0010847766,-0.00075607834,-0.003049799,-0.00013999817,-0.0026070944,-0.0013705763,-0.0005291759,0.00057819474,0.0014482494,-0.0026116676,-1.1287025e-05
HES2,-0.0026963798,0.0052181655,0.00082924066,-0.00074767554,0.004739653,0.0008501676,0.0011039454,-0.0017164162,-0.0011194376,0.0002135004,0.0029273457,-0.0010593376,0.0006616946,0.0011122613,0.000457063,-6.821132e-05,-0.00047880638,-0.0018972366,-0.0026113945,0.0011397505,-0.0012187451,0.0005534087,0.00039631556,0.004183595,-0.00043555076,-0.00012300715,8.792826e-05,-0.0028709674,0.00018795951,0.00021598085,0.0036073779,0.004650456,-0.005149153,-0.00541065,-0.0029248476,-0.00038566202,-0.0035017005,0.00019603205,-0.000611674,0.001868625,0.0037068375,0.0009554669,-0.0017015816,0.0012077095,0.0016775656
