gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90
SAMD11,0.00044667328,-2.4725802e-15,0.00066574954,-4.7375816e-28,4.782775e-28,4.7698674e-15,-2.0538993e-09,-2.2480275e-21,-2.1995946e-07,-4.9396526e-17,-5.13e-42,-1.4927658e-28,1.839561e-09,-1.9150699e-25,-2.088976e-15,-2.547058e-35,1.3818458e-35,2.01499e-26,1.577071e-20,-2.0907395e-30,-4.6656026e-19,-3.325528e-27,-5.15e-42,-3.292362e-36,1.7616574e-19,0.00045284815,-6.1196713e-27,-7.75809e-27,2.8100384e-15,1.9472233e-09,-4.3656875e-22,-1.1133678e-07,-1.1282043e-17,5.203e-42,-1.1315949e-27,1.1738589e-09,2.80941e-40,-2.82422e-40,-1.0372851e-32,-2.2803591e-31,-4.6954615e-37,8.40437e-29,-7.350568e-36,-5.214e-42,1.118885e-38,2.420785e-29,-5.184043e-38,-1.7907172e-36,-1.7040366e-31,7.425146e-37,-9.276619e-31,1.8331244e-38,-5.671e-42,-1.313e-41,6.537613e-33,5.662966e-26,3.280612e-20,1.117433e-32,5.469243e-18,-3.106276e-28,8.369e-42,-1.4619138e-34,2.9075273e-21,8.4624495e-15,1.455008e-25,1.2194903e-12,2.0743267e-22,-5.377e-42,-5.1675584e-32,-1.9839082e-14,3.0096131e-34,8.1819213e-25,-1.254423e-31,-5.227e-42,-1.2557424e-38,2.6069394e-26,6.7807975e-11,1.466344e-20,-4.973e-42,-8.9840946e-30,1.5591631e-12,1.0715516e-29,5.354e-42,2.4508518e-35,1.7859845e-21,-5.234e-42,-5.689e-42,5.279e-42,-1.80326e-40,-4.715376e-32,2.7465133e-14
HES4,0.00059389457,-1.2851916e-14,0.0030247113,-6.4421683e-28,4.9886137e-26,2.7937867e-14,-1.0836036e-08,6.7517446e-21,-9.477437e-07,-1.5496648e-16,-5.164e-42,-2.0030018e-27,1.699351e-08,4.3385383e-25,-5.3429588e-14,7.404792e-33,4.7411083e-36,-6.5439434e-25,2.7134365e-19,4.9651753e-31,1.22703765e-17,9.888692e-28,-5.213e-42,-7.490542e-35,-2.699844e-19,0.011189072,-8.858638e-28,3.1038316e-27,8.907513e-14,-4.28288e-08,1.656305e-20,-3.8467133e-06,-8.6536327e-16,8.47e-42,-6.8449415e-27,5.724977e-08,6.7765265e-37,-1.339072e-39,2.6096806e-34,1.5589132e-30,-2.7754268e-35,2.0490391e-29,1.2155897e-35,5.286e-42,-7.992939e-39,-1.1897418e-30,2.0400189e-38,-1.7164861e-36,-1.518927e-32,7.3298676e-37,9.4028587e-32,-8.053573e-34,1.0867e-41,-1.99947e-40,-1.1867933e-31,4.4218464e-25,-3.679777e-19,1.2452588e-29,-3.1703686e-17,-3.9349676e-27,-5.067e-42,2.5681468e-33,1.1715297e-18,1.425926e-13,-3.7784407e-26,1.3435912e-11,4.2477857e-21,-5.354e-42,-3.6847904e-32,-2.0979767e-13,2.679619e-33,-1.2944904e-23,8.97074e-32,5.374e-42,1.5446465e-35,-6.3524316e-25,1.2222947e-09,2.4588368e-19,-5.699e-42,3.2735686e-28,-1.7366799e-11,-1.9473604e-28,5.125e-42,-2.4418788e-34,-6.790316e-21,-4.917e-42,5.092e-42,4.91e-42,-2.579834e-39,-2.7027098e-31,3.21447e-13
ISG15,0.0020061855,-1.5458993e-14,0.0041917986,-5.331237e-27,-8.780969e-27,1.6865202e-14,-1.5982584e-08,3.5015545e-21,-1.2685224e-06,-2.7348444e-16,-4.933e-42,-2.8799293e-27,1.8294024e-08,-1.3312378e-24,1.1112688e-14,-1.5294894e-33,4.127993e-35,2.9012957e-26,-1.3660687e-19,-5.3818757e-32,1.3061968e-17,3.3366124e-27,-5.021e-42,6.3936814e-35,2.5403786e-20,0.009309026,4.42846e-26,1.1571667e-27,6.794677e-14,-3.1604042e-08,5.9893753e-21,-3.1103157e-06,2.1241898e-16,-6.19e-42,-1.2708429e-27,4.4793495e-08,3.994801e-38,-2.743983e-39,-4.8930467e-33,4.683163e-30,-7.465728e-37,2.6113752e-28,-5.795861e-34,-4.935e-42,3.1254614e-38,3.1352742e-30,-7.118498e-39,1.3227457e-35,-9.289034e-32,1.8022618e-38,-1.1957034e-28,2.2973553e-36,-5.084e-42,8.86178e-40,4.4949644e-31,1.9390258e-25,-2.917575e-19,-5.0501415e-30,4.560555e-18,-1.8041522e-27,-1.2606e-41,8.237526e-35,3.5339493e-19,1.3190511e-13,-4.5278816e-26,1.1687383e-11,1.8665813e-21,5.151e-42,9.933073e-32,-1.5839494e-13,7.8007216e-36,1.1013181e-23,-3.7009006e-32,6.265e-42,-6.551253e-36,-1.9329673e-25,1.1469256e-09,-2.4150388e-19,-5.535e-42,-5.0114394e-30,-1.44343235e-11,1.408261e-28,-8.66e-42,-3.5528073e-38,-2.350832e-21,-5.799e-42,5.705e-42,-5.224e-42,1.317369e-39,-1.42833e-30,1.3622283e-13
RNF223,-5.269524e-06,5.193684e-16,-1.7473021e-06,-2.6483316e-28,-3.321184e-30,-1.0952608e-16,1.2401498e-10,-2.2865829e-23,-6.3104357e-09,1.1532918e-17,-2.662e-42,5.817111e-30,-2.1208174e-11,4.5375812e-26,3.830391e-17,7.927085e-36,-1.2001177e-36,1.6895685e-27,3.4451714e-20,-6.141991e-32,1.6985933e-20,8.2267524e-29,5.03e-42,-2.1696183e-35,-4.0078662e-20,3.562255e-05,1.7663819e-27,-5.6242866e-29,3.8800703e-16,1.1860798e-10,1.0263958e-22,1.4422418e-09,2.334292e-18,4.701e-42,-1.18415645e-29,1.0895723e-09,4.96075e-40,-9.335512e-39,6.283089e-36,3.3960243e-32,1.2958401e-38,-2.2084814e-28,8.142029e-37,5.572e-42,2.3104e-40,-7.391014e-32,-9.348e-42,-1.2194582e-34,1.8577298e-33,-3.0415e-39,-9.877838e-31,2.497083e-37,5.269e-42,6.7835e-41,-5.6729967e-33,4.505135e-27,-9.190698e-21,5.6838935e-33,2.3230437e-20,-1.1732153e-28,-6.082e-42,7.872357e-36,-9.249992e-21,-2.437547e-16,1.0296235e-26,-1.9389317e-15,1.2153774e-22,5.03e-42,6.9885446e-33,-6.1042133e-16,6.7269023e-34,-3.160232e-26,-1.9233868e-33,-1.1107e-41,4.852e-38,-2.6281612e-27,-4.7245172e-12,3.6549436e-21,5.322e-42,5.4177425e-31,1.1649217e-13,-9.00275e-29,-5.356e-42,2.9445935e-37,1.0038182e-23,4.94e-42,5.311e-42,5.378e-42,1.1656e-41,-9.346804e-32,-5.7577586e-15
TNFRSF4,0.00026533226,-2.5681922e-15,0.00027422304,-1.1971396e-26,5.112214e-29,3.3588969e-15,-1.9328046e-09,1.3111052e-20,-2.2257375e-07,-2.7464458e-16,-5.93e-42,-3.8066327e-29,5.0475926e-09,1.115361e-26,-6.0210088e-15,-3.9004304e-36,1.4384317e-35,-3.0517907e-26,1.7145462e-20,-3.6176732e-32,1.1624816e-18,-4.575549e-28,5.11e-42,-3.869494e-36,-1.79496e-20,0.00025649837,-3.4652343e-28,1.694132e-28,6.9904414e-15,-3.245535e-09,1.3345206e-21,-2.756062e-07,-5.315824e-16,-5.033e-42,-2.260118e-28,6.677885e-09,-2.80274e-40,-3.844057e-39,4.1399533e-32,2.9692628e-31,-6.838522e-37,3.2533967e-30,-9.0083964e-36,-5.298e-42,1.24716e-40,-1.2322593e-31,1.848e-42,4.4298577e-36,2.0831476e-32,8.401945e-37,-1.6295908e-31,2.97641e-38,4.952e-42,2.1286e-41,-2.8792462e-32,8.762983e-26,-2.0631242e-20,3.5596584e-32,-3.322809e-18,7.658743e-27,-5.104e-42,1.1569318e-35,5.757602e-20,1.135847e-14,-5.1603186e-27,2.0004775e-12,1.1558977e-21,5.017e-42,2.800941e-32,-3.059804e-14,-9.222932e-35,-1.7878387e-25,-1.1335151e-32,-5.314e-42,-4.0724124e-38,7.1073355e-27,8.370737e-11,3.3997685e-20,5.743e-42,9.412152e-31,-1.3930096e-12,1.5775245e-30,5.588e-42,-7.188777e-34,-1.4573304e-21,-1.2424e-41,5.315e-42,-5.108e-42,-2.2013e-41,-2.3069412e-32,4.435619e-14
MMP23B,0.00053823617,2.0647556e-14,0.0009334695,-4.7266076e-28,2.0019287e-27,7.2492485e-15,-1.3138401e-09,7.0160017e-22,-2.9785815e-07,3.8221864e-16,-5.906e-42,-3.871025e-27,2.9952545e-09,3.0565017e-26,9.130739e-15,1.7478482e-35,-3.110088e-34,-5.850815e-26,-4.95766e-20,-1.8536511e-31,2.7075268e-18,1.2627966e-26,-5.273e-42,2.522761e-35,3.6466842e-20,0.0011567718,-4.0086113e-27,2.7229842e-28,-2.944993e-14,-3.6688461e-09,-3.2747463e-20,-5.0149254e-07,-2.8089922e-17,-5.185e-42,-5.046639e-28,5.3522133e-09,-1.1538913e-36,3.656714e-39,-1.250897e-34,-2.7610087e-30,7.323639e-38,6.957458e-29,1.3534109e-36,1.076e-42,-1.593625e-39,-6.780705e-30,2.8128e-41,-1.2607164e-35,-1.3810632e-32,-3.7544653e-38,2.6619975e-33,1.1299993e-36,-6.303e-42,1.181e-41,6.607476e-32,-9.611697e-24,-5.998353e-20,-1.7600817e-32,-5.345703e-18,-3.9346225e-26,5.447e-42,2.9616341e-36,-5.9955074e-19,2.6896684e-14,3.4209785e-26,1.7149778e-12,-1.1011539e-21,-5.127e-42,-3.7162534e-31,-3.6845774e-14,1.08811095e-33,-4.422513e-24,-8.127853e-33,-6.14e-42,1.7118538e-38,-1.2312737e-26,2.1666721e-10,4.353075e-20,4.968e-42,1.5117518e-29,-2.9246143e-12,-2.0790967e-30,5.14e-42,1.853665e-36,2.0723068e-21,4.912e-42,5.482e-42,8.429e-42,7.483e-41,3.1619978e-31,5.4293897e-14
TNFRSF14,0.0007063889,-5.9048767e-15,0.00094303396,-2.635435e-27,8.717341e-28,2.9144235e-14,-1.0289555e-08,2.1750813e-21,-4.275633e-07,-1.9922582e-16,1.5205e-41,-5.8543547e-28,1.6351324e-08,5.839278e-26,-1.262522e-14,-1.9744232e-34,-9.5357265e-36,-8.474324e-26,5.7033535e-20,-1.6860719e-31,3.2436765e-18,-1.0070591e-28,-5.235e-42,1.11939506e-35,-5.2996774e-20,0.00064308196,-2.4655468e-27,6.1105323e-28,7.283205e-14,-1.5938673e-08,2.2596171e-21,-5.21866e-07,-1.6851588e-16,-5.709e-42,1.2402045e-27,1.5104312e-08,7.652031e-39,1.4922361e-38,-3.177576e-34,3.934905e-31,3.7610813e-37,-3.6903733e-30,5.3316625e-36,-5.252e-42,-1.97237e-40,1.4342121e-31,6.149e-41,-6.9920126e-35,-2.5449547e-31,8.277162e-39,-2.3662067e-29,7.581837e-37,-4.941e-42,1.04695e-40,2.648606e-33,8.071408e-25,-9.000951e-20,3.5473248e-31,-7.402738e-18,-9.5885604e-27,5.48e-42,1.0238889e-35,1.5152307e-19,3.3117914e-14,-6.691657e-26,3.0145385e-12,2.8121952e-21,5.085e-42,7.5441447e-32,-1.10637634e-13,2.3503653e-33,-6.3813905e-24,2.1497086e-33,2.1345e-41,-4.867021e-37,1.5250122e-26,2.2891325e-10,1.0768138e-19,-5.263e-42,-2.1054977e-30,-8.4213e-12,-4.4503364e-28,4.994e-42,1.2495298e-35,-3.8544326e-21,3.33666e-40,-5.001e-42,-5.067e-42,-6.064705e-38,-2.4222714e-32,2.2575813e-13
TTC34,0.0002330078,-6.379292e-15,0.00036193378,-2.2183405e-28,1.9006106e-28,3.9494876e-15,-3.4864196e-09,8.27124e-21,-2.416208e-07,-6.999862e-17,-5.34e-42,-6.3741883e-29,2.5708145e-09,5.5119345e-26,-8.93404e-15,-9.072411e-35,-5.1799903e-33,2.6710032e-25,2.2695628e-19,-1.1031213e-31,1.7508785e-18,2.8053315e-28,5.644e-42,-5.5941097e-36,-6.641311e-20,0.0005060506,-2.2289225e-28,4.3614224e-27,2.5266912e-14,-5.1135127e-09,1.7096686e-21,-3.9970638e-07,-3.188276e-16,5.178e-42,2.9308003e-27,1.2213763e-08,1.170433e-39,-1.67642e-40,6.8552273e-34,5.977313e-31,-1.4128544e-37,3.4382285e-29,-3.915908e-36,-5.179e-42,7.453088e-38,2.1828443e-31,-5.257473e-39,3.245653e-33,-8.567891e-32,-1.8038704e-38,2.2514702e-31,-6.135831e-36,5.015e-42,-7.2556e-41,5.7686615e-32,9.156263e-26,-4.2718644e-20,2.6375314e-31,-8.95582e-18,-5.640165e-29,6.192e-42,-3.1832958e-35,1.03768683e-19,1.9201114e-14,-2.6927878e-26,2.5851504e-12,3.5456882e-22,-5.211e-42,-1.8375241e-31,-2.645458e-14,6.178133e-33,-4.4188177e-25,-6.835798e-33,5.573e-42,9.270597e-39,-3.5557146e-27,1.419613e-10,2.4599993e-20,-5.033e-42,1.783312e-32,-3.9626505e-12,2.1703095e-28,4.948e-42,1.3628269e-37,-4.1033944e-22,-4.906e-42,-5.501e-42,-5.346e-42,3.07735e-40,9.504469e-34,1.0040363e-13
SMIM1,0.0027150775,-1.9531086e-14,0.005146587,-4.2474872e-26,9.224877e-27,3.6923582e-14,-1.7127102e-08,-2.3207696e-20,-1.9019133e-06,-2.8134308e-16,-5.381e-42,-1.6735696e-26,2.4041862e-08,3.6030658e-26,-1.8240189e-14,-2.2586206e-32,-9.064423e-35,-1.9514012e-25,3.2945024e-20,2.1378352e-29,9.115501e-18,1.2980856e-26,-5.213e-42,-2.6409274e-35,-1.3905481e-19,0.008468553,3.3470105e-26,4.2095474e-27,5.0372155e-14,-2.8439022e-08,-1.6490729e-21,-3.34231e-06,-4.977893e-16,-4.935e-42,-4.996427e-27,3.790648e-08,1.0614805e-38,2.341921e-39,-1.3932269e-32,1.4336269e-30,2.3350128e-35,-4.3692592e-29,-1.401382e-33,4.945e-42,-3.0080545e-38,-4.142929e-30,-4.870586e-38,-3.073902e-35,7.682313e-32,-2.444709e-37,1.782903e-29,-4.29715e-34,-5.095e-42,-2.19543e-40,4.176554e-31,2.1496399e-24,-1.7455373e-19,-3.8741164e-29,-3.850654e-18,-7.0614717e-28,-5.892e-42,2.1788063e-33,9.701326e-20,9.363234e-14,-9.1416545e-27,1.3804982e-11,1.512034e-21,-1.1014e-41,-2.372178e-31,-1.4526641e-13,5.4312624e-34,-1.0206862e-24,-1.1696495e-30,1.1086e-41,2.7068463e-37,-1.6376557e-24,1.3468658e-09,2.4760062e-19,5.068e-42,1.0233136e-29,-1.4115019e-11,-1.1415163e-28,-8.098e-42,-1.1435658e-35,3.985502e-22,-5.098e-42,5.283e-42,-4.987e-42,1.3636872e-38,5.172417e-32,2.360172e-13
LINC00337,5.3424606e-05,-3.1285125e-16,6.0965893e-05,5.5629678e-28,-9.304139e-29,-1.3200828e-14,6.9828876e-10,2.734566e-22,1.9830766e-08,1.8496609e-17,5.47e-42,1.0084485e-27,-2.2188094e-09,-3.6151723e-26,2.1913722e-14,1.4528443e-35,1.9033296e-36,4.6893498e-26,-8.1477565e-21,2.762412e-32,-8.940951e-18,-1.7292264e-27,5.011e-42,1.2796981e-38,3.234909e-21,0.0003063103,-1.8453034e-27,2.3503854e-28,1.5452586e-15,3.880899e-09,-1.5648318e-21,9.069018e-08,1.1098896e-16,-4.91e-42,2.8536317e-29,-1.1952537e-09,-5.700724e-38,-1.5222e-41,8.582118e-34,2.1003223e-31,-1.3126329e-36,3.416371e-30,-5.544531e-36,5.615e-42,1.8021e-40,2.149114e-30,1.8367e-41,2.8822852e-36,-1.4459039e-32,2.2775773e-38,3.448639e-31,-2.377316e-36,-2.501e-42,-8.53793e-39,-6.2959236e-32,-2.056432e-26,1.372307e-19,7.631573e-31,8.2946835e-18,-3.5405998e-28,4.923e-42,7.612024e-36,1.160453e-20,-1.1966003e-14,8.7472576e-26,-1.134546e-12,8.7893027e-23,-5.18e-42,4.094963e-31,2.92884e-14,1.4082965e-34,1.2524044e-25,3.0836648e-33,-5.946e-42,-2.156977e-39,2.9398267e-27,-6.7071064e-11,-2.179854e-20,5.363e-42,2.7484333e-30,3.0926388e-12,2.0386608e-30,4.94e-42,-2.0781686e-36,-1.308987e-22,-5.049e-42,5.535e-42,5.179e-42,-2.42537e-40,1.7555316e-32,6.322818e-15
