gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
SAMD11,-0.034414817,-0.07897164,-0.21200779,-0.1639665,0.1008815,-0.18806776,0.14382696,0.13277385,-0.003975016,0.011297052,0.017708126,-0.06660536,0.053097874,-0.0040626973,-0.05691469,0.06394416,0.14271227,-0.045360092,0.10200445,-0.11274718,-0.033322997,0.008070589,-0.07159373,0.110507526,-0.04384217,0.019089319,-0.035030853,-0.14516386,0.06495348,0.02657964,0.06392605,-0.11612808,-0.07699538,0.011285732,0.031423658,-0.020355158
PLEKHN1,0.008135181,-0.0012014034,-0.0028303568,0.0012914077,0.0037217357,-0.013096257,-0.0013368451,-0.015670013,0.006903604,0.021988846,0.018816993,-0.009657042,0.009122273,0.0022463386,-0.014958644,0.01451788,0.03463659,-0.008235578,0.023394655,0.013381917,-0.021360202,0.013218347,-0.0063003413,0.021019751,0.005144957,-0.010707536,-0.004899432,-0.017824123,0.0013256379,-0.009529399,0.0048326505,0.00092488504,-0.013123306,0.0010666045,-0.003111926,0.0021240762
HES4,-0.09419133,-0.018030541,0.11667395,0.0066491766,0.067292154,-0.00016262663,-0.06213965,-0.053155147,-0.0071646525,-0.023185499,-0.004565709,-0.0063891727,-0.006559981,-0.0016529884,0.003249171,-0.020122912,-0.023584384,0.025860555,-0.0033175468,0.05097306,-0.0141237425,0.0102751395,0.009955519,0.0004016082,0.026518658,-0.01678545,-0.0017403028,0.025974965,-0.035813622,-0.017008744,-0.004171799,0.012820872,-0.0031334164,-0.0019758407,-0.024485037,0.0010056464
ISG15,-0.0578411,-0.06569035,0.024131285,-0.012112251,0.08477938,-0.00545936,0.028743137,-0.024220783,0.017323477,0.04606953,-0.007108716,-0.041418344,-0.0035081685,-0.03995336,0.06624462,-0.020639513,0.0056492486,0.01951363,0.015369064,0.021238947,0.039561626,-0.011193369,-0.010587975,0.028312832,-0.0073139337,0.008158507,-0.011800539,-0.029093165,-0.04574168,-0.016353037,-0.032005977,-0.0220431,0.011045768,-0.004296941,-0.047931805,0.032741565
RNF223,-0.04836176,-0.0036485274,-0.02998293,-0.01721746,0.021527715,-0.030005775,0.021364106,0.0017164684,0.0035368649,0.0029219934,0.0037766572,-0.01760517,0.020214677,-0.010455879,-0.010662245,-0.0063016335,0.021150112,-0.007351435,0.020453054,0.0011555701,-0.0048573255,-0.001848353,-0.013021635,0.014042422,-0.0027433615,-0.0072931577,-0.0027047775,-0.028604936,0.000293598,0.0021871582,0.021953292,-0.02052478,-0.015020172,-0.0055904933,0.020296743,-0.012330233
TNFRSF18,0.013630036,0.02278038,-0.04614686,0.11110969,0.052269656,0.0242525,0.11066577,0.028407631,0.00685716,-0.015020907,0.048631705,-0.012024354,0.003801692,0.026212253,0.015502433,-0.0008376421,-0.12474704,-0.019375365,-0.040640153,-0.037200503,-0.011218012,0.044883553,0.09748734,-0.0053276755,0.07325908,-0.007116153,-0.018181968,0.059834685,0.029578248,0.040494166,-0.019015394,0.020756569,0.009502875,0.042373825,0.033759687,-0.0045299274
TNFRSF4,-0.088933356,-0.020242054,-0.01719187,0.050910655,0.046175655,-0.0056157233,-0.0036062542,-0.00013718494,-0.0007291785,0.019886501,-0.0016464104,-0.018230783,0.0017881911,-0.0031220983,-0.0040827645,0.0024361464,-0.031341184,-0.014813117,0.0041170493,0.018564258,0.0038042977,0.031623766,0.07102107,-0.007182356,0.02902316,-0.015910447,0.029846095,-0.00045112657,0.005765941,-0.019396048,-0.011489212,-0.0041534286,0.017001309,-0.008461254,0.001962815,-0.012031182
ANKRD65,0.007755171,0.02619954,-0.009839894,0.036031783,-0.001781005,-0.028381782,0.12123412,0.02185826,0.021451835,-0.039482035,0.0611955,0.01516876,-0.025850473,0.09854682,-0.030017413,-0.035923507,-0.037107926,-0.01685783,0.008303375,-0.08653539,0.014228155,0.0149526885,0.051530086,-0.037257016,0.114568174,-0.07730853,-0.01366381,-0.02375539,0.09738035,-0.010841142,-0.018188179,-0.009628192,0.002807879,0.12408575,-0.069532774,-0.004315066
MMP23B,0.007067619,-0.0039353212,-0.12646964,-0.038930282,0.018929105,0.019400286,0.03659456,-0.0054246737,-0.0074434364,0.008482651,-0.0075693494,-0.004718353,-0.0042265113,0.006105245,0.0036896428,0.024750164,0.03110844,0.012420184,-0.0014881875,-0.0020641636,0.0032154704,-0.0074710757,-0.006431017,0.007941045,-0.0061266376,-0.0018898562,-0.010866682,-0.013408223,-0.0027730688,0.009185442,0.0015421028,0.0023351714,0.0007491857,-0.012202232,0.013879677,-0.01602369
TNFRSF14,0.0865066,-0.036551874,-0.1285398,-0.029138356,-0.007324867,-0.0018007339,0.1250627,0.0066552,0.024773104,0.034061175,0.011326883,-0.024285894,0.008382212,-0.04022857,0.07824443,0.024981854,-0.00014098409,0.018116549,0.011045901,-0.051252898,-0.042033646,-0.020213189,0.0044973427,0.01414923,-0.0032738128,0.019721821,-0.022752197,-0.0072315033,0.017293707,0.001695861,-0.032912213,-0.03021946,-0.0024331536,0.0032890704,0.019027403,0.07541212
