gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77
SAMD11,-0.016925098,0.010110075,0.008564024,0.014193887,-0.008554233,0.0030978553,-0.004267663,0.0006990687,-0.01326487,0.00014841095,0.0034639933,0.00044933075,-0.010640718,-0.0023567397,-0.00033402516,0.013601227,0.0012685258,-0.0010454947,-0.009669491,0.00047355887,-0.005586122,0.0129147265,0.012212808,0.007042063,0.031469464,-0.027357515,0.018674457,0.01600098,0.012519634,-0.050101448,0.005442382,0.014163409,-0.021746874,0.005183088,-0.0053417366,0.01663257,0.0027814205,0.01238871,-0.0286487,-0.0014318066,0.0140847135,0.011073462,0.0002770747,0.0010434728,0.02577365,-0.018893527,0.019881364,-0.019929396,0.010416841,0.009505596,-0.0073062093,0.01103729,0.023291204,-0.008880944,-0.014903797,0.02101517,-0.010807717,0.016676359,-0.0038963864,-0.0032206734,-0.015369236,-0.003475156,0.014145125,0.0059013222,-0.033279814,0.00033769544,0.008128915,-0.010010017,0.036158975,0.0051152552,-0.028673869,0.016349941,-0.0017337056,0.006161997,0.009529199,0.000196923,-0.010540634,0.0019688269
HES4,-0.004414615,0.0009128419,0.019369286,0.0007317479,0.011783719,0.015550979,-0.0005486386,-0.00990152,-0.0058156233,-0.0052676564,0.012328238,-0.006598495,-0.00064168207,0.005211765,0.007464345,-0.00519368,-0.0053338637,0.0026302743,0.0020074728,0.0048271073,0.004733259,0.002383324,0.00803716,0.0008887463,-0.0024301463,0.004869881,-0.0053336425,0.0043707704,-0.004071548,-0.0020461306,0.010645647,-0.0022378033,0.012447526,-0.0074073332,-0.0066609965,-0.012464977,0.0058274902,0.003561139,0.00845656,0.0016098131,2.1629105e-05,0.0039439253,0.020621445,0.02089296,0.009298443,-0.0017078529,-0.005711475,0.005143791,0.016834902,0.009147233,9.095e-05,0.0088383695,0.00060415576,-0.0012838854,0.008443009,0.008236761,0.0072029755,0.0007044539,-0.004764315,0.0064075254,0.0050126007,0.0017969405,0.0025942733,-0.0003448091,0.0011797921,-0.0021434831,0.0011659279,0.0041148686,-0.0035943983,-0.002688171,-0.0030961705,-0.01013281,-0.0065708337,0.00271566,-0.0030703961,0.002721071,0.00093016354,-0.0069745085
ISG15,0.0005846414,0.007460097,-0.004528397,-0.0043415017,-0.00022712734,0.005616138,-0.0017213232,0.0046492736,0.0019388659,-0.0042840373,-0.00920825,0.005940422,-0.013206157,-0.0004679017,0.003879239,0.01305759,0.002694309,0.010260193,-0.00432973,-0.0044875643,0.008867571,0.0011401478,0.006256511,-0.0013155167,0.00061441783,-0.008578291,-0.0015241909,0.0069017536,-0.014157763,-0.008128666,0.0010209327,-0.0010987734,0.0011043348,5.4437292e-05,-0.0030602957,-0.009923359,-0.005204653,0.006121501,0.002211945,-0.012043535,0.013074611,0.0005541362,-0.0015960558,-0.004311614,-0.00610625,0.0091218725,0.0016296017,0.0031361277,0.0001589587,0.0018207992,-0.0058072386,0.0033527557,0.0073281447,-0.0014013438,3.1858068e-05,0.0024387792,-0.0016317391,8.789947e-05,-0.009789943,-0.005765367,0.0077095916,-0.0019466804,0.0073729004,0.0075076814,0.011497599,-0.017212579,0.0023637963,-0.009275716,0.005674866,-0.009283947,-0.0015482411,-0.0104044825,0.0060381405,-0.016987255,0.008785956,-0.005964832,-0.007655175,0.0054532825
RNF223,-0.0014725197,0.004522795,0.0070363297,0.0015612901,-0.001686882,0.0011523741,0.00224316,-0.0011252575,-0.0019111818,0.00033154566,0.004254402,-0.00082010543,-0.0006944831,0.0010355802,0.001441448,-0.0021463002,0.0035401736,0.002810973,-0.0034397265,-0.0013231649,0.00289324,0.0019166294,0.0021219146,0.0044718157,0.0042133224,-0.0045159976,0.005201888,0.0022438338,-0.0009889221,-0.009743515,0.0025161982,0.001114695,-0.0031358795,0.00089285977,-0.00027702565,0.0012906578,-0.0038351219,0.0024979007,-0.0051716976,0.002711115,-0.002588167,-0.00080531574,-0.0019982946,-0.003568453,0.0005860093,0.003222818,0.0066260975,3.0896106e-05,0.0009221973,0.0010108066,-0.0047080303,0.0043110917,0.0003504465,-0.0032574753,-0.0012584197,0.0047759293,0.001509606,-0.00019449089,-0.0038154344,0.0042487,-0.0023370467,0.0035921896,0.0025345436,-0.0016132977,0.0012923665,-0.0019167203,-0.0068861907,-0.002767581,0.001369806,0.0015160495,0.0023989396,0.0020479353,-0.0038540538,-0.005792011,-0.0028880653,0.002101021,0.005173035,0.0006857056
TNFRSF4,-0.00526952,0.0012717415,-3.260915e-05,0.005992597,-0.0021028044,0.0066623916,-0.0030505313,0.007366899,-0.0023104262,-0.0042307833,-6.7053625e-05,-0.00059246144,0.012377935,0.010678758,-0.005911488,-0.00061154313,0.001663126,-0.0041515566,-0.009444123,0.0037604547,0.0031514848,-0.009361507,-0.00068004633,0.0005285607,-0.0069566895,0.0019727966,0.0047202865,-0.0077156057,-0.009147835,-0.0042171013,0.0034038303,-0.014316901,0.0040313997,0.0064118267,-0.00672406,0.0010993151,0.008297262,0.0070999237,-0.0053430116,-0.0051201764,0.015295415,0.008140881,-0.003281084,0.0009080991,0.0025752764,-0.0017859071,0.0013775687,-0.0028845363,0.00015494325,-0.0043275766,-0.0049538338,0.005416185,0.003478409,0.004475299,0.004019435,-0.0015428896,0.0032893526,-0.005179694,0.0069975886,0.007790046,0.00056080567,0.009127594,0.0074520167,0.004445495,-0.005687744,0.0004396708,0.009987972,0.006576755,-0.008356337,0.0042558964,-0.005153669,0.0005427247,0.0016829564,-0.0014279037,-0.0018980051,0.005259004,0.007048885,0.0012093273
MMP23B,-0.0030668683,-0.002944993,0.0034311623,-0.0042911735,-0.0023186633,-0.00095315836,0.00080972543,-0.0006143658,0.0064170524,-0.0059437454,-0.000112228845,0.0010466493,7.689606e-05,0.0034565784,0.011016385,0.0002610479,0.002878089,-0.0020621824,0.0023812377,-0.006523192,-0.00051380537,-0.005582595,-0.013838149,0.0071538417,-0.005938646,0.0061767297,-0.0028457667,0.002239471,0.003817119,-0.0064276005,0.005284666,-0.002657128,0.0020121895,0.0065737846,-0.008172437,0.0028533167,-0.0033866442,-0.0014649823,-0.0069992556,0.00019256127,-0.0043749665,-0.012961418,-0.0008521916,0.00023733586,-0.0010998093,-0.003534244,-0.0011387321,0.0030322564,0.002061961,0.003778127,-0.0033875369,0.0010197621,-0.005118608,0.002321006,-0.0025284258,0.00082949316,0.0046238755,-0.003015183,-0.0010975244,0.0007890488,-0.00015297043,-0.0012268071,0.0050858255,-0.0011951451,-0.0022700038,0.007855656,-0.000603055,0.0011824192,0.002374931,-0.00032103105,0.0109945685,0.0063265627,-0.005573561,-0.0010556281,-0.0029450648,-0.001163707,0.007468753,0.003502966
TNFRSF14,-0.0031989033,0.00012349605,0.003485982,-0.0038839388,-0.0015306293,0.00061948947,-0.00039920688,-0.0024031524,0.0034352758,-0.0069711744,0.0057599284,2.761305e-05,-0.009328347,-5.555478e-05,0.014826534,0.0057050115,-0.006376057,0.0064488426,-0.0017755697,-0.016111638,0.010281964,0.0018702471,0.008946745,0.0016675438,-0.014198864,-0.010065918,0.00016416208,-0.0060291747,-0.012379292,0.0029087756,0.009472561,-0.0024210755,-0.006464634,0.019365206,0.008161492,-0.0028086908,-0.012653118,0.009743535,-0.005623079,-0.0021608258,0.0030280126,-0.009310009,0.010960168,0.004705318,0.007754981,0.009502286,0.0062953695,-0.003371316,-0.005466052,0.013802254,-0.0031747173,-0.0044774907,-0.0049245725,0.005959509,-0.0038388432,-0.0121613145,0.005052334,-0.009358993,-0.009692204,-0.0048432457,0.005511659,-0.0014559693,0.020111807,0.008971785,0.013034082,-0.009384393,0.0037774947,-0.0064655663,0.013869968,-0.01663386,-0.0013156546,-0.004858061,-0.0053356485,0.0034254736,0.015175715,-0.0008257184,-0.023671806,0.0053706467
TTC34,-0.0004822,0.0018938914,-0.0013630234,0.0025661762,0.00031535793,0.0034635647,-0.0013280776,-0.0018371962,0.0011158811,0.0014030343,-0.0018783389,0.0026752078,0.0043915636,-0.0047638095,0.0046325265,-0.0035597226,0.002961388,-0.006072705,-0.0035775043,0.00070132583,0.00019337071,0.00046358982,0.0022548412,0.0031452698,-0.0042333445,0.0042297044,-0.0007306359,-0.0018232681,0.000600346,-0.0017625993,-0.00423385,-0.004730898,0.0028589123,0.0034196796,0.0024937773,0.001462739,0.0017389376,0.0010253747,-0.0042454493,0.007637896,0.00044601437,-0.0056630233,0.0005566637,0.0015430539,0.0037751812,-0.004402406,-0.0049488167,-0.0041763596,0.0029534958,0.0015653159,-0.0022535915,0.00079872983,-0.0015376011,0.0025767505,0.003494598,-0.0022024948,0.0024257507,-0.002322496,0.0022542747,0.0020113438,0.009175361,-0.0029321548,-0.0076765334,0.00018809433,0.00717744,0.0046879053,0.0007084027,-0.00475682,-0.0033199782,-0.0026060634,0.00019838077,0.0040123723,0.00050907076,-0.010772978,-0.004291992,0.0003872285,0.0010007436,-1.6109503e-05
SMIM1,-0.008372847,-0.009015059,0.0012045722,0.00076041865,-0.011079659,-0.0006400708,-0.0031493148,-0.00072110025,0.00409181,-0.009599384,0.0074249925,0.0018650418,0.0039417855,-0.0024483595,0.015387079,-0.0031425531,0.0005841405,0.0013445348,0.0030868459,-0.014694525,-0.005526773,-0.018637037,-0.01723363,0.0018222767,0.00010016404,0.0004903416,0.0020209923,-0.0012901203,0.0010481883,-0.0009006145,0.0048795287,-0.0066112136,-0.0040287417,0.007237073,-0.0056095193,-0.0021590078,-0.00434428,0.005288716,-0.012713207,-0.0040422915,-0.015220122,-0.013762914,-0.006946048,0.0011758379,-0.0045480775,0.0020063487,-0.003013859,-0.0027962876,0.01321112,0.0012437438,-0.00412756,-0.0002352353,-0.0012491365,0.0035898155,0.0049158987,-0.0029469351,0.0013124307,-0.003329731,-0.0009815563,0.0029292554,-0.0020374837,-0.0009651179,0.0039306753,0.002372922,0.0017132937,0.0087609235,0.004574227,-0.0007531896,-0.00027204014,-0.00282488,0.011309364,0.010800172,-0.0065691737,0.00038600157,0.006579336,0.0026789897,0.012905891,0.0065699834
LINC00337,-0.00012966678,0.0022964957,0.0016026541,-0.0030004275,7.949692e-05,-0.0041352957,-0.00122345,-0.0020668425,-0.0027188389,-0.0010995665,0.003419008,0.0010452707,-0.0017281154,0.0019223734,0.0024029142,0.0002541858,0.00070262986,-0.0035337734,0.0018273118,0.0006435606,0.0012156854,3.2292795e-05,0.0014269898,0.004339734,-0.0014047755,-0.0026020592,0.005886149,0.00022519303,0.0015357655,0.0012246921,-0.0022376725,0.0050531058,0.0010936297,-0.002995219,-0.0016790201,-0.0015942102,-0.00026392992,-0.0023372066,0.0006312668,8.0551436e-05,0.0017402605,0.00019719481,0.0010437946,0.00012926607,0.002942407,-0.0020573097,-0.0040996554,-0.0013633986,0.002766061,0.003128196,-0.000702505,0.00070289354,-0.003052177,0.0015390319,-0.0016034208,0.0015183403,0.002005056,-0.00014610552,-0.0025028687,-0.0012226745,-0.00054767414,0.0008534636,-0.0019464209,0.001169944,-0.0011118144,0.004709497,0.0016600534,-0.0014159023,-0.0020786792,-0.00051657006,-0.0031657673,-0.0014483788,-0.000707393,0.002482164,0.00025820933,-0.0014059108,-0.00018254163,-0.00010181256
