gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90
SAMD11,-0.020099625,-0.0014197575,0.007881762,-0.00068602146,-0.0024303556,0.00085528725,0.012373655,-0.0010424198,-0.0032675595,-0.0013615706,0.027654339,0.006795859,-0.00072645117,-0.004122217,0.00645277,-0.0050838985,0.0040407428,0.0059015267,-0.0058952556,-0.016745076,-0.008936581,1.1105936e-05,0.020269588,0.00019710732,-0.00577227,0.019218339,0.018786117,0.014684298,0.012990567,0.001584218,-0.022465821,-0.01540337,-0.0046457094,0.022316914,-0.008379179,-0.03079057,0.0015229624,0.0020859996,-0.007901793,-0.011726141,-0.0028087017,-0.013532501,0.0054446836,0.015392989,-0.0043704323,-0.007489901,-0.0067017004,0.016801732,-0.012306,-0.00044565563,0.008702014,0.0023664339,-0.0009152428,0.000571267,-0.0023067847,0.012158043,0.00510139,0.01609454,-0.0008366945,-0.010412075,0.017845178,-0.0010075337,-0.004516822,-0.008533693,0.0077079604,-0.00417958,0.007408834,0.019913452,-0.011263615,-0.0058811996,0.005476043,-0.014137683,-0.023172753,-9.1390095e-05,0.026464622,0.020924017,0.0017173344,0.007077046,-0.05108433,0.011360995,0.011369017,0.0007412187,-0.0124084605,0.0024257714,0.006146649,0.0513994,-0.0044973358,-0.014222746,-0.013073333,-0.0013395848,0.0059114383
HES4,-0.00271574,0.011139361,-0.007813271,0.003614273,-0.0077631576,0.003125315,-0.009677974,-0.0045896564,0.0080827875,0.0044680657,0.023589535,-0.004030703,-0.023281217,0.0019893232,-0.00802221,-0.004842343,-0.010847239,-0.004952153,-0.015625192,-4.153002e-05,0.007241931,-0.005574737,0.016411245,-0.016831018,-0.009212913,0.00032697816,-0.0021693788,0.0072579426,0.00024395123,0.011834435,0.001744465,-0.008614462,0.018900802,-0.0069939084,-0.007672635,0.015284877,-0.0060474947,0.008488529,-0.0030993607,-0.0011498906,0.005477853,-0.0064759348,0.0013390038,-0.011109997,-0.008116506,0.0040316675,-0.008954444,-0.0009071399,0.011114252,0.0012230385,-0.0024086572,-0.00909738,0.015755676,-0.0018338842,-0.0054058037,-0.002308956,-0.011839566,0.007982985,-0.0057389867,-0.005938023,-0.0012800801,-0.0065132,-0.005186247,0.013310809,0.001374057,-0.0021065695,0.0065127644,0.00025174583,0.007880272,0.008976887,0.005732658,-0.0058521633,0.009051839,0.0044274163,0.0072069806,-0.0029776092,-0.00010586778,-0.0007007198,-0.006572753,-0.00829066,-0.00010827395,0.004346289,-0.0020317296,0.0036135544,0.00030474283,-0.0134158945,0.002862215,0.012552947,0.0006687912,0.01332899,-0.0046324097
ISG15,0.00079434324,0.0017511365,0.0010674105,-0.006604285,-0.0010197461,0.006711556,0.0032149418,-0.0011297816,0.0038697957,0.0043087746,-0.006391197,0.0033909008,-0.005707163,0.0015432244,-0.011295959,-0.0014388956,-0.005024672,0.011358811,-0.0061060814,0.006225602,-0.010543597,0.00826999,-0.009065131,0.0010015697,0.0050935238,0.0050765495,0.008007415,0.010674607,-0.008925716,0.003627885,-0.0100916065,0.011680287,-0.0046177814,0.0013543232,-0.014027727,-0.0060032136,-0.0024754878,0.007782158,-0.005798421,0.01113375,-0.0011237887,0.0026881525,-0.0019556708,0.00078017183,-0.004801175,-0.005844595,-0.0065318607,-0.0010831876,0.0029890595,0.0031182123,0.006595894,0.0033926396,-0.0050676325,-0.0064903703,-0.00516904,0.0016505416,-0.004956223,0.0068847947,-0.012004346,0.0038354339,-0.0030921213,0.003116672,0.0041699633,0.00034620235,-0.013358309,0.0014704859,0.0054974677,0.005153185,-0.008703521,-0.0070700995,0.0024213798,-0.008074186,0.0014206374,-0.0005322369,8.049245e-05,0.0052462304,0.006705654,-0.007574956,-0.0061142603,-0.01011649,-0.0026856416,-0.0015152821,0.0013971698,0.00054606295,0.0051550316,0.0020928713,0.0013192758,0.0018067622,-0.012136745,0.003236064,0.002582358
RNF223,-0.0019722595,0.0043657236,-0.0020314266,0.0018810903,-0.0010402336,-0.002050408,0.00043583976,-0.0019484969,-0.0038891914,-0.0015652783,0.005451173,0.004369112,0.00061993755,0.0035527924,-0.0024614006,-0.00018010683,-0.0049990197,-0.003087377,0.0009813004,-0.0037485517,-0.0069835684,0.0025720757,0.006852535,0.0035738526,0.0052031297,0.0012723821,-0.003228025,0.00047490434,0.006091558,0.0015419301,0.0034856407,0.0024579738,-0.0030242824,0.0006222658,8.2557846e-05,-0.002408115,-0.00076583296,0.0019158286,-0.006095618,0.0014873568,-0.0018338837,-0.0022503794,0.005027927,-0.001896556,-0.0016965559,0.003336602,-0.0012757047,-0.0020397143,-0.0078230295,-0.0028303494,0.006115383,-0.0040123123,-0.005822269,-0.00075755856,-0.00520477,-0.0021764669,0.0032574954,0.004859118,0.0023856529,0.0028851058,-0.0011889887,0.0049168183,0.00084468786,-7.7038285e-06,0.0020396216,-0.002242629,0.003672147,0.0039614323,0.0011017903,-0.003291238,0.0007245894,0.00077449775,-0.0031579924,0.0037666494,0.0022073498,-0.0019816638,0.0032124147,-0.0037545585,-0.008407716,-0.0018368362,0.0010519823,-0.00085516577,0.0033940221,-0.004313806,0.0013745681,0.0042552482,0.0023368283,0.0009763432,-0.005355364,0.0011965828,-0.0033498395
TNFRSF4,-0.0034034322,-0.004675474,0.0034121426,0.0012075711,0.0026499657,0.002680792,0.0028676204,-0.0027765953,-0.00049096864,-0.0055189277,0.004690077,-0.00063633296,-0.0016447392,0.01970631,-0.014907878,-0.010712867,-0.0023374378,-0.0030085966,0.006796578,-0.00084087177,0.018115021,0.0175362,0.009356128,0.0073359213,-0.018260313,-0.006140289,0.0028137425,0.007941009,0.0056597837,-0.004280023,0.0074128853,-0.0051271277,-0.0032916656,-0.0024821863,0.0052118446,0.0021389322,-0.00665337,0.0036645224,0.0043898574,-0.005951248,0.004523626,-0.0067544305,-0.003930474,0.0016333716,-0.0009958998,0.009657402,-0.0051869834,-0.004735145,0.005518586,0.0039365566,-0.0020369042,-0.007096498,-0.007579002,0.0005855455,0.0044520763,-0.0103894435,0.0040564477,0.007393325,0.00143229,-0.004935098,-0.0038964653,-0.0005554579,-0.0012033696,-0.007974553,-0.0055111703,0.00082528323,-0.002210597,0.006882145,0.011146959,-0.002186836,0.022289783,-0.013499282,0.029660927,-0.018852305,0.013110667,0.014871375,-0.0020776275,-0.0037664985,0.010862002,0.0020694686,-0.006494301,0.0066270246,-0.0012509548,0.008956844,0.0047479593,2.5097439e-05,-0.004067955,-0.007648292,-0.001925153,-0.00032930405,0.0028235863
MMP23B,-0.0019279096,-0.0022433281,-0.0006000839,-0.00649033,0.0023714926,-0.0043586185,-0.0022447272,-0.0026962818,-0.0020822498,0.0023094837,-0.0028457295,0.002925399,-0.003934579,-0.0049436963,-0.00613898,0.0014484795,-0.0053014825,-0.0048138336,0.0034602226,-0.004054869,-0.00022318894,0.0014693191,0.0053222845,-0.00025347597,-0.005130993,-0.0077294298,-0.00026691807,-0.00041108715,0.0069601256,0.007882534,0.0022805384,0.00063420576,0.0025146957,0.0018888669,0.007177765,0.008161672,-0.0003716684,-0.0039094286,-0.0050521563,0.0100183925,-0.0013940325,0.0062300796,-0.00039331496,0.005570066,0.00093531085,0.002479143,0.003499466,0.0025668563,0.00055007596,0.00011211403,-0.0044149454,-0.00014594819,0.0028397662,-0.0012739337,-0.00089808926,-0.004782783,0.0015717001,-0.007743239,0.006783653,-0.0025229352,0.007755205,0.004255932,-0.0005805865,0.013362625,0.0036868395,0.0057205586,-0.009125992,0.012578367,0.010829122,0.009125215,-0.0012826492,0.0072018052,0.0007821928,-0.0014695023,0.0062697884,-0.0037618594,-0.0013203536,-0.0011476373,0.005086661,0.001629347,-0.002905778,-0.003913635,0.0011374273,-0.0040299552,-0.005344167,0.00025459056,0.001222744,0.0008135677,0.0015041814,0.005423147,0.00036883485
TNFRSF14,0.00080063374,-0.001061566,0.004055891,-0.004293483,0.0030261646,-0.004221425,0.0006147453,-0.0054716505,0.001567063,0.00013258946,-0.004874709,0.0018611706,-0.014477271,-0.0010726196,-0.0041091866,-0.014973629,-0.006365637,0.0067637973,-0.0065303873,0.00029952714,-0.011587771,-0.0034795627,0.009917851,-0.007228628,-0.0013139569,0.0053627193,0.00075772457,-0.004989334,-0.0014120718,0.01178962,-0.00092914654,0.008334884,0.0019135741,0.012192768,-0.008144792,0.003140484,0.007275151,0.0025908174,-0.006120345,0.011022715,-0.01605846,0.010052763,-0.0029683514,0.013286275,-0.0023630825,-0.0037690247,0.0018927561,-0.0042828703,0.002681533,-0.01364029,-0.0050411024,-0.0038297805,0.0011835368,-0.0059784623,-0.012929605,0.0028263333,-0.0103998585,0.004139871,0.00258598,0.009088079,0.00045151732,0.012358564,0.012875677,0.0034731643,-0.01182241,0.0019070333,-0.0025324004,0.006303918,-0.0052866493,-0.014958506,-0.008159183,-0.01288467,0.013445586,-0.0010829873,0.006271185,0.008455778,0.014971256,-0.0031504063,0.0009774326,0.0050836215,0.014288444,-0.0028548045,0.00046234654,0.013596426,0.0064563164,0.005150093,0.0023345756,0.017740665,-0.0019326035,0.011882605,0.008657567
TTC34,-0.00029142527,0.0011744173,-0.00096142327,-0.0018052446,0.00058005535,0.0012743965,-0.0023464467,0.0015897597,-0.0002214257,0.00251597,0.00014652435,0.0010227377,0.0026346752,0.0025297035,0.0039736754,-0.0032634132,-0.0041435226,0.0013297839,-0.00015034499,0.0007342478,-0.0030476893,-0.001310148,-0.00019124642,-0.0002138217,0.004040877,-0.003557793,-0.009699985,0.0016014787,-0.0035285233,0.00061701675,-0.0028854802,0.0042151045,0.0031560778,0.001029376,-0.0017120588,0.005987221,0.001632441,-0.0065721017,0.0014039716,0.009788218,0.001320067,-0.0013171226,-0.0069350717,-0.00076830736,-0.00034769945,-0.002221879,-5.05368e-05,0.0037201515,0.005917587,-0.00253959,-0.0023721897,-0.0009111125,-0.0015141506,-0.0017670203,-0.0013515252,-0.0010175202,0.005969705,-0.002140148,0.0009033237,-0.0020613195,7.6034805e-05,0.0059280614,0.0020926087,-0.0006009825,-0.0032098761,0.00014030476,-0.006289104,0.0006359003,0.0020838939,-0.002915044,-0.0021249908,-0.0011674274,-0.00153431,0.0042074644,0.0021631916,0.0029299788,-0.0043038568,-0.0008036897,7.73482e-05,-0.0077846865,-0.0072477893,0.002179195,-0.0009655149,0.002879471,0.003139211,-0.0010132777,2.764061e-05,0.006907369,0.006534452,-0.0024571933,0.0013725479
SMIM1,-0.004187507,-0.008013552,0.0013469158,-0.0013034153,0.0035473295,-0.008394987,-0.004061831,-0.004526368,-0.004624051,0.0034208363,0.0002167931,-0.0006369454,-0.0043055774,-0.008641297,0.0017211132,0.0040882016,-0.0058925594,-0.000641302,-0.00345314,0.0029621492,-0.0060562063,-0.0015615524,0.0060935854,0.0016678158,-0.009615229,-0.0018267925,0.002721655,-0.0020037722,0.0124309035,0.005977036,0.0065835323,0.0019858181,-0.0026345586,0.0042539975,0.007300604,0.009604965,-0.003590289,-0.0004007869,-3.0167916e-05,0.007635181,0.005080903,0.008940614,-0.0039902516,0.0042558787,0.003315152,-1.7397411e-05,0.0033323707,-0.0033102578,-0.01227392,-0.006556869,-0.007731327,0.004124983,-0.0027564925,-0.007863714,-0.009479101,-0.0030372753,0.0030545434,-0.0028926898,0.008265671,0.00064419274,0.007680764,0.0052855294,0.00092984294,0.015467806,0.010063877,0.013890076,-0.011497803,0.013750067,0.016504852,0.003239429,0.0026515534,0.00055700704,0.0030141096,0.004843335,0.00570146,0.00021139809,0.0014196768,-0.0014720655,0.006769828,0.0064537236,-0.0015636593,-0.0056354995,-0.0014885907,-0.0005302275,-0.00023036111,-0.0016907642,-0.0012743063,0.008962974,0.0028604898,0.0086717205,-0.0055210665
LINC00337,2.3732151e-05,0.0009987596,0.0010061235,-0.003820136,0.0023725943,-0.0017617197,0.00033673403,0.0018626592,-0.0026856647,0.0004140875,0.0005854733,-0.0029169822,0.001654325,0.00025860305,0.0021053879,-0.00056459045,0.0037228542,-0.0024443243,0.00044065944,-0.0036849936,0.0017342189,-0.0047335164,0.0016853618,0.00062896224,-0.0034218535,0.0032672994,-0.00055980816,0.0015672283,0.0033696447,-0.0009468644,-0.0027888468,0.0043315226,0.003803746,-0.0010085363,-0.0008032709,0.0013206041,-0.0014280926,-0.0004018962,-0.0019131631,-0.0016178626,-0.0038029624,0.0010046331,-0.0029793945,-0.00021305945,0.0008635532,-0.0014390306,-0.00585794,0.0027804417,0.00025085226,0.0019002032,-0.000729448,-0.0014022214,0.0062855007,-0.0024085934,-0.0010384936,0.00018527392,-0.0043406645,-0.0007744666,0.0011900442,0.0021477167,-0.0017027702,-0.0015757249,-0.00065889314,-0.0002748254,0.00046429332,0.0013190174,-0.0024170754,0.00012300126,0.0027336592,0.0013135255,-0.0037799592,-0.0006187733,-0.0037485452,-0.0007629958,0.0016540127,-0.0015878251,-0.0011275968,0.00054032437,-0.0015224844,0.0006911379,6.6818457e-06,0.0020400186,-0.0018278003,0.0006652413,0.00023430392,0.00058448693,0.0043267817,-0.0018282997,-0.0010620197,0.0026031493,0.0010904925
