gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104
SAMD11,-0.013483898,-0.0013266009,0.0042615626,0.007216075,0.006006059,0.0015499139,0.0019115811,0.0030096115,-0.008223887,-0.004377092,0.006270856,0.005750827,0.0058860728,0.007112496,0.004022902,0.0113083655,0.009376536,0.026142243,-0.00018492308,-0.011987946,-0.00853089,0.0012399947,-0.00883922,0.017258117,-0.0019597064,0.008597172,0.033649772,0.0028647748,0.013738435,0.019457176,0.015101149,0.002840685,0.011473013,0.0050467122,-0.0050517567,0.017640278,-0.014372629,-0.000678735,0.032768864,0.011813169,0.036620993,0.019904781,-0.013371784,0.004658124,0.015434657,-0.009574285,0.02175623,0.0044156057,0.0041623255,0.02228596,0.003666924,0.028361581,-0.01673121,0.015597664,-0.0005493694,0.0012725925,0.015303333,0.0051724087,0.004785351,0.020098206,0.002181843,-0.022281902,0.007897288,0.018099522,0.0087098,0.008566191,0.0044656782,-0.0042849327,0.02215869,0.008622945,0.014754879,-0.00418684,0.018426716,-0.004708649,-0.0036194227,-0.014729277,-0.010385105,0.0047808797,0.0053690607,0.013335419,-0.006770782,0.009420922,-0.003358411,-0.0046425643,-0.0038088255,-0.00069560343,0.01048223,0.010954959,0.0011450009,0.00027729766,0.013240911,-0.011320367,0.013350943,-0.015667338,-0.03251654,-0.012616863,-0.017764928,-0.009342805,0.02409405,-0.0090806605,-0.007281422,-0.002871472,0.0007985689,0.014258577,0.023840966
HES4,0.0021293215,-0.0035084544,0.026705302,0.0005910947,-0.0023406646,0.0015530945,-0.015360798,-0.0003619148,0.012735318,-0.008491414,-0.004505985,0.006241048,-0.01192566,0.008417206,0.0044078534,-0.014871078,0.0026250032,0.0009977251,-0.00065448345,-0.0014351519,-0.0013673875,0.0008548194,0.0013321692,0.0042079487,-0.0049996236,-0.002945162,-0.004513731,0.014416758,-0.013947396,-0.020687867,-0.0016241674,-0.0026786926,-0.0011276456,0.027079156,0.008809985,-0.004051494,-0.021351533,-0.013546008,-0.0032443113,-0.0006130537,0.0014373848,-0.005358711,0.011111725,-0.0010831842,0.0029247354,-0.009181138,-0.0005871604,-0.010339268,0.0043712333,0.0007200198,0.0088717835,0.0017611271,0.0034016746,-0.0014523037,-0.012070086,0.00079632364,0.01477272,0.0010151186,0.01773449,-0.0033621436,0.000512558,0.0014600647,0.003246996,0.0029315522,-0.0019719645,-0.00021135667,0.009692893,0.0012716491,-0.002434482,-0.002329955,0.0014282217,-0.012365704,-0.008418103,-0.0010863172,0.006017722,-0.0003683798,0.012672939,-0.0040161805,-0.00040616363,8.0809354e-05,0.00077927567,0.0015358493,0.004413042,0.0029149896,0.0023529686,0.004599127,-0.005615116,0.010851733,-0.002504463,0.0022132194,-3.1661773e-05,-0.0026958203,0.0027134393,-0.0046646544,0.0075833984,-0.0050574085,0.007621232,0.00028780664,-0.0047600735,-0.021101056,0.00288764,-0.012042097,0.0046237195,-0.0008660099,-0.010043509
ISG15,0.0019869253,0.0035500694,-0.0045607453,-0.010883133,-0.0028363324,0.0020554783,0.0019679123,0.00541692,-0.00028545922,0.0020295274,-0.00070280844,0.002169999,-0.0015813381,0.0022510493,-0.0057626846,0.0018307787,0.003055022,-0.0043900614,0.0074776416,0.0024603505,-0.0019437724,0.00083832134,-0.00082614634,0.0022715759,0.0008133838,-0.007948472,-0.0020805555,0.0030745307,-0.0012683196,0.009869288,-0.00086077396,-0.0017641971,0.014971268,0.0043107285,0.0024801886,0.000116040406,0.00062352564,0.009501947,-0.00031466188,-0.0020867244,0.012940266,0.0022737123,0.0035296103,0.0053598084,-0.0046274546,-0.0028252685,-0.0010690885,0.003944334,0.0029300929,-0.00108598,0.0021917706,-0.0015357443,-0.0075310585,0.003821935,0.005628085,0.00034736466,0.0009355229,-0.0037829196,0.0045639155,-0.00095061015,-0.0036161065,-0.0046933736,0.008553791,-0.0018670735,-0.0010770157,-0.010008874,0.00068861945,0.0004099844,0.00011695929,-0.00091247255,-0.0088749435,-0.0113259815,0.0034720162,-0.0010159023,-0.00036144306,0.0010034698,0.00224708,0.009883582,0.02287068,0.005405875,-0.007851269,-0.01252892,-0.00035665365,-0.0101208165,0.0071375766,0.0024461437,-0.0026098737,-6.1365805e-05,0.0071449103,-0.008255494,-0.0022315907,-0.0020002637,-0.0016241038,-0.007855368,-0.008797827,-0.0056021865,-0.0011945721,0.002135759,-0.00059258903,-0.014213882,-0.0026127726,0.0005418786,-0.0015560902,0.0018047288,0.003958059
RNF223,-0.0018931833,-0.0015371619,0.0026550414,0.0005747774,0.0034243683,-0.00019705863,-0.0004545478,0.0013837082,0.001379025,-0.0013948203,0.0009145131,0.0015591155,-0.0032843484,0.0013630388,-0.00041826649,-0.0029528746,0.0074440674,0.005282639,-0.002870028,-0.0057507586,-0.00035328724,-0.0015001919,0.0031705424,0.0026609318,0.0053497306,0.009901353,0.002792426,-0.0035362318,0.00070265745,0.0027855365,-0.00018763791,-0.002044456,0.0007654133,0.0018870648,0.0030355272,-0.0017515742,0.0025132096,-0.003376357,0.0012989205,-0.0016559081,0.0056882678,0.0008865756,-0.0048418264,0.0059105163,0.0029036046,-0.003475737,0.0024592737,0.0043597915,0.0015750095,-0.0017868485,0.0039643003,0.008847714,-0.008284694,0.0061557363,-9.82228e-05,-0.0009924264,0.0028037694,0.0006907356,0.0044155023,0.0016344921,-0.00038893815,-0.0055654855,0.0029783677,0.004379538,-0.0019760202,-0.0004394569,0.005931085,0.0033781668,0.0031818163,0.004914017,-0.004261347,-0.00067132514,-0.000815497,-0.0030298708,-0.0039334376,-0.006600925,-0.0021408657,0.0012030886,0.0003925171,-0.0020311177,-0.000496185,0.0050386908,7.4419964e-05,-0.0009634377,-0.00027371457,-0.0025318577,-0.0015377677,7.9304176e-05,-0.00046826288,-0.003843027,-0.0006220217,0.004923398,0.002800823,0.0016995079,-0.0006038475,0.0012584446,0.0014438573,0.0041550524,-0.00063288846,-0.0028321086,-0.0008180187,-0.00037460824,0.0029959779,0.00449316,-0.0008008895
TNFRSF4,-0.00065750844,-0.00046108785,0.00069391873,-0.0014622365,-0.0011626693,0.0037074115,-0.0008877466,-0.0021649525,-0.0023156798,-0.0005773011,0.0027163164,0.00016827826,0.003431714,0.0042388877,-0.00017157778,-0.008748441,0.00019885715,-0.0032734617,-0.0152519215,0.0063525466,0.0021513584,0.0016155702,-0.006471206,-0.0002727639,0.0021112754,-0.0170054,-3.718912e-05,-0.0023251849,-0.00307573,0.002628643,0.0047651357,-0.006488273,-0.0078615425,-0.011547314,0.00947643,0.0034184773,-0.006576075,0.006917571,0.00017933374,0.0013381159,-0.003310532,-0.005010164,0.005482469,-0.0037763398,-0.005958572,-0.0077226413,0.00061251153,-0.008950229,-0.007515774,0.0048025777,-0.0026364704,0.0010657381,0.0028795449,0.0054383897,0.002355117,0.0064568166,0.0016711507,0.012099973,-0.003860541,-0.0063583134,0.011280976,-0.014998772,-0.0043815123,-0.004687142,0.018659689,0.0072998395,0.00135472,0.01708917,0.00087545643,-0.0055608684,-0.0012403124,-0.010773756,-0.0068457583,-0.00805201,-0.010565387,-0.010363327,0.0012501879,0.0060362,0.010858879,-0.003008631,0.007255376,0.010372436,-0.008500956,-0.0066226674,0.0008769111,-0.0062450436,0.005332197,0.010872725,0.00039221332,-0.007854916,0.00884623,0.007114787,-0.006985446,0.014568592,-0.0024963433,-0.005789828,0.010256573,0.006446486,-0.007095074,-0.00023118775,0.0034020669,-0.0037751363,0.0097165955,0.0016807019,-0.0022124748
MMP23B,-0.0018872692,-0.0061555733,0.0012266099,-0.003112258,0.0039739367,-0.0033882346,0.0032510967,-0.0029575266,0.0019704655,-0.0010986989,-0.005808052,0.0011285895,0.00025224462,0.0007341089,-0.0030927814,-0.004191714,0.005370995,-0.0010845697,-0.0004715109,-0.007747821,-0.0031331107,-0.012785827,0.0006677246,0.009052181,0.007070299,0.007193969,0.0012759853,-0.0023925528,-0.006081713,-0.0027688777,-0.0053371396,0.0061834175,0.0016598864,0.00073592324,0.0021408494,0.000381021,0.0018185356,-0.00084367226,0.002171565,-0.000695762,-0.0031879398,0.00028718426,0.0026193154,0.0052439426,-0.0024144857,-0.005172029,0.006470407,0.0038334574,0.0077494816,0.00037237347,0.002936626,0.0031451266,-0.0052455235,-0.016934171,0.0016785004,0.012294193,0.00096374843,-0.010434769,-0.008086109,0.0011544976,-0.0025935418,0.00020836068,-0.008787443,0.0006061823,-0.001279076,0.010659465,0.0002508467,0.000706602,0.0034964446,0.0016492603,0.003760111,0.0006186452,-0.0027835057,-0.0007480466,-0.008581246,0.0002715644,-0.003907663,0.0026424483,-0.005893211,-0.006560527,0.00067705807,0.005743535,0.0095876595,0.0042301235,0.0010661015,-0.00031679717,-0.011589636,-0.011394059,-0.0017483074,0.0063417037,0.001410887,-0.0051502003,-0.008158303,-0.002807363,0.0030645686,0.0039398954,0.01030475,0.0037020836,0.00210375,-0.0011460595,0.009073387,0.0015896682,0.0065308064,-0.00142431,-0.004320691
TNFRSF14,-0.0026384366,0.0005380093,-0.0036535042,-0.009651957,0.0028962216,0.0018617087,0.007869901,-0.003775051,0.0022047185,-0.003133883,-0.0011547034,0.00683912,0.0034338052,0.0051412513,0.0019407847,0.0029946363,-0.005245844,0.008227572,0.009396235,-0.0052425773,-0.00812913,-0.011060174,-0.0030733058,0.0058199116,-0.003512864,-0.010107513,0.003919155,0.008345354,0.004352044,0.008356588,0.0073697655,0.001398705,0.0011146954,0.008620196,-0.009063908,0.009166394,-0.0009898138,0.0077151996,-0.017586486,0.0018464018,0.007865381,0.0038219788,2.6337508e-05,0.009612853,-0.008607078,-0.010468537,0.012049237,0.0016679068,0.0017220586,-0.0008483921,0.0015489863,-0.00026040146,-0.006120457,0.012475554,0.0075118234,-0.0023362527,-0.001150285,0.00048952247,0.0046088807,-0.012998874,-0.0006661683,0.008764892,-0.011773166,0.0016065007,-0.00015224746,0.0020517777,0.0020210077,-0.0026534526,-0.0033723963,0.005431595,-0.020400666,0.0052569103,0.002174316,-0.012722806,0.0007299899,0.008008492,-0.0021967,0.012200906,0.017619213,0.0058589582,-0.012504185,-0.004415824,0.008600361,-0.018503174,0.003481952,0.0027977137,-0.01653753,-0.004572266,-0.0029500693,-0.0046655103,-0.002684939,-0.00677405,-0.0038583172,-0.004829933,0.0011021794,0.007958564,0.003977913,-0.0094381785,0.00030872782,-0.0102041075,0.006409303,0.0060587353,0.0037490888,-0.02396797,0.0075523104
TTC34,0.0018148513,-0.0028886462,-0.0025690994,-0.001448667,0.0005832055,-0.0013626353,9.482837e-05,0.0045978343,0.0015278594,0.002797933,-0.0023275437,-0.0003721514,-0.00013086027,-0.0023003516,-0.002370424,0.00547553,0.0032109246,-0.0049450854,0.0019008588,0.0032939864,-0.0018828971,-0.0021081,0.001709727,0.0051875655,0.0038675384,0.0050868858,0.00034734124,0.0013089832,0.00016516821,-0.0040756147,-0.010353151,-0.0043279193,-0.005468837,-0.005916156,-0.0006562919,-0.0020348055,0.0010919297,0.0020670888,0.00083130953,0.0024100807,-0.0023729284,0.0022021467,-0.002069085,-0.00021235738,0.002110073,0.0014125127,0.004066759,-0.0030871264,0.0034446109,0.0014588069,-0.00033677352,-0.002292791,-0.009835149,0.0012977698,0.00038068194,-0.0010995249,-0.0060138325,-0.0003517437,-0.0073609445,-0.0018193666,-0.00042144093,0.0049945735,0.0015341932,-0.0016096289,0.0036531957,0.010248349,-0.0018691466,0.008080141,0.0012736873,0.0049524694,0.00046280856,0.0026088457,0.001903944,0.0012573701,0.007873224,-7.8770165e-05,0.00238098,0.006000264,0.0057320753,-0.00073301164,0.002948437,0.0013176316,-0.0055616023,0.0014918356,-0.003927851,0.0049223304,-0.0011875734,-0.0012383825,0.0016156095,0.0007462304,-0.00076510425,0.0016515317,0.0017823282,0.0012189387,0.0077869906,0.0013384046,-0.0011430278,0.0066352813,0.0032143346,-0.00049573067,0.003224713,0.002263265,0.0005729524,-0.00034912216,0.0040492113
SMIM1,-0.004820651,-0.006110684,0.0033732923,0.00022985096,0.007950553,0.0003113446,0.005620079,-0.008174235,-0.0017254043,0.0031071582,-0.0059580086,0.0019571953,-0.0007504794,0.0065516517,-0.0015424674,-0.010531954,0.0051085004,-0.0018545756,0.0026173636,-0.0075054485,0.011125821,-0.014362618,-0.0041631022,0.009336207,0.014499976,0.0004625805,-0.0007036117,-0.0009716567,-0.0040842905,-0.0011433116,0.0063661677,0.0009866959,-0.0025351392,0.0029877825,0.0039552185,-0.00416146,-0.002249801,-0.0064040027,0.00091485446,-0.0051903604,0.002236965,-0.00055669656,-0.0050000595,0.0018926631,0.0017046726,-0.003006286,0.008018819,0.004639895,0.0013662418,-0.00555541,-0.0012806698,-0.0006190087,0.0014130932,9.54662e-05,0.004549207,0.002301118,0.0025729863,-0.010250261,0.002235169,-0.0064010583,-0.0014580884,-0.003324269,-0.0026538877,0.0036274993,-0.0017523583,0.0067364387,0.00022049868,0.0010871714,-0.0018057887,0.009062215,-0.0023292562,0.009387306,0.00417133,-0.00044058726,-0.011312359,0.0016769965,-0.007748541,0.0016849054,-0.0070128865,-0.0028991692,9.283416e-05,0.011096754,0.0026582223,0.0030186304,0.010464425,0.00372969,-0.01016804,-0.010709206,-0.0099534765,0.009355489,0.00061404536,0.0004845342,-0.011250193,-0.0055869794,0.0066377237,-0.00071643986,0.012859916,0.0029273059,0.0006899328,0.008260098,0.013312735,-0.004893417,0.007878896,-0.004867569,-0.0068992656
LINC00337,0.0011894038,0.00052428484,0.002230177,-0.0020792326,0.0013219339,0.0009099604,-0.0014974439,-0.002996058,0.0015255088,-0.0029235845,0.00050169794,-0.0019012213,-0.0008945068,-0.0035085753,-0.0025072123,6.0320148e-05,2.2619772e-06,-0.0017474247,-0.0033065162,-0.0009711893,-0.0016123481,0.0007686953,-0.0012301502,-0.0025591517,-0.0003749358,-0.00012360874,0.0048809457,-0.0004041867,-0.0026092434,-0.0064424775,0.0021654305,-0.0012366113,0.0029617457,-0.0008637339,-0.0042878184,0.0018119991,-0.0030999782,-0.0013899629,-0.002370579,-0.0028671653,0.0038864112,0.002580122,0.00012130902,-0.0014019238,-0.00066284,0.002005145,0.00061761204,0.0014370582,-0.00018153063,-0.0035127946,0.0002680591,-0.0013206583,-0.0016335578,-0.0037807918,0.0039923857,-0.00036746924,0.004899658,0.00055283867,0.0016089008,0.005183131,0.00036112466,-0.00074085896,0.0010739685,0.0027985724,0.004939944,0.0012300955,0.00253404,-0.0018612652,-0.00061895885,-0.00010444721,-0.000631585,0.00066412654,0.001989944,0.0008240256,-0.0017586908,0.006973654,-0.0006696808,-0.0006160415,-0.0020168726,-0.0018177764,0.00046691825,2.9584493e-05,0.00027619404,-0.0026985398,0.002606503,-0.004044721,0.00054178084,-0.0018371203,-0.00060538296,0.0058146277,0.00019257607,-0.0028348875,0.00044484466,-0.0013319652,-0.0010013144,0.00093794405,0.000990946,0.0012034796,0.0015305864,-5.5257824e-05,0.0017507868,0.001541162,0.0003582735,-0.0010012384,0.00065989204
