gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104,phi_105,phi_106,phi_107,phi_108,phi_109,phi_110,phi_111,phi_112,phi_113,phi_114,phi_115,phi_116,phi_117,phi_118,phi_119
SAMD11,-0.010478387,-0.00082658156,-0.0030830877,-0.00055083464,-0.006730806,-0.0050041713,0.0066627255,-0.0004991435,-0.005251239,0.0055419486,-0.008666889,0.003100215,0.010536052,0.0030611076,-0.008747522,0.0024909668,-0.0025269915,0.011492181,0.0055978936,0.020011447,-0.0353117,-0.021693671,0.008749001,0.018691925,0.0059483405,-0.015267783,-0.003963403,-0.04155272,0.0051034144,0.0067410455,0.0002946516,-0.0085740555,-0.01622223,0.006299553,0.022334667,-0.012155845,-0.002196379,0.019258369,0.006200658,0.010375834,-0.004648876,0.008504823,-0.01179087,-0.010369969,0.004842231,-0.009182026,-0.0061779786,0.014552994,0.011372151,-0.0053720227,0.0004109209,-0.0013089257,-0.009524744,0.0040726913,-0.0043555633,0.00027034225,-0.007040254,-0.007785977,0.001504688,-0.016569292,0.008788444,0.004670232,0.0010408175,0.005839358,0.0007610598,-0.0083433,-0.0038763578,-0.011417714,0.009195825,0.018885164,-0.009709607,-0.01646593,0.013318661,0.014572772,-0.0028801577,0.027375553,0.02239327,-0.020827767,-0.03339581,-0.015605051,-0.0011851238,0.009183731,0.0450609,-0.010900292,-0.0050366498,0.006090021,-0.02277177,0.016861651,0.014287541,0.013004736,0.0005640547,0.0064489306,-0.01814278,0.015799396,0.0030465927,-0.0052094026,-0.010286346,-0.013861184,0.008935215,0.019789474,0.000211033,-0.0014660156,-0.0011957939,-0.013054716,0.005427713,0.01082512,0.020786664,-0.010551974,-0.026660277,-0.0030804377,0.0097518,-0.0044610654,-0.0069986153,-0.01147876,-0.005023303,0.007849627,1.6234346e-05,0.022322329,-0.0020948197,-0.00892251
HES4,0.00044381327,-0.023742767,0.0047147023,-0.0037032445,-0.00978886,-0.005128028,-0.0049364897,0.003959413,-0.0088145295,-0.0053779134,-0.00078815373,-0.010948148,0.013058373,0.0031633624,0.0034083794,0.00069189735,0.00300453,-0.007868361,-0.009862904,0.011669379,0.009315221,0.0040933327,-0.0017198733,0.009415632,-0.01646687,0.011043553,0.012092463,-0.0032002889,-0.005278596,-0.0063249124,0.0069256597,0.00526715,-0.010547705,0.003056159,-0.0038382919,0.002387472,0.0068820496,0.0038334255,-0.002912416,-0.008021262,-0.001980517,-0.0065447884,0.00032062325,-0.0016846718,0.0048345476,0.006246435,-0.00031618954,-0.007874776,0.000609085,-0.0074944426,-0.008697791,0.0033276326,0.0037506532,0.0027404397,-0.010582492,0.007837775,0.008698603,0.0005535756,-0.010251414,-0.011398881,-0.01262244,0.00041427763,0.014943436,0.009423195,0.0046167765,-0.0026750558,0.0018656222,-0.0035923645,0.012654284,0.009215975,-0.004499876,0.007915254,-0.005246522,-0.0013570695,-0.012587708,0.0010797646,-0.0032773865,0.004304198,0.008111555,-0.00945751,0.0104399,-0.002449775,-0.002343583,-0.0046917545,0.0021536218,0.00140336,0.00814951,0.0001249822,-0.000737138,-0.0041666743,-0.0023806002,0.003949653,-0.005757497,0.0018563716,-0.010843237,-1.6007336e-05,0.011367499,0.0045792577,0.009756795,0.0010733927,-0.0004753023,-0.010796979,0.0028947953,-0.0006402296,0.005639088,0.0047793337,-0.015630247,0.0054051974,0.0029717137,0.0032223342,0.0123414425,0.01242093,-0.00094778027,0.0017345775,-0.012247196,0.0007804979,-0.0056848163,0.001425617,0.0023260782,-0.006339755
ISG15,0.0052485582,0.0031071645,0.0031799572,-0.006579248,-0.0011879564,-0.0043963157,-0.012578649,0.004334634,-0.0034737927,0.007568971,0.0020756654,-0.0012191932,-0.0011812233,0.0009967404,0.0020400265,0.0033713821,0.0064815856,0.015152082,-0.0076394062,-0.0040951795,0.00053646544,-0.0035794352,0.001981587,0.0022935735,-0.011576029,-0.0011149655,-0.002957287,-0.00085601717,0.014091848,-0.0030072283,0.010515378,-0.0055477316,-0.00793429,0.0032091404,0.000917,-0.004770955,0.0015534484,0.0009092319,0.0037009479,-0.0037907837,-0.0010286844,0.012248668,-0.003183197,-0.0073322384,0.0024855228,-0.00029172574,0.0018730325,-0.0012790245,0.0027535658,-0.02016131,0.005885038,-0.0010001023,-0.0035734605,0.007949227,-0.0038698302,-0.0010725685,-0.00019662491,0.0076111006,0.0016599617,-0.009969073,0.0025569145,-0.0020469627,0.006431953,-0.0005497321,-0.008070894,0.00019956844,0.0039432743,-0.009764811,0.0029530104,0.00013635396,-0.008985244,0.013168652,-0.0054907436,0.010200207,0.009240339,0.0040353676,0.0025140343,0.000427049,-0.0024747981,-0.013446504,0.0025438631,0.0074792397,0.0015882037,0.0014247901,-0.00066106266,-0.001255696,-0.0008322446,0.0046623726,-0.006241858,-0.008894449,-0.0054539237,-0.0034703338,-0.0031942527,-0.0012275628,0.0026824314,-0.0036816325,0.003543345,-0.0046519614,-0.0049803834,-0.00040650912,0.0010419278,0.00712085,-0.0044304393,0.0073363613,0.001758831,0.0020112728,-0.0016554547,0.001256703,-0.0011578931,-0.015661934,-0.0020550268,-0.00090744696,0.0043381467,0.009240054,0.00029199442,-9.790346e-05,0.0034372387,-0.001387125,0.002484351,0.009156199
RNF223,-0.0013159679,-0.0059368005,0.0018340071,-0.0026968347,0.00022269553,-0.0010589117,-0.00011790573,0.0012787621,-0.0019043845,-0.0069174175,-0.0011635519,0.001836328,0.004966759,0.0012807451,4.960487e-05,0.0022521904,-0.0038664767,-0.0014563294,-0.004054555,0.004453852,0.0036386554,-0.005135631,0.000789928,0.008099663,4.3756798e-05,-0.0025786725,-0.0040964456,0.0017555034,0.0055138264,-0.0005926262,-0.0013803089,0.0014449751,0.00034373492,0.00092839287,-0.00041282733,-0.0016186471,-0.0048879376,0.00019609729,0.0063920137,0.0039775064,0.0031121105,-0.0053156475,-0.001625883,-0.0021275529,-0.00012085325,0.0030715116,-0.00034859005,0.0029497873,0.007434706,-0.0035156372,9.592742e-05,-0.002335789,0.0002840673,0.000936233,-0.0017253525,0.001263383,0.0020906415,-0.0010681775,-0.0020283842,-0.00047166922,0.0054258225,-0.0005744678,0.0014022683,0.0052383416,-0.0023938513,0.00016025965,0.0036135756,-0.003814287,0.002137222,0.0055224397,0.0024178906,-0.002782121,-0.0037592729,0.007064761,0.0022215347,-0.0015769067,0.0030689046,-0.0006231315,0.00037108627,-0.0032370253,5.17458e-05,-0.00012542841,-0.004169161,-0.0052166115,-0.0008052078,-0.0015715947,-0.00037179128,-0.000530269,-0.00034089928,0.004283836,0.0033281392,1.9531424e-05,9.518128e-05,0.002957225,-0.0014108565,-0.002382777,-0.00061213865,0.0024014302,0.0058263615,0.0025179903,-8.859717e-06,-0.003774638,-0.005240944,-0.004815339,0.005048001,0.0012987326,0.006735301,-0.0034820135,-0.0021744724,-0.0013538356,-0.003162653,-0.004724507,0.0016803081,-0.0017628035,0.0036492613,-0.00086040626,-0.0038970585,-0.000926471,-0.004509641,0.0046759825
TNFRSF4,-0.0021975415,0.003244705,0.001288192,0.002045718,-0.002557814,-4.2167696e-05,0.0030609956,1.8695326e-06,0.001100813,-0.0031957212,-0.0023464698,0.002024719,0.0051660086,0.0030229068,0.0021277447,0.0007344214,-0.009447075,0.0021270122,-0.0009650201,0.0032989518,0.01068043,0.00076337566,0.010323639,-0.002232286,0.01374473,-0.0012966946,0.012402119,0.0089447,0.015237607,-0.0015955276,-0.0032834643,-0.004684599,-0.0038663496,0.0005206493,0.0052600238,-0.0027871013,0.013228839,0.00054203114,-0.009677143,-0.0024268762,-0.0045621754,0.00216696,-0.0008733145,0.0038828726,0.0015347938,-0.009075851,-0.00057088013,-0.0044203843,-0.013714114,0.0005787213,0.0057347305,0.008827065,0.00014886835,-0.0065448903,-0.008716715,0.0036537778,-0.012039719,0.0014854296,-0.0024356693,-0.004759895,-0.0043602157,0.006877101,-0.00031792343,-0.0011850608,0.0045592445,-0.003901886,0.0012356599,0.001126741,0.0007039722,-0.0015183795,0.0004491502,-0.0018663153,0.0012018083,-0.004420607,0.0026325285,0.012083254,0.0035810668,0.023275044,0.013697867,0.017943863,-0.0064019463,0.0009939434,0.0046472535,0.023956075,-0.007370351,0.007838856,-0.00961473,0.0051500057,-0.0013999352,0.0019639144,-0.0013329432,0.00035195734,-0.0017775382,0.008710441,0.022237962,-0.0042113964,0.004131528,0.0022600263,0.01975209,0.0022647886,0.0025274996,-0.010293074,-0.00838259,-0.004542139,0.008634176,0.011696884,-0.00090612826,0.0051474236,0.004631208,0.01860233,-0.005019875,0.0062641613,0.0006028057,-0.011115278,0.009523779,0.007322897,0.0017233813,-0.00030424033,0.011942883,0.007659887
MMP23B,-0.002574296,-0.0039489055,0.0012303852,-0.0011940869,0.005205531,0.0030192146,-0.0015506541,-0.0007749081,0.0032611534,0.00025840453,-0.0038987852,0.00032357295,0.0039881123,-0.0078857895,0.006519721,-0.0010684892,-0.0012521653,-0.00085132243,-0.0021538637,0.011238577,0.00241163,0.0034627975,-0.009438473,-0.001754998,-0.0057993326,0.0055491854,0.00046430284,0.0055476464,-0.013581374,-0.0032731346,-0.0031455338,0.002366784,0.0044378443,-0.0055743586,-0.0027482368,0.0071357484,-0.0042645433,-0.0022742895,0.0024558497,-0.0011898524,-0.0017805089,-0.004130545,0.0001737716,0.0062032347,0.0029532448,-0.0048557054,-0.001569396,0.00552334,0.0053241937,-0.0063909716,6.986038e-06,-0.0042532454,-0.004556688,-0.0026396993,0.002008215,0.0012766584,-0.0033395472,-0.0019283587,0.0074941213,0.004436123,0.0052034305,-0.0014985631,0.0012370303,-0.006080171,0.0056690485,0.0048964717,0.0021986412,0.004723664,-0.004288808,-0.0040104506,-0.0011449254,-0.0011090874,-0.0033643343,-0.00062639604,-0.009953755,-0.0011773943,-6.606148e-05,0.0036395506,-0.0009653651,-0.0038136148,0.0059570875,-0.0008094117,0.003032906,-0.0057426007,0.001558485,-0.00128258,-0.00029319283,0.0031029917,0.0008204276,-0.00896138,0.0049025896,0.004133708,0.0033704322,0.005781828,0.0020733636,-0.00080445374,-0.001251435,-0.006358832,0.0110523915,-0.00382067,0.0028221586,0.00054118666,0.0023169531,-0.0037564198,0.0019919204,0.0017749354,-0.0074992473,-0.001677252,-0.0051986584,0.009380948,0.0051216017,0.0004046224,0.002012796,0.00299671,-0.0016868339,0.0031289514,-0.0054823165,0.0017296952,-0.009025738,0.006849348
TNFRSF14,-0.0036145588,0.001086889,0.00046801078,-0.0029651276,-0.001046341,-0.0002568578,-0.00073372474,0.0043051695,0.0017182477,0.0060321186,-0.008729636,0.0022643425,-0.0019292452,-0.0033459277,0.004258237,-0.0020495215,0.003841322,0.00679287,0.0086731445,0.003769322,0.0025807752,-0.01095062,0.002540349,0.0015972956,-0.0032070226,0.008926475,0.02147991,-0.0060861716,0.0037777836,-0.0019249013,0.0137866605,0.010149898,0.004810224,-0.009230988,0.014943195,-0.0015614042,0.0081282,-0.005391963,0.013689207,0.006347409,-0.002415607,0.005628577,0.002133964,-0.006886946,0.0032954353,-0.001529442,0.0002308215,0.017157393,0.001189546,-0.009141161,0.0057647307,0.002074467,0.003940521,0.0021086372,0.012011096,-0.01569793,-0.013208419,0.014167935,0.0025064053,0.0044143866,0.0099315755,-0.007844199,0.004565354,-0.021213148,-0.014100955,0.005471928,0.00020753898,-0.0068566017,-0.0057112565,-0.003785726,-0.003401694,0.004103466,-0.008568766,0.003611494,0.00783837,0.009369774,-0.008608833,-0.0022268512,-0.0074698078,-0.011182523,0.0043438654,0.0036680999,0.018653141,0.001902904,0.0034547958,0.009779379,-0.005333705,0.010584311,0.001652419,0.0057065473,-0.018782811,-0.008734364,-0.0044333185,-0.00409247,0.00094063644,-0.0037933707,0.0049605905,-0.0041331532,0.0024074055,-0.011255769,-0.0012543686,-0.0068168323,-0.004579165,4.655242e-05,0.017652925,0.002777465,-0.0084381895,0.0006352944,-0.015169547,-4.66768e-06,-0.0011261615,0.0075455112,0.001733274,0.01653159,-0.008303879,-0.012029905,-0.02294911,0.0025795083,0.0042182743,0.012496679
TTC34,-0.002567268,-0.0007282719,-0.00060923997,0.0013075094,-0.00073186494,0.0015576631,0.0012933182,0.0014346822,0.0038535078,-0.00017866738,-0.0035776151,0.002591601,0.0022302782,-0.0045501515,-0.003790643,-0.0038153082,0.0027526284,0.0063515264,-0.0035872697,-0.004684426,0.006982107,0.0057629575,0.00073366094,-0.0005485119,-0.005450759,0.0027363012,-0.0026371009,0.0041451016,0.00013331584,-0.0006125314,0.0039198752,0.002605223,0.0059661753,0.0012319955,-0.004928152,0.0020883381,-0.00348378,-0.0014432196,0.0015559291,0.00154897,0.00038667177,0.003686795,0.0010859532,0.0055870954,0.0070332577,-0.00022447512,0.0063017514,-0.002858657,-0.0017759629,0.0007621997,-0.0044501917,-9.424348e-05,0.0008492569,0.0001025358,-0.0007170385,0.0052388124,0.0036481137,-0.0025565445,0.009509631,-0.0009275243,-0.0033043877,-0.0044422555,-0.006091261,-0.0030323958,0.00072391925,0.0010540799,0.00047474034,-0.0025376522,0.0033823766,-0.0049628587,0.0022350282,-0.004988144,0.0009712445,-0.0018989204,0.00011098001,-0.005550467,0.002888037,0.0013127843,0.00049840787,0.005783869,0.002334598,0.0029650563,0.0050477083,-0.0015946295,0.0018867268,0.007678689,0.002827902,-0.004378512,0.005070095,-0.0070629655,0.0011336262,-0.0028806333,0.00090142543,-1.0633534e-05,-0.0078889895,-0.004571622,-0.005162665,0.0042571123,6.3908425e-07,-0.00022831823,-0.00064237154,0.005563419,-0.0023478828,-8.2443294e-05,0.0023650278,-0.0026454448,0.002040428,-0.002518706,6.128554e-05,0.0003521575,-0.002057422,-0.0039643743,-0.0018646879,7.846371e-05,-0.004120732,-0.005659861,-0.001748419,0.007676624,-0.007814051,0.0013911518
SMIM1,-0.0070421924,0.00040819173,-0.002447734,-0.004911062,0.0008137402,-0.00069837,0.007931683,0.0020567747,0.009228599,0.002659598,-0.0057825483,-0.0004507151,0.005911584,-0.0074588894,0.010244429,0.0045420015,0.0041622617,-0.0014981108,-0.0014859391,0.014100449,0.0036499922,0.0026935395,-0.00763123,-0.00575007,-0.0031659484,0.00951977,0.004489308,0.004913061,-0.012984632,-0.0067390185,-0.0018667686,-0.0017756952,0.0040368643,-0.0045875055,-0.0019104428,-0.0055078845,-0.0023097969,-0.0005580964,0.0028150838,-0.0013529414,-0.001300701,-0.009927578,-0.0043905457,0.003932397,0.000434934,0.0016505682,-0.0022123596,0.0027041826,-0.0016270189,-0.0032293356,0.00026774016,-2.0091542e-05,0.0011848486,0.0065034893,0.00027625012,0.0037140227,0.0035116174,0.0012194545,0.009470205,0.0033362347,0.0014564258,-0.004148884,0.0022488583,-0.0046682246,0.0041887383,0.0063660825,0.0031888138,0.0031660132,-0.013225688,-0.009955978,-0.008599227,0.0043431264,0.004083367,0.005057507,-0.011945694,-0.0070996247,-0.0055976305,-5.6069607e-06,-0.004631356,0.0030024005,0.0059781736,-0.0038203225,0.0016429096,-0.00031626696,-0.0020168137,-0.0027045787,-0.004153396,-0.0014130669,0.0004985161,-0.007617242,0.007077619,-0.00457308,0.006743008,0.010985493,0.01452036,0.0022186607,-0.0040357257,-0.002714937,0.016392687,-0.0018564784,0.0009191061,-0.0038224952,-0.0026080054,-0.0043072384,0.0059070163,-0.00040868213,-0.005740939,0.004308495,-0.006169399,0.014970995,-0.0050825616,0.0020718884,0.0033816593,-0.0012623279,-0.0038339798,0.0035574357,-0.011866138,-0.0010614777,-0.002107573,0.0031534238
LINC00337,-0.0009000508,-0.0011462548,-0.0013767286,-0.0018231984,0.0009343222,-0.002735505,0.0014420259,-0.00075771107,4.8589216e-05,-4.382441e-05,-0.002907594,-0.000302338,-0.00013356551,-0.0022560183,0.00035222806,-6.666588e-05,-0.00021648488,0.003540239,0.0012871319,0.0026821934,-0.00029354144,0.0033978112,0.0023943016,0.0010449885,0.0030309458,0.00072919246,-0.00040173836,-0.002007223,-0.0040420727,0.0011023071,0.0008137396,-0.001374012,-0.002063852,0.0023978618,0.00092867797,0.0029301506,-0.0027092248,0.0008649835,0.0034892915,0.00018723127,0.004555959,0.0036219412,-0.0007592534,0.0032162012,-0.0005349295,0.00096655125,0.0010877228,0.0003198144,-0.0020706952,-5.6484685e-05,-0.0044955784,0.00010574421,-0.00095516955,-0.0016306497,0.0009009069,-0.0027379105,0.0014444585,0.003050069,-9.454583e-05,-0.0013110277,0.0009867401,0.0033956424,-0.003849259,-0.0018128135,-0.0024579358,0.0017317828,0.0035845633,-0.0022522944,0.0019644154,0.004296645,-0.0031291568,0.0012855871,0.00026625147,-0.00036413068,-0.0005594324,-0.0022221247,-0.00024327755,0.00034257563,2.479126e-05,-0.0024950802,0.0018764002,-0.002165517,0.0005616173,-0.0015097169,-0.00079690584,-0.0023435464,-0.0009668175,-0.00057511264,-0.001988859,-0.0008221636,0.00079970324,0.0017197654,-0.0027969352,-0.00095875026,0.0015628437,0.0042314124,-0.00015158945,0.0040650945,-0.0051388806,0.00346285,0.0016601366,-0.003741742,0.0042669387,-0.00041229447,-0.00054727093,0.001533077,-0.0021665238,-0.0029698317,-0.0005007892,0.0022257292,0.0012814668,0.0030957032,-0.0018370406,-0.0022366922,-0.001964104,0.00064123527,0.0003931155,-0.0005776818,0.00046865322,0.00062636577
