,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95,phi_96,phi_97,phi_98,phi_99,phi_100,phi_101,phi_102,phi_103,phi_104,phi_105,phi_106,phi_107,phi_108,phi_109,phi_110,phi_111,phi_112,phi_113,phi_114,phi_115,phi_116,phi_117,phi_118,phi_119,phi_120,phi_121,phi_122,phi_123,phi_124,phi_125,phi_126,phi_127,phi_128,phi_129,phi_130,phi_131,phi_132,phi_133,phi_134,phi_135
ABCA1,-0.0013629056,0.0011163709,-0.0031954253,-0.0011444815,-0.00026326263,-0.0006877772,-0.003633003,-0.00088861893,-0.0024841132,0.0020089757,0.00019353288,-0.00066929555,-0.00044615535,-0.00062205247,0.001622462,-0.0007500549,-0.0022387346,-0.0009165117,0.00061475247,0.0016558641,0.0010445748,0.002999157,0.0002134636,-0.0016286944,-0.0043911613,-0.0026986345,-0.0007014887,-0.005991403,-0.00073123386,0.00031763568,0.0007019498,0.012968703,0.0020235025,-0.001319578,-0.00028018976,0.0014862749,0.0028030833,0.0005586599,0.0011813306,0.0019823124,0.0020081082,0.002952458,0.0031787758,-0.0023462712,-0.00043604898,-0.004008262,0.00037376242,-0.006532412,0.00016726651,-0.0033592193,-4.337906e-05,-0.0018354058,-0.0009158817,0.000119134114,-0.0027045289,-0.0010517364,0.00012911769,0.0016718189,-0.003188536,0.0017870661,0.005468001,0.0028232809,0.0005200058,-0.0064983233,-0.0009904593,1.3993466e-05,0.0010245678,-0.0043827863,0.0011192356,0.0030912405,-0.0017744205,-0.00022878082,-0.0021011273,-0.0011660742,0.0023506389,-0.00064664136,0.0019297976,-0.00022140957,0.000808219,-0.000205177,-0.0007871051,-0.004562667,-0.0018532905,-0.0020365706,0.0034968895,-0.0027297563,0.0007104592,0.001194361,-0.00088412623,0.00045927952,0.002492878,-0.0036464746,0.005316581,0.0027007703,-0.0006766028,-0.0030216228,-0.004014945,0.0025327003,-0.000542322,-0.0044947905,0.00016189573,0.007192276,-0.0034296704,-0.005193893,-0.00074652483,0.004042747,0.00063088414,-0.003391437,-0.0083000865,0.000977208,0.002712346,-0.001807059,-0.0023071684,-0.0013915976,0.0005948551,-0.0021102391,-0.0029934796,0.005334271,0.0003038748,-0.0015314058,0.0036722363,-0.005910356,0.00044115336,-0.0009095509,-0.001971268,0.00027863937,-0.003815628,0.002660714,0.0015907376,0.00055930024,-0.0020631892,0.0026869148,-0.0029351774,-0.0030083435,-0.004063291,-0.00356628
ABCB11,0.00023810226,-0.00157064,-0.0023894361,-0.0004112962,-0.0003793527,-0.00035411853,-0.0009754202,0.00017552292,-0.0013374232,0.00015799716,-0.00019486478,-0.0007382771,-0.0008053843,-0.001459428,0.0006604235,0.00058829435,0.0021791738,0.0010197869,0.0030980096,-0.00077335816,0.0001583466,-0.00332459,0.0013610681,0.0008012253,0.0035578194,0.000111998736,0.0003606178,0.0008569024,0.00302115,0.0042624245,-1.9273608e-05,0.00043538248,0.00057772774,0.0005302199,0.00018938485,-0.0008919457,-0.00096156535,0.0014807275,-0.0019628908,-0.0008626681,0.003699692,0.0007000106,0.0015494911,-0.0016253896,0.0019613318,0.0011663211,0.0024086384,-0.0015101328,0.00020536662,-0.0012274532,0.0006533775,-0.0007362988,-0.0028765807,0.00053224264,0.0009961353,0.001342563,0.00078174216,0.0007452187,-0.0023913032,-0.00055690494,0.000467864,-0.0007739103,-0.0014789012,0.0013626505,0.0006395566,0.0017326697,-0.001258123,-0.0003203391,0.0014515136,-0.0023034606,-0.0010392781,0.0027766854,-0.001959172,-0.001357797,-0.0008479995,8.521372e-05,0.0009259101,0.00075116334,0.0003092743,-0.0008448634,0.0036139032,0.0008699371,0.0025433102,0.0025218506,0.0007107735,-0.00036446366,0.0011762704,0.0029991132,0.00075172464,0.0010367056,0.00024295147,-0.00034496505,-0.0010326857,0.0019368808,0.0011936361,-0.00027455777,-0.0007572579,-0.0019783818,0.00017587036,0.00050391135,-0.0017881102,-0.0021228709,-0.0009365129,-5.0956543e-05,0.00212309,0.0012945343,-0.0005185038,0.001404892,-0.00018880938,0.004052326,-0.00023966082,-0.0024015184,-0.0010586692,-0.002442339,-0.0031811313,-0.0009576694,0.00030276494,0.0005226487,-0.0010593258,0.0003019525,-0.0030403943,-0.002127764,-0.00042551305,-0.0023249937,0.0004123853,0.0009892248,-0.0004761133,0.00076394674,0.0017051614,-0.00048045494,-0.0018952864,0.00050652644,-0.00071896176,0.0003948387,-0.0015072522,6.9896276e-05
ABHD12B,0.005527666,0.0021771304,-0.015131554,0.0016505182,-0.0004046187,0.0015136647,-0.00096176064,0.0022798462,0.0017788603,-0.003374857,0.0013657974,-0.00089947064,0.000253002,-0.00044203945,-0.000596224,-0.0009969276,-0.005686324,-0.009751121,0.0031634034,0.0047530853,-0.0019381527,8.290782e-05,-0.0012582246,0.0039084377,-0.009239292,0.0031389303,0.0014478741,0.0023785774,-0.00046195555,0.0043014605,-0.0040540798,0.0041468735,-0.0049225567,-0.0035905277,-0.00087150047,0.007270297,-1.7776121e-05,-0.005323532,0.0054538837,-0.00214817,0.0055667656,0.0033426022,0.0025876323,0.0025757903,0.0035568667,0.0014535764,0.0035109387,-0.0036047061,-0.0023760796,-0.0012953901,0.0020508687,-0.0044145654,-0.00027232777,0.00051357097,-0.0013089324,0.0005296686,-0.00048192378,-0.003067334,0.001372821,-0.007240005,-0.0027577884,-0.0070085204,0.0036511458,-0.0034546573,-0.0037096548,-0.0013964142,-0.0010621871,0.0041596107,0.00072359154,-0.0077029336,-0.00082779635,-0.008380216,0.010439764,0.0038692427,-0.0017869996,-0.00028996528,-0.011258317,-0.0016223806,0.0015670824,0.0027432507,-0.00033225442,-0.009183604,-0.00019564011,-0.00065058173,0.0050845444,0.00050726905,0.006974648,-0.0036227906,-0.00023010139,-0.0019985228,0.004466719,0.0034301584,-0.00055010716,0.00709284,-0.0029010675,0.0027832277,-0.0035674684,0.00037576375,-0.00014049874,0.001062707,0.0032806986,-0.0050007016,0.00059247884,0.009854731,0.0032898984,-0.002100278,0.00031301248,-0.0020838268,0.0010267617,-0.0062602647,0.004585335,0.0057828003,0.0008755533,0.0029777884,0.0015792167,0.0021230027,0.0018513476,-0.0014456782,-0.0020266292,-0.002929869,-0.0001529707,-0.0025097425,-4.3580767e-05,-0.00027874263,-0.0013071646,0.0042639985,-0.0017398624,-0.0074062585,0.0046053347,0.00086493575,0.00039346155,0.0008064771,-0.0072749536,-0.0029184623,-0.00072263664,0.00057554804
ABHD3,0.0019234201,-0.00017410304,-0.0094222305,-0.0025248,0.0013301078,0.00031881206,0.0008181511,0.00017112393,0.00011488753,0.00013783165,0.00038867557,0.0008327247,-0.0009695814,0.0011642206,0.0006055943,-0.0014809504,-0.0024724612,0.004824654,0.0023271365,5.5943645e-05,0.0002522086,0.004810756,0.00038681747,7.2889474e-05,0.0015759548,0.002261671,0.00037074677,-0.0014997893,0.0018103152,-0.005788804,0.0011514846,0.0142975,0.007208492,-0.0013021164,-0.002432721,0.00045872314,-0.0001208798,0.0015209967,0.0006162797,0.00217919,-0.0034588266,0.00023452373,0.00226402,-0.0020607864,-6.27832e-05,-0.0045099785,0.004466813,0.0025843843,0.0036603727,-0.0017777992,-0.00022276214,0.003747954,-0.0013310937,-0.00025928332,-0.0006694622,-0.004397913,0.0020290392,0.0032420615,-0.0041911015,0.0015568308,-0.0017365941,-0.0005274266,0.0024850208,-0.0013637168,-0.002114824,0.0032172746,-0.0018643766,0.0025677083,-0.00079711556,-0.0007287764,-0.0025847186,0.0019952178,0.00031905048,0.0034804128,0.004471829,-0.00091445574,-0.0038117724,0.0029550833,-0.0027057303,-0.0035403112,0.0032575906,-0.0056559923,0.003092144,0.0029076254,0.00122501,-0.004841821,-0.0034302878,-0.0003255095,-0.00093910284,0.0072949035,0.004524822,-0.0043222746,0.00029475687,-0.0054186517,-0.0022599993,0.0028739583,-0.0023609067,0.00072505005,0.0013293348,0.0022871958,-0.0014403239,0.0012868523,0.0036096168,-0.0019226142,-0.0012766221,-0.00052197155,0.0029031434,0.00136879,-0.007937532,0.0029063753,0.0018147962,0.0016867309,-0.0025269117,-0.0026910354,-0.0015998322,-0.0025457526,-0.0016818058,0.0015216133,0.0029420315,-3.0977924e-05,0.0037089952,-0.0033547692,0.00041614685,0.00077155646,0.0013846677,-0.00023371543,-0.0014783761,-0.0018540614,0.0011010942,0.0030309,-0.004820752,-0.00082843215,-0.0024730412,-0.0007240328,0.0017709463,-0.003428395
ABTB2,0.0017598055,-0.00018560163,-0.0054513584,0.0003604019,6.292895e-05,0.000852322,0.00067293586,0.00092702365,0.0007064355,-0.0012102281,-0.00030677277,-0.0011952334,-0.00097328046,0.0020337193,0.0008801123,-0.00064609904,-0.0017972981,0.0036986128,-0.0034358806,0.0018006066,-0.001449957,0.0025354358,-0.003690442,0.005115663,-0.0004046394,-0.0034071112,0.0038769834,0.00013273102,0.002385815,-0.00032646503,0.0010022741,0.012554096,-0.0004890345,-0.0020764156,-0.003918795,-0.000941642,-0.004086439,0.00040023815,0.0014044549,0.001311187,0.0011765311,0.00012180607,-0.001192023,0.0013470078,-0.00065619225,-0.0015194848,0.00079610886,0.0014518108,0.0027871188,0.00080574997,-0.00029497547,0.0031162181,-0.0019614035,-0.0003421551,0.00026298148,0.005761642,-0.0032978512,-0.0003433958,-0.00346435,-0.005098007,-0.0004327608,-0.0020255237,0.003385386,-0.007371359,-0.0032126384,0.003147423,-0.000506061,-0.0024774508,0.0062249443,0.0010541203,0.0012125965,0.002103251,0.0027857346,0.0014440021,-0.00041806765,0.00032153458,0.0035321324,0.005649769,0.0077323793,0.001977837,0.001236522,-0.004019269,-0.000706058,-0.0054074717,0.0013097604,-0.0040153405,-0.0030202237,0.00033565724,0.00538415,-0.00076146756,0.009761641,-0.0017719452,0.0014812038,0.0007222984,0.0027055792,-0.001998936,-0.0006911305,0.003642828,0.0011943345,0.0018554303,-0.0002152648,-0.0012513273,-0.0023934003,-0.0054268753,-0.00035454196,-0.0029382568,-0.002022349,0.0031453678,-0.004157095,0.0004252751,-0.0020159872,0.007462406,0.0018384267,0.0001314335,-0.0010347847,-0.0007155998,-0.0039985166,-0.0028935468,0.005067173,-0.00058346445,0.0014756242,-0.0027518834,0.0010468956,-0.0012636589,0.003385347,-0.00262549,-0.0020510454,0.00055653136,0.0029301185,0.0002839514,-0.0044889785,0.0016964565,0.0032608598,-0.0006781759,-0.0007342546,-0.0019492361
ACOXL,-0.005899195,0.00038854333,0.0030160504,-0.0020959976,0.0014586905,-0.0014817307,-0.005104847,0.0008838527,-0.0038677847,0.0067123147,-0.0025215226,-0.00093211187,-0.0020452589,-0.0007612328,0.0006594084,0.0006073185,-0.00041359643,8.43948e-05,0.001775724,0.0041103703,-0.0024881107,0.0017270084,0.00065575266,0.0019897697,-0.0025623539,-0.00076050137,0.006281928,0.0030493294,-0.0015474412,-0.0007258483,-0.0007999361,0.015845343,0.005107736,0.00021752772,-0.0006239957,0.0019906326,-0.0052292054,0.00073665916,-8.906134e-05,0.0017561613,-0.0020589316,0.0034699305,-0.0002677948,-0.0043613897,0.0005843002,-0.0061363736,0.00063294964,0.0012257833,-0.0020258254,-0.0029274328,-0.0015151352,0.004498869,-0.0021583878,0.0024187525,-0.000279693,0.001187692,-0.001106353,0.0022022629,-0.0034693584,-0.00044973043,0.0037985817,0.0011812795,0.0035174664,-0.0058727,5.9271653e-05,0.003744421,-0.0021996645,-0.0041353176,0.0012596735,-0.0030140786,-0.0035010714,-0.0037119791,-0.00037578007,-0.0023434816,-0.00041385312,0.0027288282,-0.00063605537,0.000150246,0.0036774476,0.00102638,-0.003073671,-0.007483929,-0.0001289967,-0.0016679427,0.008701731,-0.008716566,-0.004601037,0.0005165448,0.0011680266,0.0016459819,0.0002311576,-0.004470125,0.0007845733,-0.0019765852,0.005940386,-0.0018782183,0.0019101305,-0.0008727928,0.0032423371,0.00043156717,-0.0050197565,0.0031632355,-0.002484289,0.0012868516,-0.0024899181,0.0010928182,-0.0013270632,0.005618375,-0.0100176055,-0.0007391833,0.0014834647,0.0039321547,0.00089224766,-0.00450955,-0.002032392,-0.004718035,-0.0010199479,-0.0035588902,0.001922056,0.0012125145,0.0028655913,-0.0015246354,-0.0001808982,0.0037120765,0.00048076684,0.0023576901,-0.003759809,-0.0014313371,0.0024423546,0.00040077773,-0.00782601,-0.00012499765,-0.0025069744,-0.003192762,0.00033251755,-0.0017756396
ACTA1,-0.0016692171,0.0012359348,0.0029966685,-0.001469416,0.0020147283,0.00053212297,0.0007199913,0.0013651937,-0.0027163588,0.0044035222,-0.0015862606,-0.0015197976,-8.638468e-05,0.0008176937,-0.0028312257,-0.00027019434,-0.0018114486,-0.0028457476,-0.00898559,0.003438125,-0.0008701332,-0.0013854258,0.0022354026,-0.0036598255,-0.0015387869,-0.0040212907,0.0013194022,0.00016317813,-0.00080109225,-0.0013111333,-0.0016319134,-0.003762494,0.0028186732,-0.00093416503,-5.2643332e-05,0.00049823767,-0.0014960214,0.0010300145,-0.003257381,0.00092928496,0.001512806,0.0013335713,-0.00093848316,0.000814565,0.0028198496,0.0003787027,-0.0064662183,0.0027408018,0.0025355618,0.0012097332,-0.0030944909,-0.0024151637,0.008784107,-0.0025449523,0.0027044648,-0.0019213195,-0.0012381974,0.0052460358,0.0011388103,0.0025445404,0.0028932488,0.0020506203,0.00047881628,0.0025501458,-0.0079143215,0.00095857814,-0.0023103666,-0.00066480646,-0.001942274,-0.003047848,-0.0026285402,-0.002483538,0.006293188,-0.0016236737,-0.0026058308,-0.006378818,0.0021584127,-0.0038030965,0.00013979305,0.003529263,0.00033359634,0.0012637335,0.0021475435,0.0015487411,0.0016680171,-0.0027998283,-0.00034597196,0.0009104962,-0.0032491933,-0.004784514,-0.0024041038,0.0015609706,-0.0029949578,0.00088133395,-0.0042648492,0.002570877,-7.423338e-05,0.006376626,-0.0008349654,-0.0036158815,-0.0031002983,0.00029331245,0.0035990067,-0.0021120463,0.0008596898,-0.004341546,-0.0038388306,-0.0030765783,-0.0009951929,-0.0013687991,0.001005486,0.0020952162,-0.001364417,-0.0040501202,-0.001640812,0.004381314,-0.002994714,0.003330474,-0.001578874,0.0054686465,0.0017265776,-0.0012100922,-0.0013511442,0.0012773173,-0.0024661438,-0.0011735413,0.0007771539,-0.002670888,-3.0136775e-05,0.0011719284,0.0012133095,0.00037566203,0.0036737274,0.00077616906,0.001375547,0.002062805
ACTA2,0.0009061779,0.0009686284,0.00021405928,-0.0020587612,0.001109473,-0.00057948596,0.00088280987,0.0023022,-0.0014737756,0.0025584213,-3.934137e-05,-0.0011022084,0.0017797293,0.00215004,-0.0035076581,0.0005766941,0.0014792742,-0.0027253588,0.0041994085,0.0018641158,-0.0019767964,-0.0021063092,-0.0041881134,0.003991413,0.0070530702,-0.00084238884,0.004750645,0.00080822076,0.0043797162,-0.006630751,-0.007695831,-0.0023453843,0.0035758242,-0.0026177515,-0.00088357495,-0.0011356408,-0.0024443995,0.0004942993,-0.0066510425,0.0025567613,0.0012435346,-0.0015268215,-0.00649873,0.0038148065,0.0026358867,-0.002751812,0.004644021,0.002036457,0.003230666,0.0071452023,-0.004040639,-0.003828251,0.00012616966,-0.0008340193,-0.0016005674,-0.00982962,0.010557997,-0.003829988,-0.003146633,0.0011156562,0.0030192332,-0.00027576473,0.001413505,0.001525058,-0.0005790629,0.0004253004,0.0011403583,0.0030386266,-0.00028454344,-0.0037863813,-0.0020049287,-0.0011533218,0.0006376153,5.3934393e-05,0.002359223,-0.0036985897,0.00048267574,-0.0012745758,0.0022252696,0.0033778213,-0.0040564328,0.0011189666,0.002721385,0.0024925743,0.0030447033,-0.0007135157,-0.0004101685,2.8518967e-05,0.0012413989,-0.0037356867,-0.00284691,-0.0023009183,-0.0025406831,-0.0041424353,0.0039521186,-0.0053781318,0.0025605434,-0.0071077435,0.005377923,0.0030634298,-0.00096695736,0.0016796114,-0.0044570407,0.0019867166,-0.0035647065,0.0005873172,-0.0014145449,-0.0015307697,0.0014340352,-0.0059523107,0.0032578644,0.0024317487,0.009027894,-0.003011327,-0.0032172578,0.0020998088,-0.00068632583,-0.0032524108,-0.003889154,0.0010091364,0.003933616,0.00038838683,-0.003939477,-0.0013640015,-0.00095185696,0.0013936025,0.0010573427,0.0021787768,-0.0033143086,-2.4228128e-05,0.00074194104,-0.0058274856,-0.00294214,-7.980867e-05,-0.00029586206,0.00082840613
ACTB,-0.0090574315,0.005137804,0.022963569,-0.0029103872,0.0007623455,0.002369199,-0.007678339,0.0036108713,-0.011683742,0.019084476,-0.004945752,-0.007312921,0.0007354635,0.0028667431,-0.0061738403,0.0014061851,-0.0055017425,-0.010943556,0.0003928663,0.0035237274,0.003908383,0.00653233,-0.00049741735,0.004368419,-0.004222018,-0.0062379558,0.004215638,-0.0022276116,-0.0025032451,-0.0013706399,-0.0013681672,-0.051799044,0.0052930084,-0.005415939,-0.006668773,0.014293303,-0.012910271,0.009596406,-0.03099537,0.0051726196,0.011382047,0.00060122495,-0.0072545237,0.0016543316,0.007684153,0.0023833963,-0.005619517,0.0011747088,0.0024205914,0.0033629623,-0.0026153694,0.008731316,0.010327026,0.0034414185,0.001211199,-0.005168156,0.005682995,0.0018249779,-0.0055566076,-0.00058555143,-0.0035290353,-0.0009787622,0.008752289,-0.014458967,-0.001648639,0.0031920618,-0.000778409,-0.0008638656,0.002809043,-0.0015647276,-0.0025112417,-0.0056055165,0.00046225102,0.005103123,-0.0030339127,0.0034834442,-0.00012621887,0.0073088035,-0.00036221766,-0.00035022426,0.0006964629,-0.0031881898,0.004407369,-0.010029585,0.017020328,-0.004869469,-0.005644241,-0.0041874014,-0.0032140207,-0.00026237094,-0.0026448104,0.0021544776,0.00596478,-0.014443131,0.00771884,-0.0017627473,0.005819099,-0.005569275,0.007057376,-0.008807871,-0.0061717317,0.009240714,-0.01195124,-0.00899357,-0.0065730065,0.0017913505,-0.0039429623,-0.00548845,-0.015524202,0.00293378,0.005074155,0.004649382,0.00014005823,-0.0014447441,0.0035959538,0.0009708273,-0.0047662333,0.0062319,0.002703065,-0.000490177,0.0048250435,-0.0050289365,0.00029382878,0.00033131728,-0.004672024,0.0005606311,0.0023761305,-0.005047737,0.0001907587,-0.00038171172,0.01612307,0.0023440882,-0.00061268266,0.004128307,0.00034489576,0.012274918
ACTC1,0.0007691266,0.00077327585,0.0016766136,-0.0003583184,0.00043302393,0.0011423898,-0.0019361333,0.0011460176,-0.0026346769,0.0025801694,-0.00087952364,-0.0012282965,0.0027139273,0.0026479757,-0.0038342846,0.0008493218,-0.001276642,-0.0016660128,0.00025519237,-0.0016165704,-0.0031796086,0.00041957418,-0.00035412243,-0.0016852878,3.5040513e-05,-0.002293406,0.0008993647,0.00013295094,0.0010608181,0.0011130482,0.0018463519,-0.0030440565,-4.14629e-05,-0.0019066893,-0.00096506404,0.0016768659,-0.0030322326,0.0014905003,-0.003679534,0.0022740597,0.0024190575,-0.00174316,-0.0036756832,0.0023872333,0.0017230225,0.001986964,-0.000765549,0.0006658427,-0.000679774,-0.0024361466,-0.0024159658,0.0019729293,0.0024715068,0.001112605,0.0009512143,-0.0014106099,-0.0016887528,0.002116365,-0.0015089702,0.001049063,5.982647e-05,0.0019297639,-0.002141062,-0.0024572238,-0.004014052,0.00064600416,-0.00042179012,0.0011944127,0.00157484,0.00093003514,-0.0005342025,0.0005597188,0.0025878237,-0.0004543012,-7.288709e-05,-0.00087939564,0.00089031743,-0.00091026205,0.0013987453,-0.00043995513,0.00074402656,-0.0014638628,0.0021417227,-0.0019976897,0.0031884185,-0.004861067,-0.0015816276,-0.000108990986,-0.00025092522,0.0009827899,0.0003246811,-0.0006319837,-0.00025853,-0.002741345,-0.00022973723,-0.0024614353,0.0007889158,0.0031111552,0.002440132,0.00079654134,-0.000547015,-0.0014028761,-0.00019259348,-0.0020298404,0.00037526782,-0.0011193133,0.0007043667,-0.0023776765,-0.0059868926,-0.00036318568,0.0018316617,-8.77511e-05,0.0017614815,0.001870965,0.00024144007,0.0020159679,-0.0010935828,0.00074085314,-0.0025159759,0.0008572311,-0.00060878374,-0.0016587842,-0.0026985088,-0.0011584631,0.0024446615,-0.0029219561,0.0008649025,0.0015855172,-0.0026698327,0.0021291974,0.0013512751,-0.0074864468,0.0011280602,0.0030419477,-0.0015185444,0.00064101594
