gamma,eigengene_mode,ae_standardize,train_loss_final,val_loss_final,mcc_real_mean,mcc_perm_mean,t_stat,p_value
0p9,global,none,0.0882,0.0886,0.3379,0.2661,7.5587,0.0
0p9,global,zscore,0.9478,0.9916,0.437,0.3867,7.2432,0.0
0p9,global,zscore_ref,1.7632,1.8753,0.4339,0.3612,9.1426,0.0
0p9,all_cells,none,0.0882,0.0886,0.4363,0.3733,7.6825,0.0
0p9,all_cells,zscore,0.9478,0.9916,0.574,0.455,16.7743,0.0
0p9,all_cells,zscore_ref,1.7632,1.8753,0.4229,0.3854,5.8149,0.0
1p0,global,none,0.0882,0.0886,0.3319,0.2679,7.6863,0.0
1p0,global,zscore,0.9478,0.9916,0.4483,0.3932,7.6736,0.0
1p0,global,zscore_ref,1.7632,1.8753,0.4567,0.3725,11.0223,0.0
1p0,all_cells,none,0.0882,0.0886,0.3908,0.3872,0.4754,0.318289
1p0,all_cells,zscore,0.9478,0.9916,0.5001,0.4617,5.5449,1e-06
1p0,all_cells,zscore_ref,1.7632,1.8753,0.4142,0.3938,3.0756,0.001712
1p4,global,none,0.0874,0.0879,0.4258,0.3456,12.0982,0.0
1p4,global,zscore,0.938,0.9845,0.4473,0.4418,1.1473,0.128739
1p4,global,zscore_ref,1.737,1.8666,0.452,0.4103,8.0763,0.0
1p4,all_cells,none,0.0874,0.0879,0.4367,0.4304,1.5179,0.067656
1p4,all_cells,zscore,0.938,0.9845,0.5021,0.4875,3.1459,0.001794
1p4,all_cells,zscore_ref,1.737,1.8666,0.4251,0.4384,-2.5842,0.992688
2p5,global,none,0.0874,0.0879,0.4304,0.3061,22.4887,0.0
2p5,global,zscore,0.9336,0.981,0.4638,0.4414,6.2015,0.0
2p5,global,zscore_ref,1.7216,1.8688,0.4656,0.4302,7.8651,0.0
2p5,all_cells,none,0.0874,0.0879,0.4302,0.377,9.1547,0.0
2p5,all_cells,zscore,0.9336,0.981,0.4956,0.469,6.1999,0.0
2p5,all_cells,zscore_ref,1.7216,1.8688,0.4667,0.4415,5.6155,0.0
