gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.0070826053,-0.0059184846,-0.006909335,-0.003478503,0.004867047,-0.004382223,0.008251045,0.006750124,-0.0017959441,0.0058017406,-0.020111892,0.007798941,-0.006716088,-0.0030399,-0.00010344411,-0.009679536,0.009043977,0.00072816754,-0.00066234404,0.010940816,0.013114378,0.002592216,0.014421159,-0.00879467,0.0017622029,-0.0031162566,0.0016477115,0.0010531128,-0.0069668014,0.0039937967,-0.0058527305,-0.00091470144,-0.0093922615,0.0054698586,-0.021101732,-0.003500961,-0.000711823,0.0030506223,-0.012702309,-0.006367101,-0.004566644,-0.019815465,-0.0027571504,0.0028393667,0.011480167
HES4,0.006631767,-0.012937715,0.039648835,0.023287062,0.018849256,-0.00036785507,-0.00013585947,-0.016696075,0.025764056,-0.0061576916,0.0073180925,-0.00013742229,0.012039947,0.014408922,0.0003068603,0.018542096,0.0015585938,-0.0012568559,0.009502689,-0.005814029,0.0019140128,0.0037617353,-0.0104235625,0.0057463073,0.008585045,-0.005621589,-0.0032050067,-0.0069439854,-0.002288743,-0.008572645,-0.01013053,0.008786199,-0.0043505635,-0.0010034132,-0.0072395783,-0.004209367,-0.010346283,0.007561205,-0.004001499,-0.0066369358,-0.0019083597,-0.0006614755,0.007726587,-0.007947633,0.0044190953
ISG15,-0.0019455205,-0.00473512,-0.0046927202,0.0018879164,-0.0022583166,-0.01335031,0.0027844582,-0.005443953,-0.007684453,0.0021463388,-0.008542442,0.0067619737,0.001113689,-0.00072041916,-0.002780407,-0.0026458234,0.0009666247,0.00030532345,0.0043270392,-0.002811566,0.010131551,8.0876416e-05,0.006851429,-0.0031325005,-0.0013781984,0.0014184649,-0.0011707036,0.0015271411,0.0015541058,-0.0034664888,-0.001903022,0.0023026147,-0.009190474,0.0025464275,-0.004255422,-0.005601542,-0.0085811755,0.009453778,-0.012122423,-0.0068820775,-0.006813974,-0.005997173,0.0054126154,0.0021073543,0.0024624192
RNF223,-0.0039095073,-0.0025314582,-0.0021869515,0.0058536674,-0.0043841866,0.0019450363,-0.0014865828,-0.00928598,0.00448546,-0.0037675228,-0.004605528,-0.00080766855,0.003537155,-0.0020121033,0.0055348813,0.009299389,-0.003940184,-0.007001485,0.00023184548,-0.000107142434,-0.0026716336,0.0013971048,-0.0003360852,0.0037481603,0.0003238596,-0.0031798356,0.00024740567,-0.004577194,-0.0052987696,0.004954688,0.003745177,-0.003633578,-0.0010295413,0.010938166,-0.0061872955,0.0011492945,0.0015120781,-0.004158573,0.002299431,-0.0019309823,-0.0026907497,-0.002077656,0.0077723283,-0.013779777,0.0014747733
TNFRSF4,-0.0060169697,-0.0058939657,-0.006596071,0.009832355,0.00081050996,0.0034989167,-0.00052764977,-0.0070086736,-0.00027823274,0.008220538,0.0011803012,0.004209843,0.0042531705,0.01022564,0.003999681,0.008109467,0.007591782,-0.006391969,-0.0012426917,-0.00024946383,-0.003174769,-0.0021738377,-0.0002359773,-0.0013936259,0.0028729027,-8.083136e-05,0.0050786533,0.0031375086,-0.0024011491,0.0035870988,-0.0061050556,0.0002560642,0.0005342199,0.004001401,-0.0006387735,0.0027049968,0.0071077077,-0.00321936,0.008166997,0.0014314823,-0.0011776019,0.0032108228,0.0019001866,0.0033160113,0.0016278656
MMP23B,-0.007395228,0.010267879,0.0033260714,0.0021623427,0.0058208713,0.0053193993,0.0022153023,-0.011379255,0.0059911036,0.001417302,0.0051572276,-0.0006195809,-0.0062439837,0.013009978,0.0012411613,-0.0056429696,0.0021295405,0.003832807,0.003285343,-0.006013955,0.005557102,0.0018050306,-0.007412561,-0.003692595,-0.0029303774,-0.0029928845,0.006229031,0.0013465929,-0.0058409725,-0.0011534323,0.0026159033,-0.005718635,-0.0018961214,0.007895281,-0.0053138733,-0.0006249942,0.0015005742,-0.01627914,-0.004026121,-0.00034011644,-0.0038106493,-0.003919234,0.004033945,-0.0035281023,-0.003606451
TNFRSF14,-0.0050841146,0.005180295,0.00034861782,0.008257954,-0.00072363793,-0.0077340514,-0.0022295064,-0.009925874,0.0012421986,0.009897833,-0.010524466,0.0004274383,-0.004205043,-0.018881597,-0.0018629162,-0.0063481126,-3.5343743e-05,0.00022568453,-0.0050084335,0.0009652984,0.004011362,0.0005272053,0.009046773,-0.00549959,-0.0026904726,-0.0016870137,0.0003485583,0.0033004847,0.00013400306,0.00015078788,0.0009095744,-0.004544015,0.0005031425,-0.0011122945,0.0013657717,0.0026226218,0.0033342382,0.0059431903,0.004253047,-0.0024209893,-0.008417006,-0.0022427489,-0.0009841264,0.006353927,-0.0055579664
TTC34,-0.00065792614,-0.006708784,-0.004148467,-0.00014346642,0.0054016155,-0.004593374,0.0013702124,0.005587999,0.0022399323,0.0049764304,0.0072666667,-0.00014509684,-0.0075554713,0.001568502,-0.004220004,-0.00231825,0.0075920452,0.0014004583,0.0028072905,-0.002212586,0.0019747221,-0.0020673813,-0.0009584754,0.0024540625,-0.0031065024,0.00064254465,-0.00026849954,-0.003950934,-0.0011073309,0.004796665,0.0021842248,0.005735683,-2.1564181e-05,0.0037598633,-0.0010252444,-0.0030785303,-0.0028216012,-2.9353407e-05,-0.0036397988,0.0014888882,0.0071296655,-0.0050129383,0.0009498637,-0.0075821914,0.00044287008
SMIM1,-0.004358073,0.011102033,0.014084746,0.005512903,0.0029552865,0.009197436,-0.0027384018,-0.009693108,0.012243756,0.0063215173,0.0044272267,-0.0026795692,-0.0032355315,0.012197486,-0.00017728,-0.00683447,0.0052204872,-0.0034479941,0.00513321,-0.008842275,0.0033410152,0.00089084456,-0.007180219,-0.005330672,0.00014990834,0.0013788842,0.00406948,0.0050891344,0.004399282,0.002730708,0.0011024692,-0.00017572097,0.003286017,0.011371431,-0.0042396937,-0.004771473,0.0060102534,-0.0077502956,0.0050029624,0.00077245914,0.0044078045,0.00042961244,0.0039613447,0.0027969568,-0.002837949
LINC00337,2.3256145e-05,0.0042217756,-0.00035663252,0.0025908942,-0.003631564,0.0010373871,-0.0016856974,-0.0017446738,-0.0023921342,-0.0055194236,-0.0055591124,0.0030500079,0.0028570655,-0.00043523117,0.006701168,0.00018034919,-0.00026274225,-0.006350648,0.0015615595,0.0010218449,0.003996708,-0.0022792532,0.0016243297,0.0046227532,-0.0010190661,-0.0015810267,-0.0038355787,-0.0023487182,-0.00046096477,-0.0030723976,0.0085084,0.0016203917,-0.0041034636,0.0026613388,0.003061183,-0.005523356,0.0005651267,0.0032954265,0.00010220329,-0.003370553,-0.0026327688,0.0038738612,-0.0015645508,0.0068837423,0.0032686053
