gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65
SAMD11,-0.0135542555,-0.0054645515,-0.00030812036,0.0063547413,0.0028329915,-0.0019038628,0.013888126,0.0032158908,-0.004753757,0.0039834916,-0.00045991212,-0.0068554645,0.018168371,0.0011166305,0.009643271,-0.0040016314,-0.0033743752,0.013595585,0.021107668,-0.014131808,0.0018472834,0.018651253,-0.039927624,0.0313011,0.025119867,-0.046336763,0.004708393,0.03667426,-0.03269413,-0.015498166,-0.0031278364,-0.03270266,-0.023576897,0.019653445,0.004679924,-0.0072483863,0.014851085,-0.009205682,-0.0014270893,0.003776021,-0.0013799071,-0.0018116756,0.017808208,-0.018328404,0.011370666,0.016927155,-0.018944167,0.019250361,0.011929924,-0.0043350635,0.0043618446,-0.0018750136,-0.010316507,-0.018803466,0.019427286,-0.025945857,-0.002389895,0.009539181,0.0046238643,0.0059398897,0.018066784,-0.02913259,0.011648402,0.009068231,-0.012709651,-0.0021787249
HES4,-0.008942911,-0.007553047,-0.0045405314,0.017923508,-0.006971307,-0.009501791,-0.0028653971,0.01029678,-0.010422757,0.0030339002,0.0043047867,-0.0033070098,-0.0051985504,0.006420188,-0.007368922,0.0013387968,0.0061090756,0.0039454126,0.00539933,-0.002947384,-0.0027152668,-0.0035501127,0.00075778057,-0.0009813065,0.0012741812,-0.010373654,0.0045221657,0.0052878205,0.0025859012,0.003617662,-0.0016498339,0.0012783506,0.008303265,-0.01035176,-0.004526538,0.0015446779,0.002666601,-0.0025864907,-0.00734222,-0.0019364022,0.010249692,-0.0010473221,-0.0031880785,0.0009936334,0.0060355593,-0.0028988698,0.0013366959,0.003274577,-0.00012862815,0.00067488017,-0.0064628264,0.0070941807,0.011631231,0.019143986,-0.009177986,-0.006520072,0.0007750849,-0.0020482438,0.00034472506,-0.0014286428,0.0025374333,0.004078523,-0.0060538766,-0.0016924703,-0.0023137429,0.004034888
ISG15,-0.0016596799,-0.005520883,0.0035561114,-0.0067770323,-0.0069592874,0.007451466,0.0033680142,-0.007923825,0.012143121,0.003396096,0.003677604,-0.008372581,-0.0045165587,0.00022855078,0.0030277008,0.0010201207,0.00053258287,0.008068858,0.0069598095,-0.011089021,0.0012993851,0.0052032415,0.011540926,-0.010645361,0.014701276,-0.00165764,0.004504678,0.011709597,0.0044482825,-0.0052010813,0.0032374817,-0.014034822,0.0023520899,0.01344209,0.006800424,0.020774493,0.005679114,-0.0052987486,-0.0004156775,-0.0042930474,0.008950833,-0.005157736,-0.012765966,-0.0049437075,0.0077574044,-0.00071363995,0.0034052185,0.009248578,0.010076359,0.005345525,0.0017956407,0.0027853372,0.013269822,0.0007363274,0.0037180798,-0.009023652,-0.0032491898,0.00090844714,0.0010458408,-0.008552461,0.003739817,0.004294105,-0.0014606689,-0.0035195928,-0.011280914,-0.0056345947
RNF223,0.0008487078,-0.000105326326,0.00020176548,-0.0035019438,0.0011262324,0.00012215607,-0.0005186824,0.0009952533,0.00096999353,-0.0013696298,0.0021561072,-0.003224603,0.0024343908,0.000700336,0.0030103982,-0.0016040261,-0.0039500603,-0.0011011878,0.00040445334,-0.0035673273,-0.00037060934,0.005391537,-0.0045603835,0.0025307157,0.00089560327,-0.0061414903,-0.0020516508,0.0035875102,-0.0065452536,-0.00072262756,3.865466e-05,-0.003992141,-0.0015939849,0.0056202495,0.0018111666,-0.0012556226,0.0022035926,0.00082341896,3.7733316e-05,0.0034375696,-0.0036706477,0.0006843247,0.0059449705,-0.005550781,0.0033197782,-0.00074209814,-0.00081407506,0.003796671,0.0014446789,-0.0026762784,-0.0013513307,0.003734358,-0.0029031597,-0.0034210968,0.008003997,0.0014665768,0.0005247162,0.0018066418,-0.00026273448,-0.0016899476,0.00021681508,-0.0035006087,-0.0017835824,0.002251281,0.0022028782,-0.00056863634
TNFRSF4,-0.004821029,-0.00061387365,0.0037162767,0.0029638875,-0.0019385978,0.00064539723,0.004897985,0.0030328855,0.00071867276,0.0040728427,-0.006612891,0.00087258953,-0.011358168,-0.00063673453,-0.009919865,0.0038279023,-0.007905165,4.5501853e-05,0.010890876,-0.0029771165,-0.0034252286,0.0037536244,0.0039047147,0.008286591,-0.0055168183,0.0051812306,0.003504908,-0.014911441,0.0023447778,0.0065585584,-0.010444978,-0.0036356885,-0.00075018377,0.010282529,0.0060826973,-0.014652722,-0.0007120843,-0.0033407183,-0.0018965347,-0.010769367,0.0042067305,0.0051189177,-0.0055430178,-0.006974023,0.011444228,0.006701203,0.006315011,-0.0063040145,-0.009816772,0.0018098201,-0.022939276,0.0010914484,0.0050682407,-0.0038524626,-0.0020843984,-0.000527351,-0.002632834,0.0036895487,-0.0010075364,-0.010824339,0.004385205,-0.0014492202,0.010964156,-0.008338775,-0.005688835,0.013524646
MMP23B,-0.0021006481,-0.0020199104,-0.003474563,-0.0022604833,0.0077871555,0.0062006973,-0.0003530964,0.007973745,0.004092281,-0.00217072,-0.0025032994,0.0019814405,-0.0055899825,0.0024585875,0.0010996548,-0.002491004,0.0019018938,-0.0061965287,0.0048321886,-0.0043785335,0.0011921995,0.00043861795,-0.0014021412,-0.0014668782,-0.009693324,0.0070881494,-0.0013092615,0.0014978833,-0.0018027569,-0.00310699,0.00032959413,-0.0015974789,-0.0009099212,0.0051220837,0.0032000903,-0.0024170084,-0.00039380696,0.0059812455,0.00035226526,0.007361954,-0.010645887,0.0044978564,0.0034414942,0.0045017335,0.0016523859,-0.0061330595,-0.014518659,0.0038841614,0.00194774,-0.0036771202,0.0023614282,0.0067242067,-0.014525201,-0.0020841789,0.001782562,0.007990986,-0.005757213,-0.004908251,0.002383727,0.0012126561,-0.0062650684,-0.00033657436,-0.00027731518,0.0037511003,0.003975286,0.0033764655
TNFRSF14,-0.008122349,-0.009329509,0.0014532855,0.0045396797,0.00016978268,-0.004495035,0.0028744028,0.0069265836,0.01028673,0.0052425624,-0.0070814285,-0.0036871906,0.0058326325,0.010236011,-0.0044899066,0.0025190955,0.014553049,0.00726299,-0.0011030415,-0.01276243,0.0024713797,0.011293248,0.021748725,-0.0011819485,0.0022897962,0.014008708,-0.004135937,0.007723135,-0.003884156,0.006659406,0.014530747,-0.010946037,-0.007340201,0.02320678,0.0058284756,0.0070433933,0.0036674615,-0.00092897355,0.0076293754,-0.00034977612,-0.0143721765,-0.011075915,-0.0014775753,-0.0022826379,0.0046836026,0.0036067127,-0.010130229,-0.010345968,0.012786684,-0.002240648,0.015524558,0.001185335,-0.00027755668,0.0038696711,-0.00012597183,-0.00029492687,-0.0079613095,-0.0051962365,0.00037927297,-0.013359447,0.0050115744,0.0060006627,-0.0070759435,-0.0013454114,-0.014684678,-0.0012846333
TTC34,0.00019472458,0.0003828239,-0.0009793957,-0.0031891405,3.9946623e-05,0.002813421,0.0014095037,-8.515948e-05,0.0006851263,-0.004860648,0.0021433802,0.0013723462,-0.0060988776,0.0019710371,0.000886198,-0.0016163156,-0.0028022793,0.0013559532,-0.0054648286,0.0031720754,-0.0048320857,0.00032908472,0.00022955296,-0.0013527509,0.0017986519,0.0022089218,-0.0033231531,0.003566513,-0.0014773161,-0.0014468174,0.0038346865,-0.0009626003,-0.0012745349,0.00061807816,-0.004974957,-0.0030010515,-0.0012901396,0.0014215143,0.00028396983,-0.0035030162,-0.001568508,0.002565095,0.0005092056,-0.00021794609,0.0019456357,-0.0016005824,-0.0024950898,0.0022263895,0.00041971917,-0.0024401832,0.0014219681,0.0023035693,-0.0016498847,-0.0035571496,0.0034346287,0.0062768147,-0.0020390656,0.002886675,-0.0012956781,-0.006036498,0.0012375949,-0.0029216122,0.0041298335,-0.0010238872,0.0017919228,0.0011917222
SMIM1,-0.0050503686,-0.0023748798,0.0019730988,-0.0022328869,0.007176995,0.008895987,0.0026204025,0.01587033,0.0019410256,-0.0011984875,-0.0100601865,0.0006084124,-0.0017521617,0.0072660227,-0.0015401184,4.6836827e-05,0.006350795,-0.010739411,0.005288,-0.0025604824,0.0035915296,0.0038381976,0.003908031,-0.0029847934,-0.006926312,0.003896709,-0.0038001006,0.0030870978,0.0040564667,0.0052034343,-0.002037023,-0.0020923968,-0.0048201447,-0.0010155571,0.004311342,0.00028765126,0.0084725125,0.0020645163,0.0033723023,0.0045585115,-0.016035855,0.008519722,0.00027813565,-0.0014793839,-0.0005783145,-0.0029965858,-0.0147040645,0.008536111,-0.00016757136,-0.0030813767,0.0022532663,0.012180028,-0.0269073,0.00082749064,0.0042896396,0.014846301,-0.0061330306,-0.0043255286,-0.013319978,0.005386468,-0.0007049073,-0.00022412988,0.0010669562,-0.00016744164,0.010833648,-0.004054434
LINC00337,0.00041946143,0.002399134,-8.4879866e-05,-0.0024972025,0.0034313512,0.0010361181,-0.00011646277,0.0029769843,0.00096979813,0.00024403354,-0.0034738863,-0.003263774,0.00033484967,-0.003196446,-0.0015384428,0.00078075874,-0.0007513634,-0.00066018035,-0.0005599056,-0.0045451834,-0.0002758106,0.0013860648,0.00042614562,0.0009205747,-0.0013892775,-0.0037087933,-0.002006478,0.00079261605,-0.0033694024,-0.00273644,-0.00013982084,0.00017218055,-0.004273959,-4.5706318e-05,0.0028796052,-0.0019325798,0.0041852472,0.002527628,-0.0019250377,-7.984975e-05,0.0015163509,0.0009892985,0.0007340041,5.4548702e-05,-0.002662108,-0.00058741897,-0.0017795573,-0.0018012645,-0.0024801951,-0.0018358396,-0.0011518291,-0.0010173678,0.0038813034,0.0019305696,0.00011068174,0.003140917,0.0009746013,-0.0001367211,0.006317164,0.0014298323,0.0003188548,0.0015418521,-0.0011312698,0.00048083632,0.0037762988,0.0024526694
