gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
SAMD11,-0.019397821,0.0052560763,0.012061961,-0.0003805871,0.0035935298,-0.02252846,-0.0012892671,-0.017603956,-0.010448855,0.0033005928,-0.005208056,-0.011013194,-0.005195838,0.001892491,-0.015761703,0.015768824,-0.00037385683,0.00020159394,-0.05001173,-0.0028521288,-0.026294725,-0.0020728554,-0.011498116,-0.0060202642,-0.007823272,-0.017248632,-0.0029779535,0.005468919,0.0016246196,0.009434736,0.03100373,-0.007946285,0.036612798,-0.0016323092,-0.0055492097,0.017044434
HES4,-0.004324481,0.03339413,-0.006194448,-0.0060500912,0.002192876,-0.008918303,-0.012212383,0.0013688217,0.002815604,-0.0080523975,0.0037031998,0.0042837122,0.012842345,0.01341549,0.015872024,0.0026949989,-0.0025438436,-0.003860403,-0.0009403607,-0.0041059544,-0.002189972,-0.0045578736,-9.5532654e-05,-0.0010643761,0.006282728,-0.0049596634,0.0012733396,-0.0018859961,-0.0014789505,-0.0018292591,0.00092542625,-0.0038865746,-0.001060336,-0.0055772057,-0.010461291,-0.008843004
ISG15,-0.0007881982,-0.0053691366,-0.008135826,0.013116992,-0.006464594,0.014060352,0.005472234,-0.005116967,-0.0023905525,-0.0009983764,7.300071e-05,0.0015530802,0.004826033,0.014022876,-0.0015236799,-0.0012592276,-0.0022402024,0.0034932916,0.0016619754,-0.010722483,-0.00085065793,-0.00463106,-0.0029423453,0.005468046,0.013362114,-0.0034031377,-0.008870012,0.0029367062,-0.0136785535,-0.0009222443,0.004178402,0.0003304068,0.0057455674,0.020308677,-0.004855647,-0.01122824
RNF223,-0.0023808777,-0.00025440563,0.0004588746,-0.0023256782,0.006863277,-0.0026838244,0.0011473008,0.0011202295,-0.0017845416,0.0004886043,0.001696951,-0.0015625083,0.0023400083,1.4924895e-05,-0.0014027565,0.0059580132,0.0018786043,-0.0018822252,-0.0069896523,-0.0017739828,-0.009054979,-0.0031168247,-0.0028602781,-0.0043378053,-0.0033715856,-0.0047381683,-0.0006574047,-0.0048214993,0.0040201508,0.00019001978,-0.0018441076,-0.001891578,0.0010231629,0.00043395886,0.0014388912,0.0016537649
TNFRSF4,-0.00030127258,-0.00025311724,-0.00027494182,-0.0015749461,-0.004059912,-0.0034257898,-0.0056151077,0.001701893,0.0011386998,0.00030637413,-0.00042575903,0.000446946,0.004359832,0.0027680018,-0.0044820732,-0.0032442026,-0.002467482,-0.0030177976,0.00027584165,-0.0026871623,0.0016818782,0.0038890112,0.0092862435,0.009454307,0.007187149,0.0023076183,0.0021757605,0.008844475,0.005496679,0.0028696097,0.008379088,0.015275533,0.005621325,0.002059082,0.0017772134,-0.0031763793
MMP23B,-0.0021876954,-0.013031462,-0.0104277255,-0.008236168,0.0006028893,0.0028454026,-0.00014865554,0.0049341246,0.0001650909,0.0034740404,-0.0035315023,-0.006203936,-0.004882657,-0.0014561375,-0.0041886447,0.0023800717,-6.0165483e-05,-0.001170709,-0.0014004325,-0.0007605728,-0.009419986,0.00023278236,-0.008031203,-0.007215302,-0.0038317759,-0.0039173877,0.00032468094,-0.0031784382,-0.006085751,-0.009474524,-0.0051366803,-0.003761243,0.0025373064,-0.0001485839,0.01244425,0.00843107
TNFRSF14,-0.0043212925,-0.008494719,-0.0125515545,-0.0013583187,-0.00052714325,0.00020479018,0.0056613777,0.0058161956,0.01160374,0.0047431043,0.004870524,-0.0045988783,-0.010475743,0.01294735,-0.013210629,0.0096448865,-0.0006780396,-0.0039015997,0.0087175695,-0.0027248051,-0.015965357,-0.016425526,-0.0005814937,-0.006407183,0.008633237,-9.083008e-05,-0.008121928,-0.00055940484,-0.016167996,0.0034812316,0.00093129213,0.0137289185,-0.0007203376,0.023828521,-0.0037783824,-0.0042322315
TTC34,0.0014101575,-0.0011704025,0.0043587675,0.0019320411,-0.0013348334,0.004312031,-0.00018805072,0.0009518791,-0.00015420037,0.0017271306,-0.0017899033,-0.0007871105,-0.0040081134,-0.0024695469,-0.006029369,0.0032578988,5.691552e-05,0.00044233454,-8.6840235e-05,-0.0027416705,-0.0021795637,0.00021229054,-0.0036445516,-0.003683558,-0.0033853815,-0.0017764221,-0.0015504376,0.00026899274,-0.0019860894,0.0002219829,-0.00014153334,0.0005197337,0.0001427778,0.0023703321,0.0019677824,0.00031530537
SMIM1,-0.0060994457,-0.0024470643,-0.0117875235,-0.021874897,-0.005770252,-0.012000155,0.0021785393,0.016770763,0.0026920405,-0.0037289215,-0.0073826397,-0.006002712,-0.0026461433,-0.002164336,-0.0067873118,0.0058453865,0.0028240534,0.002786992,-0.00011464302,-0.006499692,-0.019500514,-0.004176499,-0.0075153355,-0.0062973397,-0.005717026,-0.008723369,-0.008186495,0.000173748,-0.007368587,-0.005832697,-0.0097532235,0.0012010288,-0.007819745,0.0003525894,0.014753354,0.017975535
LINC00337,0.0010687616,0.002416665,-0.0026119112,-0.004849754,-0.00080802967,-0.001801769,0.0022083449,0.0034892664,-0.0026657402,-0.0023162782,0.0020957359,0.0017128363,0.00060587615,0.0016049927,0.0033834474,0.0003840469,-0.0012912689,0.0024015422,-0.0009672632,0.002707352,-0.0033923744,-0.0017893469,0.0009145896,0.0016828702,0.0009543279,0.001333474,-0.001424035,-0.003583354,0.003821062,-0.0049655205,0.0017549323,-0.0047580423,0.0018921643,-5.3758966e-05,-0.0025393663,-0.0013889493
