gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.02147887,0.00350971,-0.003190871,0.0045274543,-0.014096235,0.014220372,0.03341952,0.01581017,0.0054528266,-0.006264794,-0.014837837,0.009096456,-0.0007986418,0.0058780913,-0.006038047,-0.012537053,-0.0019422331,-0.010987407,-0.0027695757,0.0019048224,0.0045922576,0.004037727,0.00097621756,-0.01485493,0.005635154,-0.009397292,0.021193817,0.0046627508,-0.00218043,0.0029591117,0.010862249,-0.02764268,-0.038414314,-0.014366835,-0.0015065131,0.009979954,0.03681788,0.028689442,-0.004104555,0.03160743,0.01635044,0.020914001,0.009357141,0.007376211,-0.0046267086
HES4,-0.0049559367,0.013162531,0.023211563,0.013146233,-0.028093815,-0.01234913,0.009384176,-0.0027061505,0.0032455253,0.006061605,0.008527153,0.008800737,-0.0036820644,-0.0031672246,0.00016067711,-0.009370179,-0.008066879,0.0058342624,-0.004792708,0.00297398,-0.013364117,-0.008643898,-0.0061595165,0.0015671747,-0.007700587,0.0060982616,-0.014573119,-0.0069148405,-0.00040686174,0.000720568,0.006377638,0.008341477,0.00867964,-0.0029591606,0.0046891323,-0.0037307201,-0.0026028003,0.0045071244,0.010497286,-0.004070655,-0.0014945716,0.005020946,0.0006902602,0.005705935,-0.0045914333
ISG15,-0.0021169856,0.0032036933,0.0055145198,0.001639197,0.00774978,0.010816918,-0.011786175,-0.008247546,0.012967338,0.015444068,-0.0036421176,-0.018437775,-0.0055191433,-0.0012757006,0.008986708,-0.015857378,-0.019131316,-0.005399352,-0.004178945,-0.002467318,0.00015278584,-0.004834598,-0.0072672055,-0.0077124,0.003551985,0.0073914845,0.007194099,-0.0045838035,-0.00012710935,0.00500474,-0.00054037204,0.005641584,-0.00396734,-0.0043415395,-0.0004222545,-0.0069955993,-0.00075181166,0.020580566,-0.0012167266,-0.00032816638,0.006548938,-0.0025777684,0.0023464002,0.007421626,-0.0005070841
RNF223,-0.0027713645,-0.0016340337,0.0009467405,0.0014353031,0.0005916569,-8.4394196e-05,0.0030542812,-0.0037208975,0.004885955,-0.0024865645,-0.00032213485,-0.0017900758,0.00046676706,0.0010625068,-0.0028775171,0.00078935054,0.00260464,0.00030372385,0.0015649054,0.0011235954,0.0020441476,0.0021955876,0.0012275703,0.0021273342,0.0013221103,-0.0005719342,0.0044214563,0.0024846261,0.0011010307,0.0028839859,0.00020834549,-0.0010984562,-0.0036242474,-0.0024349468,-0.0008591177,0.0017284798,0.0041787233,0.0015705532,0.0029560074,0.003062943,0.00018389852,0.0076506133,-0.00066774525,0.0014161294,-0.0005495281
TNFRSF4,-0.0014714226,-0.00038006544,0.0031622334,0.005323593,-0.0016872693,0.005297315,0.00247232,0.0005722668,-0.0013819289,0.0013633135,0.0049718227,0.003718458,0.011987378,0.0024900986,0.0045997053,-0.014509323,0.007050806,-0.0040681926,-0.002170629,-0.0029453584,-0.0011315027,0.0014482688,-0.0037660613,-0.0020979925,-0.0018718303,0.0008676939,-0.0011258681,0.0011463944,-0.004580216,0.0052575287,-0.00054989243,0.0010576203,0.0038773378,-0.019360702,0.000117709365,-0.0025247005,0.0065098973,0.00086277246,0.005368932,0.0029123456,-0.005357571,-0.0035495337,0.008419734,-0.015112209,-2.7135544e-05
MMP23B,-0.00071264995,0.0024941994,-0.004520579,-0.0075045256,-0.00053125346,-0.0021511302,-0.009689908,0.0030198228,0.006243528,-0.0025785528,0.0010643738,-0.0031736318,-0.00086291134,-0.008605153,-0.00470367,0.00811229,0.0071210545,0.0034125426,0.0036855566,0.0013843699,-0.0028310225,0.0013904762,0.002145878,0.0038232135,0.0063628005,-0.0016433051,0.0062546465,0.008239875,0.002570528,0.005273094,-0.0058869515,0.0012844234,-0.002726034,0.002335191,0.0016714457,0.0041734935,0.0098547805,-0.015384788,0.00044049526,0.004700063,-0.008038313,0.0016192748,0.0032062137,0.0015178999,0.00055196893
TNFRSF14,-0.0056298,0.0023145177,0.004224227,-0.0035373312,0.0031228887,0.003819169,0.00043186828,0.004806929,0.00986088,0.014646293,0.001611722,-0.026426116,-0.00303969,-0.007985743,0.002658485,-0.0029636396,-0.011489314,0.00389518,0.015068488,-0.009661988,0.003589554,-0.006880716,-0.007338115,0.007672659,0.012151174,-0.011318644,0.008582903,0.0050787465,-0.0011678264,0.004289916,-0.0015414244,0.008622036,-0.00095327775,0.0004583414,0.0020512992,-0.0050267824,-0.0032918537,0.0005062885,0.0043842406,0.014820156,0.0025731297,-0.013809776,-0.004227891,-0.0024957869,-0.00089916325
TTC34,0.00034909238,-0.00034159535,-0.005062508,-0.003900653,-0.002670847,0.0007136526,-0.0009896411,-0.003963984,-0.0026778595,0.00032635903,-0.0026884035,0.0009629244,0.0026203438,-0.0023277004,-5.7185618e-05,0.0020678823,-0.001909663,0.00089236547,-0.0045868247,-0.0008398094,-0.0005452526,-0.0043624043,0.00084645627,-0.0003052301,0.0037287048,-0.0059568547,0.0012717478,0.00457271,0.003256194,-0.0045042033,-0.0005876985,0.0021512625,-0.0022026545,-0.0013190747,-0.00014701142,-0.004286882,0.0015151696,-0.005047061,-0.0036197817,0.0008676408,-0.003783344,2.1533908e-05,-0.0016109303,-0.0012583279,0.0012516183
SMIM1,-0.010359278,-0.0030377873,-0.0029603818,-0.006948503,0.0037432841,0.0013886464,-0.0009988685,0.015558045,-0.0024234387,-0.004064307,0.0011879965,-0.004683002,0.0015828594,-0.00932196,-0.008179199,0.010191875,0.0026394874,0.007692099,0.0069409646,-0.005285007,-0.0014332101,0.00011988897,0.004387682,0.0017883632,0.013529768,-0.0028234937,0.008556378,0.011663151,-0.0045707216,0.0061041173,-0.010446644,0.0054186312,-0.005150341,-0.0027071766,-0.00042092823,0.005637774,0.012275324,-0.021186672,0.003428133,0.002480399,-0.011715643,0.00054547354,-0.004006841,-0.0123117175,-0.004667361
LINC00337,0.0017449004,0.004286898,0.0069003184,-0.0042009735,-0.003923762,-0.0021281869,-0.00013072963,0.0025255417,0.0019628392,-3.4875688e-05,0.000636628,0.001568686,0.00039663745,-0.00045278412,-0.0003894594,-0.0014118443,-0.0025436108,-0.0010912044,-0.0003047395,-0.00036386252,-0.003527688,-0.0014651725,2.7260054e-05,-0.0014730776,-0.00075227447,0.002137962,-0.0021942852,0.0009956706,-0.0014834484,-0.0011056301,-0.0024618146,-0.0002771209,0.0014412244,0.001755734,-0.0014152306,-0.0019778644,-0.0013290326,-0.00126708,0.00015422134,0.003042107,0.00096155587,0.003525712,-2.5718673e-05,0.0034793257,0.0010448182
HES2,0.0067366106,0.019169003,-0.0010026376,0.006646595,-0.011537982,-0.006826972,0.0013277776,-0.0028587256,0.017278412,0.004247958,-0.006309635,-0.00035611956,-0.0028436254,0.0033083821,0.0025756143,-0.0027631626,0.011305824,0.00060814776,0.0039210115,0.005138973,-0.001064887,-0.0014391363,0.003004848,-0.0056500877,-7.783471e-05,0.0021069387,-0.0051773805,-0.00043257346,0.0015871093,-0.0016352445,0.0013378632,-0.0028798669,-0.0049205367,0.003239594,-0.00071909546,-0.0036616942,0.0009295768,-0.003534047,0.004806602,-0.00055030524,0.0028447537,0.0013930631,-0.0010002678,-0.00094367965,0.0017448732
ESPN,-0.0014733715,0.0038740698,0.006675994,-5.030085e-05,0.0060820864,-0.00068108074,0.0026477235,-0.0032051771,-0.0061639785,-0.0016983985,-0.0011829174,-0.00064160937,0.00018512718,-0.0010287479,-0.0039677443,-0.0009777829,0.001931264,0.004271234,0.003698777,0.004856172,0.012535396,-0.0008096786,-0.01035569,-0.006160085,-0.0033757854,0.0020605791,0.004149783,-0.005934538,-0.00021749933,0.0014875334,2.7299156e-05,0.002867011,-0.0054349303,0.0027767785,-0.0037337886,0.0016813158,0.001042322,-0.00863203,-0.004155509,7.8986006e-05,-0.005014998,0.00014136019,0.0005614889,-0.00013454196,-0.0002660987
TNFRSF9,-0.005730495,0.0042255456,-0.0010450996,-0.0032154901,-0.0017856543,0.0017741569,0.0045303693,0.005715982,0.009615802,0.0037098464,0.016706718,0.0015808308,0.03432258,0.0024094204,0.023322547,-0.041500047,0.027404603,0.002417889,-0.004397635,0.022047762,-0.011665673,0.011987823,-0.013954268,0.017974753,-0.00065822486,-6.6140856e-05,-0.0034859017,-0.005502012,6.4089516e-05,0.0011154857,0.01094051,-0.018386712,0.008862588,-0.043592557,0.016564686,-0.0021290425,-0.008194844,0.014215271,-0.0009394957,0.0074118692,-0.01663188,0.0054239915,0.0053676157,-0.017801909,0.0007014511
ENO1,0.041139923,0.015997004,0.015471749,0.0897467,-0.015494461,0.0029898388,0.050421175,-0.07646705,-0.05805472,0.02005936,0.017369805,0.044190817,-0.008676418,0.02518136,0.022305343,-0.04128364,-0.032012872,-0.008132631,-0.016571337,0.0067313416,-0.027382048,-0.015683152,-0.009989316,-0.01062979,-0.039442338,0.025478471,-0.06528924,-0.051422916,-0.007997324,-0.0100255245,0.0051466334,0.01710019,0.01864802,0.0025793824,-0.018046696,-0.03223663,-0.040154845,0.044475406,0.007964137,-0.028749049,0.037804693,-0.0020975252,0.0067286175,0.040625583,0.010382995
GPR157,0.00082783034,-0.00045733387,0.0007315615,0.0004838816,-0.0044792867,-0.0016899271,0.0007073198,-0.0038842906,-0.0011694641,0.0013785745,0.0009354499,0.0013664657,0.0010223339,-0.00012234069,-1.6382972e-05,0.0015626164,-0.0025983069,-0.0028824094,0.00091870734,-0.00017119644,-0.0012603587,-0.0013344465,0.0012000821,-0.0018210957,-0.0013684942,0.0022065924,-0.00044709753,-0.00033199444,0.0015463119,-7.82871e-06,0.0021964968,0.002751973,0.002846334,0.0016503531,-0.00081883435,-0.00014103539,0.0011225041,0.0029929131,-9.2161645e-05,-0.0005271678,0.0026367065,-0.0016744998,0.0018639194,0.001569249,-0.0014802978
H6PD,-0.0025595538,-0.0043489635,2.8048655e-05,-0.0038309356,-0.0026794788,-0.0066915257,0.0077006645,0.00150944,-0.0035089229,-0.0008820592,-0.009918946,-0.0028007592,-0.001478479,0.0075660907,0.00048603647,0.0036676824,0.0033697987,-0.0030737226,-0.0001451829,-0.0018448357,0.010691608,0.009085324,-0.0012057604,-0.0038254005,-0.0012242881,-0.0034260305,0.009563651,0.0039127395,0.0048998273,-0.003368525,0.0014876826,-0.0074796425,0.0005205479,0.00011254404,0.0019805976,0.0025333485,0.0036142496,-0.0044301213,-0.004745537,0.0033407002,-0.001523052,-0.008948611,0.0012804405,0.0033503135,0.0023435995
PGD,-0.0068201423,-0.0045169108,-0.001537281,0.0049710637,0.0015444971,0.007731035,0.0011858175,-0.002665964,0.0069089057,0.0072670598,-0.0036579117,-0.0046539223,0.0025086033,0.0038819208,-0.010120268,-0.006429628,0.0069401124,0.00094259315,-0.0059150285,0.0021308316,0.0017427788,0.0058164913,-0.001940133,-0.0008629246,-0.00296789,0.0022135247,-0.020435516,0.011745051,-0.0028414896,-0.0061407164,0.0022422236,0.0023198447,-0.0047583086,0.0016849443,-0.005534583,-0.0118606035,-0.008072404,-0.00045337662,0.005561031,0.016785724,-0.0020973408,-0.0100026205,-0.001981013,-0.0003245286,0.004009563
MASP2,-0.0014150548,-0.0012651231,0.0007739017,0.0016677193,0.00035280493,0.0007801624,0.0019210804,-0.0012045485,-0.00082431734,0.0027159788,-0.0003462127,4.5081302e-05,0.0005760655,-0.0011662256,0.0014233055,0.0025429537,0.00030426716,-0.0013300349,0.0017093961,0.0011041565,0.00015675597,0.0008559582,0.00028419332,-0.00035847214,-0.0010935256,-0.00013978982,0.00083416956,0.00091893575,0.00051571045,0.0013487164,-0.0017720958,0.00012176116,-0.0014791875,0.0008688066,0.0019721806,-0.0008392449,0.0004054608,-0.00017065297,-0.00025876373,-0.0005916725,-0.00024894293,0.0024622108,0.0031982772,0.0011350645,0.00030815284
SRM,0.023646586,-0.0044314056,0.00014622277,0.042332888,-0.050821003,-0.012490193,0.024133725,-0.02955577,-0.055829205,0.0078812465,0.00019383899,0.028934794,-0.019688813,0.014053152,0.032258965,-0.0017685314,-0.027605796,-0.0087314425,-0.01729489,-0.012042918,-0.009025729,-0.011873077,-0.005478508,-0.012102483,-0.025423314,0.027505253,-0.047556877,-0.043337535,-0.008398436,0.011477064,-0.01772144,0.036980502,0.021692472,0.0065985625,-0.019629735,-0.019198537,-0.02244446,0.012885193,0.024177408,-0.02759466,0.021070564,0.0071666962,0.0028060202,0.015560568,0.007243237
DRAXIN,-0.000709115,-0.0016590599,-0.0014185414,-0.0015757979,0.00053373934,-0.00039801118,-0.00049480086,0.00019837455,0.0027469865,-0.00048790418,-0.0014665528,0.0011924001,-0.0021621552,-0.00084109645,0.0025798262,-0.0005026276,0.0015040381,8.620413e-05,-0.0010724011,0.0011599516,-0.00028581178,0.0022683183,0.0013753579,0.0016959441,-0.00092125207,0.0006661087,-0.0007632462,-0.00078543357,-3.7869537e-05,0.0007144728,-0.0005295147,-0.0014401646,-0.00014301082,0.0019178857,0.00011513291,-0.0008230698,-0.00028629866,-0.0011444689,6.729445e-05,0.0028275505,0.002994939,0.004662254,-0.00012783858,0.0020629326,0.0019045625
MTHFR,-0.005788035,-0.0011819783,-0.0046961894,-0.006650849,0.0021511281,-0.0002284261,-0.010718158,0.011002504,0.006769945,-0.004123932,-0.0037539303,-0.0057040597,1.321439e-05,-0.0039847586,-0.0016293945,0.0065000425,0.00021386247,0.0021340786,0.00072425243,0.000445092,0.0046450854,-0.0009021801,-0.00035302248,-0.0013143867,0.0067076897,-0.004729261,0.009368125,0.0030710183,0.0026118145,0.0023820442,-0.004529865,0.005524924,0.0024658334,0.0012423876,-0.0005446237,0.008544846,0.010506134,-0.0058651012,0.004770129,-0.00039494576,-0.004402027,0.0006815014,-0.0001728948,-0.003790924,-0.0025333553
PDPN,-0.0005955629,-0.0028606316,-0.0028332598,-0.0022676387,0.0021933508,-0.0014136754,-0.00048088183,0.0010814704,0.0016442358,-0.002634186,0.00076642784,0.00010074671,-0.00062952825,0.002257484,-0.0013790312,0.0014107794,-0.000264091,-6.743313e-05,-0.00045359187,-0.0003343847,0.0011191386,0.0012390313,0.0008904882,6.780178e-05,-0.0014676417,-7.2169816e-05,0.00090654596,3.0078425e-05,0.0019063528,-0.0006028466,0.000709013,-0.00036748793,-0.0003202058,0.00087401224,-0.00027394315,0.00051491143,-0.00029318643,-0.0017063136,0.000861728,-0.0011028313,-0.0019939442,-0.00010720062,-0.0006924702,0.00042076714,-0.0013572992
CELA2A,-0.009724712,-0.00808319,-0.00938979,0.008235068,-0.0021437411,0.01787509,0.011331671,0.0031647822,-0.006416382,-0.00021288787,0.0027199583,-0.006306472,0.004628861,-0.0138180675,-0.009147606,-0.0023646622,0.0155644035,0.0014522409,0.005665711,-0.0019957356,-0.0019262676,-0.0018042576,-0.0021418717,-0.0023978804,0.0031704614,0.00014372279,0.016642518,0.005661219,0.007298154,-0.0056420015,-0.0018582961,-0.00442356,-0.0050827027,-0.0005077884,0.0006817969,0.0145283155,0.0077570626,0.0018232426,-0.009985403,0.0018087754,-0.00095589564,0.0020201264,-0.0009160147,-0.0015453459,-0.0013865859
CELA2B,-0.0024296176,-0.001672271,0.00077091606,0.00023835688,0.0023586464,0.0016245983,0.0009075141,0.00050149346,-0.00052693905,0.005447464,0.00047796383,0.00027930413,0.009472939,-0.002891674,0.0077922763,-0.0077006905,0.005708647,-0.0021096317,-0.0017817842,-0.0013620924,-9.88944e-05,-0.00062078197,-0.0017324302,-0.0027315468,-0.003178476,-0.0031589512,-0.0046312287,-0.003508514,0.0033024994,-0.0017661849,0.0015420633,-0.0010311079,0.005461845,-0.009955542,5.8038444e-05,0.00024792322,-0.00087846845,-0.0020217237,-0.0014807057,0.0033782301,-0.010424425,0.0019557474,0.0009921053,-0.0058976193,-0.0035201937
