gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54
SAMD11,-0.021440938,-0.019023824,0.0016829243,0.0057696435,0.020175729,-0.017696496,0.005620016,0.0055296123,-0.015282171,-0.011678552,0.025599672,-0.007726442,-0.006180136,-0.03708079,0.03503513,-0.006188327,-0.013866134,0.0028484622,0.018262887,-0.00081710226,0.0104953665,0.010772759,0.018987676,-0.01184332,0.010258078,0.015565464,-0.0011701591,0.0008998522,0.012464581,-0.0006313935,-0.006496025,-0.0016689921,0.0011339415,-0.025371442,0.0026739403,-0.032760777,0.012742308,0.0045809876,-0.0076670526,-0.035489645,0.01887904,-0.021891987,0.005334978,0.012257676,0.03354197,0.0018698598,0.0023092919,-0.004336878,-0.0074153715,-0.01387904,-0.0050318115,-0.004999398,0.0066941436,0.0021721865,0.00922123
HES4,-0.008781024,0.015463008,-0.014472978,0.0040322775,0.01522821,-0.028082924,0.0028357238,0.013497223,-0.010214848,0.00089001044,0.010219526,0.0097709475,0.0087618,-0.0072889472,-0.014649874,-0.0011901956,0.009059209,0.003657469,0.012239278,0.00433305,-0.0031800836,0.0040003103,0.0037025278,-0.0013387445,-0.0005885912,-0.0057666004,-0.004942459,-0.004692766,-0.003964548,-0.0073258826,-0.008696857,0.0058387364,-0.006567372,-0.007184776,-0.0016510594,0.0073725167,-0.0059747063,0.0018907147,0.010938223,0.003372828,0.001031068,-0.0021331906,-0.0072131753,-0.0022204404,-0.011498377,-0.0038386683,-0.002033734,0.011604804,0.0028570124,0.00245802,-0.0064096157,0.00539655,-0.008418753,-0.0065609305,-0.001355198
ISG15,-0.00043642212,0.009054882,-0.0070514893,-0.003628157,-0.008265575,0.010867939,-0.008547708,0.0021465993,-0.005284694,-0.013867062,0.0014425709,0.0021745758,-0.0012082782,-0.0055942005,0.0017715687,-0.0078994725,-0.009811666,0.00087746774,-0.0035465974,0.0038530317,-0.003453179,-0.0015303869,0.00993338,-0.00057493476,0.007905958,-0.00051721453,0.0075526736,0.0011405086,-0.0015797466,-0.00416632,0.00056431815,0.007884303,-0.0033269376,-0.013130768,0.005249606,0.0022786334,0.0009494733,-0.013438839,0.0072873114,-0.006244176,-0.0014053787,-0.009329448,-0.0030096907,0.0019170275,0.003242887,-0.009010472,-0.007863528,0.006233632,-0.0078494465,0.011547648,-0.01961104,0.02367944,-0.006129107,-0.012267919,-0.0015197267
RNF223,-0.0020273936,-0.002772404,-0.0025958386,-0.00052138156,0.0005877212,-0.00054580084,-0.0028894837,0.0015478102,-0.0013685151,-0.00085057644,0.0014215631,0.0005571335,0.00027716983,-0.0018877217,0.006552947,0.00068400265,-0.0016231196,0.0010362163,0.004377553,-0.0024425345,0.0015052604,0.0011655816,0.0032079292,-0.002224163,-0.0012911408,-0.0010990553,-0.00052147196,0.0024587212,0.0012618937,0.0036393397,-0.0017862889,-2.6799473e-05,0.0040103793,-0.0022485428,4.0100673e-05,-0.002754756,0.00042553508,0.00085801154,-0.0046390817,-0.0054730754,0.001424253,0.0008341887,0.0017454658,0.0038390271,0.00042451124,-0.00047813857,-0.001149743,-0.0012030933,-0.001120704,-0.0009557489,-0.0009391777,0.00034540432,0.0006463555,0.0046082735,0.0030766148
TNFRSF4,-0.0012635189,-0.00042374717,-0.005042706,-0.0008833501,0.0030019325,-0.0010032592,0.0010857384,0.001441915,-0.00016507944,-0.004777069,-0.007757323,-8.8408226e-05,0.0023344108,-0.0031484265,-0.004172083,-0.0017968985,0.006573792,-0.00096286705,0.00072579854,0.010610201,-0.00057038304,0.0032701697,0.00977052,0.01948446,-0.01890325,0.008061146,0.010067994,0.00093022414,0.007622512,0.0011026537,0.013740897,-0.0014159477,-0.006715348,-0.0041633677,0.0068553286,-0.0062674196,0.0089801345,-0.006200142,-0.0022309253,-0.0047586244,-0.004903608,0.003629423,-0.00028003615,0.008982893,0.00092491397,0.00831295,-0.018074011,0.007324055,0.01508587,0.00035301936,-0.0044902954,-0.007518226,-0.006361916,0.0040674275,0.0017302779
MMP23B,-0.003886428,-0.002996837,-0.0017770374,-0.0039094524,-0.0006428572,0.010426438,0.00068015297,0.005262795,0.006946521,0.0022815866,0.00044840385,-0.012877952,0.0026638964,0.0043424787,-0.00244359,0.0027180617,0.004121001,0.0066536157,0.0054816403,0.00035751384,-0.0054260693,-0.0013774205,-0.0047534304,-0.0016495106,-0.0008413262,-0.0024998717,-0.0021871382,-0.0027503965,-0.0029176543,0.0036385993,-0.002595956,0.005030402,0.0039733713,0.009979418,0.0014121612,0.001296309,-3.0849988e-05,-0.0024501788,-0.005130636,-0.008601539,0.0016644591,-0.0006562697,0.0054666814,0.003468869,0.0053766724,-0.0045195003,0.0048160306,0.00042198744,0.0014759689,-0.0014538291,0.008000459,0.0024772596,0.0029481102,0.017070424,0.005313161
TNFRSF14,-0.006007352,-0.005762648,-0.004561169,0.0019138155,0.0031574024,0.0060175494,-0.0049352082,-0.0020923517,0.008209572,-0.002902098,-0.0009142466,-0.007085109,0.013538047,-0.004644777,-0.003009186,0.0034814153,0.004647789,-0.0035584806,-0.0032540818,0.0004893171,-0.00028935846,-0.00049092143,-0.0077624344,-0.0021838797,0.0045243325,-0.003603782,0.009483208,-0.00016049517,-0.009862923,-0.0037980853,-0.0010897783,0.012620441,-0.002639698,-0.013142997,-0.0016498275,-0.012513301,-0.0008625536,-0.013457225,0.003168453,-0.012414419,0.008174034,-0.0009458713,0.0076002213,0.0012607229,0.008442272,-0.0040428154,0.0109011335,-0.0018950904,-0.0014655942,0.026359444,-0.017595777,0.023529762,0.0013184672,-0.00024938615,-0.00409414
TTC34,0.00012651755,-0.0005963975,0.001516497,0.0001832798,0.0016950428,0.004774676,0.0038058767,0.0039608264,-0.0019885974,0.0019308719,-0.0012672823,0.00038069423,0.0030211096,0.0023729173,0.001514392,0.005044945,-0.000107638494,0.0016936744,0.0061297263,0.0026653174,0.00029285965,-0.00061150035,-0.002391547,-0.002590753,-0.002683832,-0.0057919556,-0.004005889,0.00089754234,0.0008518472,0.0024068735,0.0007085408,-0.0005974473,-0.00034429962,-0.0022731384,0.0018124458,-0.0013276758,-0.0015346484,-0.0010630641,-1.6206293e-05,0.0011164302,0.0014395202,-0.002774713,0.0010658723,0.0022568179,0.00057255983,-0.0030149943,-0.0014200227,-0.00090590573,0.0072927857,3.7152506e-05,0.00049501925,0.001834721,0.0031939985,0.0011512396,-0.0023986495
SMIM1,-0.010844586,-0.0064608078,-0.003126658,0.0040668813,0.008309381,0.0014064031,0.007407823,-0.0073982654,0.011248685,0.001286392,-0.0031042313,-0.019569563,0.0018084737,0.0026134376,-0.0050720037,-0.0022244141,0.0035800524,0.0024965531,0.0010025346,-0.007028781,-0.0014096601,-0.005116328,0.001118556,-0.005440548,-0.0018199567,-0.0024191567,0.0010727436,-0.0052869804,-0.007995731,-0.0059234975,-0.00029152966,0.0051185857,0.0071456493,0.011515869,-0.0008101083,0.0046759113,-0.0019347082,-0.0032427502,-0.009984868,-0.006199433,0.0039780964,0.003139017,-0.005673965,0.0019267994,0.0041894414,-0.0077554365,0.0015740652,-0.0031704665,0.0075815576,0.0036359688,0.013265997,0.0054388386,0.010171125,0.027098866,0.011501213
LINC00337,0.00097548834,-0.00271047,-0.002544691,0.002787359,-0.0005247794,-0.0016118885,-0.0021906965,0.0010008472,0.0036872437,0.0015875596,0.0042641037,0.00531695,0.00069674983,-0.004159341,0.0013448532,0.00095244497,-0.0024321552,5.6456392e-05,0.0014128356,-0.0002586547,-0.002577374,-0.0015370665,0.00287287,-0.0010378447,-0.0005327387,-0.0026746334,-0.00070662523,-0.00044267715,-0.0011916062,-0.0009680809,0.0037519117,0.0009822292,-0.00021420362,0.0013363576,0.00074048724,-0.0006222045,-0.0012476837,0.0010816084,0.0016756542,-0.0007179872,0.0015692516,-6.932786e-05,-0.00072647823,-0.001241706,-1.4853907e-05,-0.00028319808,0.002376537,0.0005443356,0.0029662359,-0.0006674219,0.0009832673,0.00080048386,-0.00023150415,-0.0003689462,-0.0018736756
