gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
SAMD11,-0.014793074,-0.0038530156,0.0071719615,-0.0076415297,-0.0045778505,-0.0022646897,-0.018121101,-0.008478632,-0.023643635,-0.023859898,0.0016184975,0.028834462,-0.022609238,0.011435957,-0.01197378,0.024943598,-0.008673023,0.024883743,-0.0061404537,-0.0149327535,-0.008196249,0.010585329,-0.0005394953,-0.011788608,0.022322848,0.004311475,-0.037046313,0.030724261
HES4,0.010983725,0.004209416,0.0006713459,0.02428128,-0.0065129227,-0.0024105853,-0.009416893,0.001969088,0.0042253267,0.00055735966,-0.002257809,0.0009952078,0.005392678,0.002244567,0.0027962138,-0.00040167183,-0.0021143435,0.0075587113,0.0005654161,-0.0027098188,-0.0006718223,0.0048018466,0.0012215691,0.0007284862,-0.00027659937,-0.001968342,0.0058903485,-0.017854061
ISG15,0.011653351,-0.016582102,0.01017949,0.0009115804,0.018654823,0.008781555,0.01786204,-0.0035636828,0.00015468655,-0.0040443926,0.0027451762,0.0011109472,-0.0009326175,0.0010329463,-0.001564577,0.0038111513,-0.004828682,0.0010233689,0.0007713825,0.0011324404,-0.0019961728,-0.0027842526,-0.004101022,0.0029026074,0.007217011,-0.0012728836,-0.0013892157,-0.0022009325
RNF223,-0.0016479495,-0.0009111385,0.0031688842,0.0015461756,-0.0018895318,-0.0010625083,0.0006858337,-0.0026812346,-0.004813048,0.003177825,0.0011398735,0.003006267,-0.0015198797,-4.7861704e-05,-0.0012713253,0.003606175,-0.00324824,0.0016803183,-0.0012028613,-0.0035055694,0.0017639187,-0.001478661,-0.0030684466,0.0004753356,-0.0009815695,-0.0010601525,-0.004499656,0.0053551537
TNFRSF4,-0.0012522058,-0.00070758857,-0.0015275765,0.001993312,0.0013983903,0.0029654491,-0.0011167031,0.00055448955,-0.0051576337,-0.008215331,0.0005346769,-0.004599483,-0.0036486273,0.0042432956,0.0064347098,0.0016556792,0.006707249,0.00605589,0.0033690068,0.0049779713,0.0075025577,0.0036421632,-0.0009868684,0.0039547016,0.0051730787,-0.00024822744,0.0026470788,0.0012121544
MMP23B,-0.003190734,-0.008700803,0.0015000155,-0.004270965,0.0008497641,0.0024088603,0.008071805,-0.0012488645,-0.007075307,0.0014883529,-0.0007075604,-0.0066114105,-0.0004765273,-0.0020382374,0.001589005,-0.0020744985,0.0057490286,-0.014894855,-0.00074675225,0.00035214992,0.0033327984,-0.00031898016,5.2692463e-05,0.002378674,-0.0070109353,-0.0035466666,-0.012866564,0.0115619125
TNFRSF14,0.0011757676,-0.009528215,-0.009369337,-0.0039499407,-0.0054780385,0.010959044,0.013660285,0.0030628662,-0.0013365276,0.010422753,-0.0023728283,0.0006541337,-0.008961537,0.0008800238,-6.938062e-05,0.0006576119,1.7013528e-05,-0.006828811,-0.0006558524,0.0014688587,-0.0018241033,-0.0008879208,0.0042243665,-0.0017776988,0.009380271,-0.0047199884,-0.0073475894,0.013423963
TTC34,0.0022916605,-0.0024563265,0.0048167836,-0.0017801422,0.0059830346,0.00039974097,-0.00043953038,-0.00022458684,-0.002363451,-0.0022716718,0.002270889,0.0003095082,-0.003320633,2.532704e-05,-0.002566372,-0.0024730158,0.00421622,-0.0019752814,-0.0011683903,0.0036622107,-0.0010035995,0.0015422449,-0.00117228,-0.0031885752,-0.0022046673,-0.00016871653,-0.0015292321,0.0053568357
SMIM1,-0.01001455,-0.0012259593,-0.01575721,-0.003785179,-0.01891241,-0.0064421687,0.008893716,-0.0045698895,-0.0033038864,0.0046615517,0.003778337,-0.008332758,-0.004156043,-0.0020689915,-0.0027729254,-0.000574192,0.00069367274,-0.020015841,-0.0007296458,-0.00118609,-0.0016119191,-0.004416177,-0.001506685,0.00017844049,-0.006227615,-0.008721653,-0.012790697,0.01587036
LINC00337,0.0028623298,-0.0012655013,-0.0013240885,0.0022648987,-0.0015106713,-0.00042014546,0.0039136256,-0.00012131557,0.0005864943,0.0030985898,0.0023087577,0.001461208,0.0023662313,0.0011515017,-0.00071451097,0.000898298,0.0002842577,0.001989208,-0.0001825765,-0.0008307724,-0.0007495438,0.00032150422,0.00078550226,-0.003704129,0.0031161257,0.00084672734,-0.0019045612,-0.0024120621
