gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44
SAMD11,-0.0021301433,0.0040946812,0.006499163,-0.0038353694,-0.001499628,-0.005458515,-0.0016693036,-0.0044568344,-0.004281868,0.026790848,0.028075455,-0.016811788,-0.026868131,-0.013238842,-0.0073044254,-0.038256206,0.0023740598,0.0013438762,0.0022989912,-0.009827901,0.006025018,0.0012496677,-0.01822177,0.002291284,-0.003511842,0.00883815,0.0024564685,-0.002867572,0.015560327,0.002277854,-0.0014884401,0.010207859,0.0031628003,0.009251559,-0.00052365294,-0.0015700747,0.0011102635,0.0042391913,-0.017742516,0.0016613941,0.0041028527,-0.0045291,0.004551861,-0.001483419,-0.005959351
HES4,0.010777999,-0.009309806,0.013192913,0.005308133,0.013769884,0.012358298,0.026817948,0.017422883,-0.008682629,-0.00636628,0.01082369,0.0003802563,-0.006432864,-0.014639938,0.015746757,0.006404347,-0.017821418,0.0106177535,-0.0043053515,0.00825125,0.018690275,0.014269029,-0.016036678,0.011644703,-0.004420987,-0.0059186695,-0.011629235,-0.028633343,-0.008755523,0.019205404,-0.0033200302,0.01535472,0.0039993883,-0.011105787,0.013011849,0.014102068,0.039370034,-0.004134703,0.0060733706,0.03393084,-0.019798214,0.035215884,-0.009863622,0.014529671,-0.01981851
ISG15,0.0036245035,0.0026164646,0.006805636,-0.006537777,0.004541488,0.0017008315,-0.0015509567,-0.0033423388,-0.0020870266,-0.0026070543,-0.002570108,-0.018276243,0.0012031392,-0.006171752,0.002230698,-0.007987989,0.00043520043,0.0057002753,-0.00037553205,-0.0009889362,0.010482969,0.004576137,-0.00254392,0.013901473,0.0045014736,-0.008324663,-0.013748933,0.0028275282,0.010923112,-0.004816605,-0.0031039051,-0.0012675156,0.0027832582,-0.012267002,0.00094851514,0.0028477036,-0.010783587,-0.004374336,-0.0063627553,-0.00297421,-0.008691,-0.008244154,-0.003939809,-0.0031198142,-0.00918118
RNF223,-0.00017576438,0.002119616,0.0010002482,0.001846891,0.00034343702,0.00091538514,0.0021811067,-0.0012401601,0.0005382015,-0.0010469732,-0.002396196,-0.005622824,-0.0018257776,-0.00096373394,0.004270948,-0.00636344,0.0003321512,0.0028785833,0.0018031201,-0.00059654954,0.0037915206,0.0012555046,-0.00041330402,0.002397838,-0.0027673978,0.0001537602,0.004764739,0.0005271836,-0.0021040658,0.0029989372,0.0033976915,0.00062082586,-0.0027950911,-1.9712952e-05,-0.0011157072,-0.0041215713,-0.002702203,7.521138e-05,0.00089024584,0.0018649059,-0.00672519,-0.0010681051,-0.0010155628,0.00031756287,-0.0020903752
TNFRSF4,-0.00011803172,0.00064676127,0.0017588912,-0.00047788137,0.002107231,0.0011688024,-0.002632043,-0.001449033,-0.0014427081,0.0012594747,0.0053685377,-0.004229064,0.000581977,0.0051815887,-0.00673176,-0.0065951766,-0.0069656367,0.0006336426,0.000543933,0.0022672545,0.0011440903,-0.008274234,-0.009955577,-0.0011491352,-0.0018574704,-0.0041393656,-0.00046191787,0.0068073785,-7.4846316e-06,-0.0026065065,-0.002155692,0.0064910757,0.0036545473,-0.005046856,-0.00012007739,0.0010804663,-0.00040197966,-0.008687678,-0.0006624076,0.0035471777,0.009698298,0.0013349508,0.0012152096,0.0008390663,-0.0018749994
MMP23B,0.0016891529,0.003003568,-0.0025171458,0.0017649626,0.00248445,0.0003831416,0.006805152,-0.007686017,-0.0021757535,0.0020032863,-0.006424331,0.0011091647,0.0027064688,-0.0029602624,0.010988319,-0.011612258,-5.2667536e-05,0.0072559263,-0.004465943,-0.0026984597,-0.0003549834,-0.0052947244,0.011146546,-0.003201726,-0.0065172827,0.0016590451,0.0030786176,0.0023934853,-0.0038322317,0.004227248,-0.0012657441,0.0005407822,0.00041989298,-0.007085255,0.0030676776,-0.0016303776,0.0011778662,-0.0047783805,-0.00015556313,0.0039350404,-0.0211001,0.008446231,0.0044621928,0.0026636145,-0.010623774
TNFRSF14,-0.0002516209,0.0017549646,0.00063486426,0.00078010163,0.0034531434,-0.005072315,0.0018106713,-0.0070499023,-0.0065046605,0.0012728114,0.0014087162,-0.0089668445,0.00017605041,-0.0031458323,0.0031592832,-0.0052720658,-0.0033910049,0.0014429844,0.011200268,-0.0037845518,0.0026454572,0.006371387,0.0024838857,0.0032560017,0.0014061313,-0.004860251,0.0032024551,0.0009406403,0.011906472,0.014822556,-0.0018264801,0.0014751549,0.0036233198,-0.005080878,0.0054364186,-0.0019585602,-0.0030292305,0.004448092,-0.004703058,-0.00055960455,-0.007861379,0.00409591,0.009451658,0.006643298,-0.0051994617
TTC34,0.00040763823,0.0030123128,-0.0006844836,0.0025985201,-0.0014947535,0.0010265454,0.0019981796,-0.0014355464,-0.00048161708,-0.0007410473,-0.00079307857,-0.00027246328,-0.0030416767,0.0016275002,0.0012841775,-0.005685018,0.0001911263,0.0020759786,0.0008757841,-0.0010171351,0.0030353265,-0.005645419,0.0016587388,0.00021185284,0.0004668087,-0.0022358554,-0.0002412751,-0.0024541907,-0.0050458666,-0.0020542871,0.003343467,-0.0072734277,0.0033671681,0.000119191114,-0.0027243053,0.0003471528,-0.0036191496,-0.0020058649,0.002270331,0.0028556893,-0.0027646883,0.00343997,0.0018040536,-0.00058461365,-0.0022333933
SMIM1,-0.0014898434,0.0046141003,-0.011560287,0.008647638,4.8972793e-06,0.0010509997,0.01041646,-0.001586554,-0.0059194528,0.0051786317,-0.022657502,0.003318379,0.00021196842,-9.198134e-06,0.019859558,-0.017546073,0.00091761677,0.009217817,0.003369097,-0.0062759267,-0.0071969004,-0.017156342,0.021330774,-0.01461371,-0.013280472,-0.0027064034,0.005816399,0.009791123,-0.0028857659,0.019280242,-0.0027558443,-0.0029189845,-0.0009361628,-0.004458905,-0.0001515239,0.0040178243,0.015246258,-0.004467292,0.0020784682,0.010512064,-0.023957346,0.014796911,0.0021729027,-0.0002521596,-0.01065574
LINC00337,-0.00013448957,-0.00090636144,9.793953e-05,0.0012762987,-0.00010704799,-0.0027093058,0.0016461639,-0.00084012013,-0.00030736308,-0.00082855683,0.0030585509,0.00082676974,-0.00258874,-0.003397953,-0.0013688963,0.0019795448,-0.0029194546,-0.0028291272,0.0066612717,-0.0013370096,0.0004973091,0.0011124779,-0.0026619644,0.0018116676,0.002159052,0.0016126892,0.0024800138,-0.005601395,0.00360074,0.0019693878,0.0010886636,0.0005364759,0.001700801,0.0017384127,-9.8443954e-05,0.002301058,-0.0010748664,-0.0006818154,-0.0022034987,0.002808152,-0.007896107,0.0024953347,-0.0012668913,-0.0038066248,-0.0018599482
